system,concept,concept_comment,component,sign,component_comment,order,value_type
FR_2015,ils_earns,ils_earns: Standardised Earnings,yse,+,Self-employment income,1,string
FR_2015,ils_earns,ils_earns: Standardised Earnings,yem00,+,Regular hours employment income,2,string
FR_2015,ils_earns,ils_earns: Standardised Earnings,yemxp,+,Overtime pay,3,string
FR_2015,ils_earns,ils_earns: Standardised Earnings,yemmc_s,n/a,Covid-19 compensation paid by the firm,4,string
FR_2015,ils_origy,ils_origy: Standardised Original income,ils_earns,+,earnings,2,variable
FR_2015,ils_origy,ils_origy: Standardised Original income,ypp,+,income from private pensions,3,string
FR_2015,ils_origy,ils_origy: Standardised Original income,yiy,+,income from investments,4,string
FR_2015,ils_origy,ils_origy: Standardised Original income,ypr,+,income from rent,5,string
FR_2015,ils_origy,ils_origy: Standardised Original income,yot,+,income received by children under 16,6,string
FR_2015,ils_origy,ils_origy: Standardised Original income,ypt,+,income received through private transfers,7,string
FR_2015,ils_origy,ils_origy: Standardised Original income,xmp,-,maintainance payments,8,string
FR_2015,ils_dispy,ils_dispy: Standardised Disposable income,ils_origy,+,Standardized original income,1,variable
FR_2015,ils_dispy,ils_dispy: Standardised Disposable income,ils_sicdy,-,all social insurance contributions paid by (self-)employed and others,6,variable
FR_2015,ils_dispy,ils_dispy: Standardised Disposable income,ils_tax,-,Standardized taxes,8,variable
FR_2015,ils_dispy,ils_dispy: Standardised Disposable income,ils_ben,+,Standardized benefits,2,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tin_s,+,Personal income tax (IRPP),1,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tpr,+,Property taxes,2,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tscxc_s,+,Generalized social contributions (CSG),3,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tscdf_s,+,Contributions for debt repayment (CRDS),4,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tsckt_s,+,Social insurance contributions on capital income,5,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tinto_s,+,Exceptional contributions on high income earners (CEHR),6,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tmu,+,Residential tax (TH),9,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,twl,+,Wealth tax (ISF),8,string
FR_2015,ils_tax,ils_tax: Standardised Taxes,tinto01_s,n/a,Differential contribution on high income (CDHR),7,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bchyc_s,+,Means-tested benefit for young children (PAJE),1,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bsuwd_s,+,Means-tested Survivor Minimum Pension (Allocation veuvage AV),2,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bunmt_s,+,Unemployment assitance Benefit (Allocation de solidarité spécifique ASS),3,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bchlg_s,+,Means-tested benefit for large families (CF),4,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bched_s,+,Means tested educational grant (ARS),5,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bchba_s,+,Means tested birth grant (PN),6,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bsaoa_s,+,Means-tested allowance for the elderly (ASPA),7,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bdi_s,+,Income tested disability benefit (AAH),8,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bchlp_s,n/a,Means-tested assistance for lone parents (API),9,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bsa00_s,+,Means-tested guaranteed minimum income (RMI/RSA),10,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bhotn_s,+,Income tested housing allowance for those renting (AL),11,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,tinrf_s,+,Refund of the working tax credit (PPE),12,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bchot_s,+,Other means-tested allowances for families with children,13,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bsaot,+,Other means-tested benefits,14,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bhoot,+,Other means-tested housing benefits,15,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bed,+,Scholarships,16,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bsawk_s,n/a,Activity allowance,17,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bsaeccm_s,n/a,Covid-19 social assistance,18,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,binxp_s,n/a,Inflation compensation,19,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,bhoey_s,n/a,Energy voucher,20,string
FR_2015,ils_benmt,ils_benmt: Standardised Means-tested benefit-standardized,binpb_s,n/a,Inflation compensation for civil servants,21,string
FR_2015,ils_bennt,ils_bennt: Standardised Non means-tested benefits,bhl,+,Contributory sickness benefit,1,string
