year,region_code,region_name,gsur,education,sex,age_group,sheet
2007,FR,France,19.5,TOTAL,T,Y15-24,Sheet 1
2008,FR,France,19.1,TOTAL,T,Y15-24,Sheet 1
2009,FR,France,23.7,TOTAL,T,Y15-24,Sheet 1
2010,FR,France,23.5,TOTAL,T,Y15-24,Sheet 1
2011,FR,France,22.9,TOTAL,T,Y15-24,Sheet 1
2012,FR,France,24.5,TOTAL,T,Y15-24,Sheet 1
2013,FR,France,25.1,TOTAL,T,Y15-24,Sheet 1
2014,FR,France,24.3,TOTAL,T,Y15-24,Sheet 1
2015,FR,France,24.8,TOTAL,T,Y15-24,Sheet 1
2016,FR,France,24.6,TOTAL,T,Y15-24,Sheet 1
2017,FR,France,22.2,TOTAL,T,Y15-24,Sheet 1
2018,FR,France,20.9,TOTAL,T,Y15-24,Sheet 1
2019,FR,France,19.6,TOTAL,T,Y15-24,Sheet 1
2020,FR,France,20.2,TOTAL,T,Y15-24,Sheet 1
2021,FR,France,18.9,TOTAL,T,Y15-24,Sheet 1
2022,FR,France,17.3,TOTAL,T,Y15-24,Sheet 1
2023,FR,France,17.2,TOTAL,T,Y15-24,Sheet 1
2024,FR,France,18.7,TOTAL,T,Y15-24,Sheet 1
2007,FR1,Ile de France,17.8,TOTAL,T,Y15-24,Sheet 1
2008,FR1,Ile de France,18.6,TOTAL,T,Y15-24,Sheet 1
2009,FR1,Ile de France,19.8,TOTAL,T,Y15-24,Sheet 1
2010,FR1,Ile de France,21.2,TOTAL,T,Y15-24,Sheet 1
2011,FR1,Ile de France,19.1,TOTAL,T,Y15-24,Sheet 1
2012,FR1,Ile de France,19.4,TOTAL,T,Y15-24,Sheet 1
2013,FR1,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2014,FR1,Ile de France,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FR1,Ile de France,23.1,TOTAL,T,Y15-24,Sheet 1
2016,FR1,Ile de France,22.5,TOTAL,T,Y15-24,Sheet 1
2017,FR1,Ile de France,21.9,TOTAL,T,Y15-24,Sheet 1
2018,FR1,Ile de France,19.3,TOTAL,T,Y15-24,Sheet 1
2019,FR1,Ile de France,18.2,TOTAL,T,Y15-24,Sheet 1
2020,FR1,Ile de France,18.8,TOTAL,T,Y15-24,Sheet 1
2021,FR1,Ile de France,20.4,TOTAL,T,Y15-24,Sheet 1
2022,FR1,Ile de France,17.3,TOTAL,T,Y15-24,Sheet 1
2023,FR1,Ile de France,16.1,TOTAL,T,Y15-24,Sheet 1
2024,FR1,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2007,FR10,Ile de France,17.8,TOTAL,T,Y15-24,Sheet 1
2008,FR10,Ile de France,18.6,TOTAL,T,Y15-24,Sheet 1
2009,FR10,Ile de France,19.8,TOTAL,T,Y15-24,Sheet 1
2010,FR10,Ile de France,21.2,TOTAL,T,Y15-24,Sheet 1
2011,FR10,Ile de France,19.1,TOTAL,T,Y15-24,Sheet 1
2012,FR10,Ile de France,19.4,TOTAL,T,Y15-24,Sheet 1
2013,FR10,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2014,FR10,Ile de France,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FR10,Ile de France,23.1,TOTAL,T,Y15-24,Sheet 1
2016,FR10,Ile de France,22.5,TOTAL,T,Y15-24,Sheet 1
2017,FR10,Ile de France,21.9,TOTAL,T,Y15-24,Sheet 1
2018,FR10,Ile de France,19.3,TOTAL,T,Y15-24,Sheet 1
2019,FR10,Ile de France,18.2,TOTAL,T,Y15-24,Sheet 1
2020,FR10,Ile de France,18.8,TOTAL,T,Y15-24,Sheet 1
2021,FR10,Ile de France,20.4,TOTAL,T,Y15-24,Sheet 1
2022,FR10,Ile de France,17.3,TOTAL,T,Y15-24,Sheet 1
2023,FR10,Ile de France,16.1,TOTAL,T,Y15-24,Sheet 1
2024,FR10,Ile de France,18.5,TOTAL,T,Y15-24,Sheet 1
2007,FRB,Centre — Val de Loire,15.5,TOTAL,T,Y15-24,Sheet 1
2008,FRB,Centre — Val de Loire,14.5,TOTAL,T,Y15-24,Sheet 1
2009,FRB,Centre — Val de Loire,18.9,TOTAL,T,Y15-24,Sheet 1
2010,FRB,Centre — Val de Loire,16.2,TOTAL,T,Y15-24,Sheet 1
2011,FRB,Centre — Val de Loire,20.2,TOTAL,T,Y15-24,Sheet 1
2012,FRB,Centre — Val de Loire,28.9,TOTAL,T,Y15-24,Sheet 1
2013,FRB,Centre — Val de Loire,22.1,TOTAL,T,Y15-24,Sheet 1
2014,FRB,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FRB,Centre — Val de Loire,24.3,TOTAL,T,Y15-24,Sheet 1
2016,FRB,Centre — Val de Loire,25.6,TOTAL,T,Y15-24,Sheet 1
2017,FRB,Centre — Val de Loire,23.1,TOTAL,T,Y15-24,Sheet 1
2018,FRB,Centre — Val de Loire,21.5,TOTAL,T,Y15-24,Sheet 1
2019,FRB,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2020,FRB,Centre — Val de Loire,19.6,TOTAL,T,Y15-24,Sheet 1
2021,FRB,Centre — Val de Loire,18.6,TOTAL,T,Y15-24,Sheet 1
2022,FRB,Centre — Val de Loire,14.4,TOTAL,T,Y15-24,Sheet 1
2023,FRB,Centre — Val de Loire,15.6,TOTAL,T,Y15-24,Sheet 1
2024,FRB,Centre — Val de Loire,18.0,TOTAL,T,Y15-24,Sheet 1
2007,FRB0,Centre — Val de Loire,15.5,TOTAL,T,Y15-24,Sheet 1
2008,FRB0,Centre — Val de Loire,14.5,TOTAL,T,Y15-24,Sheet 1
2009,FRB0,Centre — Val de Loire,18.9,TOTAL,T,Y15-24,Sheet 1
2010,FRB0,Centre — Val de Loire,16.2,TOTAL,T,Y15-24,Sheet 1
2011,FRB0,Centre — Val de Loire,20.2,TOTAL,T,Y15-24,Sheet 1
2012,FRB0,Centre — Val de Loire,28.9,TOTAL,T,Y15-24,Sheet 1
2013,FRB0,Centre — Val de Loire,22.1,TOTAL,T,Y15-24,Sheet 1
2014,FRB0,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2015,FRB0,Centre — Val de Loire,24.3,TOTAL,T,Y15-24,Sheet 1
2016,FRB0,Centre — Val de Loire,25.6,TOTAL,T,Y15-24,Sheet 1
2017,FRB0,Centre — Val de Loire,23.1,TOTAL,T,Y15-24,Sheet 1
2018,FRB0,Centre — Val de Loire,21.5,TOTAL,T,Y15-24,Sheet 1
2019,FRB0,Centre — Val de Loire,21.3,TOTAL,T,Y15-24,Sheet 1
2020,FRB0,Centre — Val de Loire,19.6,TOTAL,T,Y15-24,Sheet 1
2021,FRB0,Centre — Val de Loire,18.6,TOTAL,T,Y15-24,Sheet 1
2022,FRB0,Centre — Val de Loire,14.4,TOTAL,T,Y15-24,Sheet 1
2023,FRB0,Centre — Val de Loire,15.6,TOTAL,T,Y15-24,Sheet 1
2024,FRB0,Centre — Val de Loire,18.0,TOTAL,T,Y15-24,Sheet 1
2007,FRC,Bourgogne-Franche-Comté,16.9,TOTAL,T,Y15-24,Sheet 1
2008,FRC,Bourgogne-Franche-Comté,18.7,TOTAL,T,Y15-24,Sheet 1
2009,FRC,Bourgogne-Franche-Comté,23.4,TOTAL,T,Y15-24,Sheet 1
2010,FRC,Bourgogne-Franche-Comté,21.8,TOTAL,T,Y15-24,Sheet 1
2011,FRC,Bourgogne-Franche-Comté,21.4,TOTAL,T,Y15-24,Sheet 1
2012,FRC,Bourgogne-Franche-Comté,22.4,TOTAL,T,Y15-24,Sheet 1
2013,FRC,Bourgogne-Franche-Comté,27.0,TOTAL,T,Y15-24,Sheet 1
2014,FRC,Bourgogne-Franche-Comté,22.8,TOTAL,T,Y15-24,Sheet 1
2015,FRC,Bourgogne-Franche-Comté,23.2,TOTAL,T,Y15-24,Sheet 1
2016,FRC,Bourgogne-Franche-Comté,24.2,TOTAL,T,Y15-24,Sheet 1
2017,FRC,Bourgogne-Franche-Comté,23.1,TOTAL,T,Y15-24,Sheet 1
2018,FRC,Bourgogne-Franche-Comté,20.3,TOTAL,T,Y15-24,Sheet 1
2019,FRC,Bourgogne-Franche-Comté,18.0,TOTAL,T,Y15-24,Sheet 1
2020,FRC,Bourgogne-Franche-Comté,18.9,TOTAL,T,Y15-24,Sheet 1
2021,FRC,Bourgogne-Franche-Comté,15.2,TOTAL,T,Y15-24,Sheet 1
2022,FRC,Bourgogne-Franche-Comté,15.6,TOTAL,T,Y15-24,Sheet 1
2023,FRC,Bourgogne-Franche-Comté,14.7,TOTAL,T,Y15-24,Sheet 1
2024,FRC,Bourgogne-Franche-Comté,15.0,TOTAL,T,Y15-24,Sheet 1
2007,FRC1,Bourgogne,15.9,TOTAL,T,Y15-24,Sheet 1
2008,FRC1,Bourgogne,18.4,TOTAL,T,Y15-24,Sheet 1
2009,FRC1,Bourgogne,26.9,TOTAL,T,Y15-24,Sheet 1
2010,FRC1,Bourgogne,22.6,TOTAL,T,Y15-24,Sheet 1
2011,FRC1,Bourgogne,23.3,TOTAL,T,Y15-24,Sheet 1
2012,FRC1,Bourgogne,23.6,TOTAL,T,Y15-24,Sheet 1
2013,FRC1,Bourgogne,30.3,TOTAL,T,Y15-24,Sheet 1
2014,FRC1,Bourgogne,23.9,TOTAL,T,Y15-24,Sheet 1
2015,FRC1,Bourgogne,22.4,TOTAL,T,Y15-24,Sheet 1
2016,FRC1,Bourgogne,25.6,TOTAL,T,Y15-24,Sheet 1
2017,FRC1,Bourgogne,23.8,TOTAL,T,Y15-24,Sheet 1
2018,FRC1,Bourgogne,20.7,TOTAL,T,Y15-24,Sheet 1
2019,FRC1,Bourgogne,18.6,TOTAL,T,Y15-24,Sheet 1
2020,FRC1,Bourgogne,22.5,TOTAL,T,Y15-24,Sheet 1
2021,FRC1,Bourgogne,14.6,TOTAL,T,Y15-24,Sheet 1
2022,FRC1,Bourgogne,18.5,TOTAL,T,Y15-24,Sheet 1
2023,FRC1,Bourgogne,15.2,TOTAL,T,Y15-24,Sheet 1
2024,FRC1,Bourgogne,17.7,TOTAL,T,Y15-24,Sheet 1
2007,FRC2,Franche-Comté,18.2,TOTAL,T,Y15-24,Sheet 1
2008,FRC2,Franche-Comté,18.9,TOTAL,T,Y15-24,Sheet 1
2009,FRC2,Franche-Comté,19.8,TOTAL,T,Y15-24,Sheet 1
2010,FRC2,Franche-Comté,20.8,TOTAL,T,Y15-24,Sheet 1
2011,FRC2,Franche-Comté,18.5,TOTAL,T,Y15-24,Sheet 1
2012,FRC2,Franche-Comté,20.8,TOTAL,T,Y15-24,Sheet 1
2013,FRC2,Franche-Comté,22.5,TOTAL,T,Y15-24,Sheet 1
2014,FRC2,Franche-Comté,21.1,TOTAL,T,Y15-24,Sheet 1
2015,FRC2,Franche-Comté,24.3,TOTAL,T,Y15-24,Sheet 1
2016,FRC2,Franche-Comté,22.3,TOTAL,T,Y15-24,Sheet 1
2017,FRC2,Franche-Comté,21.9,TOTAL,T,Y15-24,Sheet 1
2018,FRC2,Franche-Comté,19.6,TOTAL,T,Y15-24,Sheet 1
2019,FRC2,Franche-Comté,17.2,TOTAL,T,Y15-24,Sheet 1
2020,FRC2,Franche-Comté,15.0,TOTAL,T,Y15-24,Sheet 1
2021,FRC2,Franche-Comté,16.0,TOTAL,T,Y15-24,Sheet 1
2022,FRC2,Franche-Comté,12.1,TOTAL,T,Y15-24,Sheet 1
2023,FRC2,Franche-Comté,14.0,TOTAL,T,Y15-24,Sheet 1
2024,FRC2,Franche-Comté,11.9,TOTAL,T,Y15-24,Sheet 1
