year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2007,0,FR,France,0,F,ED0-2,educL,0,0.12,Y20-64,0
2007,0,FR,France,0,F,ED3_4,educM,1,0.079,Y20-64,0
2007,0,FR,France,0,F,ED5-8,educH,2,0.053,Y20-64,0
2007,0,FR,France,0,F,TOTAL,educALL,-1,0.081,Y20-64,0
2007,0,FR,France,1,M,ED0-2,educL,0,0.115,Y20-64,0
2007,0,FR,France,1,M,ED3_4,educM,1,0.059000000000000004,Y20-64,0
2007,0,FR,France,1,M,ED5-8,educH,2,0.052000000000000005,Y20-64,0
2007,0,FR,France,1,M,TOTAL,educALL,-1,0.07200000000000001,Y20-64,0
2007,1,FR1,Ile de France,0,F,ED0-2,educL,0,0.11800000000000001,Y20-64,1
2007,1,FR1,Ile de France,0,F,ED3_4,educM,1,0.069,Y20-64,1
2007,1,FR1,Ile de France,0,F,ED5-8,educH,2,0.057,Y20-64,1
2007,1,FR1,Ile de France,0,F,TOTAL,educALL,-1,0.075,Y20-64,1
2007,1,FR1,Ile de France,1,M,ED0-2,educL,0,0.111,Y20-64,1
2007,1,FR1,Ile de France,1,M,ED3_4,educM,1,0.068,Y20-64,1
2007,1,FR1,Ile de France,1,M,ED5-8,educH,2,0.06,Y20-64,1
2007,1,FR1,Ile de France,1,M,TOTAL,educALL,-1,0.075,Y20-64,1
2007,2,FRB,Centre — Val de Loire,0,F,ED0-2,educL,0,0.066,Y20-64,2
2007,2,FRB,Centre — Val de Loire,0,F,ED3_4,educM,1,0.062,Y20-64,2
2007,2,FRB,Centre — Val de Loire,0,F,ED5-8,educH,2,,Y20-64,2
2007,2,FRB,Centre — Val de Loire,0,F,TOTAL,educALL,-1,0.055,Y20-64,2
2007,2,FRB,Centre — Val de Loire,1,M,ED0-2,educL,0,0.1,Y20-64,2
2007,2,FRB,Centre — Val de Loire,1,M,ED3_4,educM,1,0.035,Y20-64,2
2007,2,FRB,Centre — Val de Loire,1,M,ED5-8,educH,2,,Y20-64,2
2007,2,FRB,Centre — Val de Loire,1,M,TOTAL,educALL,-1,0.052000000000000005,Y20-64,2
2007,3,FRC,Bourgogne-Franche-Comté,0,F,ED0-2,educL,0,0.13,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,0,F,ED3_4,educM,1,0.065,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,0,F,ED5-8,educH,2,,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,0,F,TOTAL,educALL,-1,0.078,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,1,M,ED0-2,educL,0,0.09699999999999999,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,1,M,ED3_4,educM,1,0.034,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,1,M,ED5-8,educH,2,,Y20-64,3
2007,3,FRC,Bourgogne-Franche-Comté,1,M,TOTAL,educALL,-1,0.055,Y20-64,3
2007,4,FRD,Normandie,0,F,ED0-2,educL,0,0.10400000000000001,Y20-64,4
2007,4,FRD,Normandie,0,F,ED3_4,educM,1,0.078,Y20-64,4
2007,4,FRD,Normandie,0,F,ED5-8,educH,2,0.051,Y20-64,4
2007,4,FRD,Normandie,0,F,TOTAL,educALL,-1,0.078,Y20-64,4
2007,4,FRD,Normandie,1,M,ED0-2,educL,0,0.084,Y20-64,4
2007,4,FRD,Normandie,1,M,ED3_4,educM,1,0.045,Y20-64,4
2007,4,FRD,Normandie,1,M,ED5-8,educH,2,0.047,Y20-64,4
2007,4,FRD,Normandie,1,M,TOTAL,educALL,-1,0.057,Y20-64,4
2007,5,FRE,Hauts-de-France,0,F,ED0-2,educL,0,0.124,Y20-64,5
2007,5,FRE,Hauts-de-France,0,F,ED3_4,educM,1,0.109,Y20-64,5
2007,5,FRE,Hauts-de-France,0,F,ED5-8,educH,2,0.06,Y20-64,5
2007,5,FRE,Hauts-de-France,0,F,TOTAL,educALL,-1,0.10099999999999999,Y20-64,5
2007,5,FRE,Hauts-de-France,1,M,ED0-2,educL,0,0.157,Y20-64,5
2007,5,FRE,Hauts-de-France,1,M,ED3_4,educM,1,0.09,Y20-64,5
2007,5,FRE,Hauts-de-France,1,M,ED5-8,educH,2,0.061,Y20-64,5
2007,5,FRE,Hauts-de-France,1,M,TOTAL,educALL,-1,0.10400000000000001,Y20-64,5
2007,6,FRF,Grand Est,0,F,ED0-2,educL,0,0.11699999999999999,Y20-64,6
2007,6,FRF,Grand Est,0,F,ED3_4,educM,1,0.073,Y20-64,6
2007,6,FRF,Grand Est,0,F,ED5-8,educH,2,0.033,Y20-64,6
2007,6,FRF,Grand Est,0,F,TOTAL,educALL,-1,0.073,Y20-64,6
2007,6,FRF,Grand Est,1,M,ED0-2,educL,0,0.11599999999999999,Y20-64,6
2007,6,FRF,Grand Est,1,M,ED3_4,educM,1,0.044000000000000004,Y20-64,6
2007,6,FRF,Grand Est,1,M,ED5-8,educH,2,0.039,Y20-64,6
2007,6,FRF,Grand Est,1,M,TOTAL,educALL,-1,0.061,Y20-64,6
2007,7,FRG,Pays de la Loire,0,F,ED0-2,educL,0,0.08900000000000001,Y20-64,7
2007,7,FRG,Pays de la Loire,0,F,ED3_4,educM,1,0.071,Y20-64,7
2007,7,FRG,Pays de la Loire,0,F,ED5-8,educH,2,,Y20-64,7
2007,7,FRG,Pays de la Loire,0,F,TOTAL,educALL,-1,0.065,Y20-64,7
2007,7,FRG,Pays de la Loire,1,M,ED0-2,educL,0,0.084,Y20-64,7
2007,7,FRG,Pays de la Loire,1,M,ED3_4,educM,1,0.04,Y20-64,7
2007,7,FRG,Pays de la Loire,1,M,ED5-8,educH,2,,Y20-64,7
2007,7,FRG,Pays de la Loire,1,M,TOTAL,educALL,-1,0.049,Y20-64,7
2007,8,FRH,Bretagne,0,F,ED0-2,educL,0,0.071,Y20-64,8
2007,8,FRH,Bretagne,0,F,ED3_4,educM,1,0.08,Y20-64,8
2007,8,FRH,Bretagne,0,F,ED5-8,educH,2,0.062,Y20-64,8
2007,8,FRH,Bretagne,0,F,TOTAL,educALL,-1,0.07200000000000001,Y20-64,8
2007,8,FRH,Bretagne,1,M,ED0-2,educL,0,0.079,Y20-64,8
2007,8,FRH,Bretagne,1,M,ED3_4,educM,1,0.042,Y20-64,8
