DATAFLOW	LAST UPDATE	freq	isced11	sex	age	unit	geo	TIME_PERIOD	OBS_VALUE	OBS_FLAG	CONF_STATUS
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FR10	2014	266.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRB0	2014	48.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRC1	2014	40.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRC2	2014	24.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRD1	2014	39.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRD2	2014	45.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRE1	2014	93.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRE2	2014	52.3		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRF1	2014	43.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRF2	2014	31.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRF3	2014	47.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRG0	2014	75.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRH0	2014	63.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRI1	2014	70.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRI2	2014	13.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRI3	2014	30.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRJ1	2014	59.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRJ2	2014	56.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRK1	2014	26.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y15-24	THS_PER	FRK2	2014	152.9		
