Year,Group,N_obs_dm,N_households,Age_mean,Age_SD,Age_p25,Age_p75,Female_pct,High_educ_pct,Low_educ_pct,Employed_pct,Unemployed_pct,Inactive_pct,N_workers_lhw,Hours_workers_mean,Hours_workers_SD,Hours_workers_p25,Hours_workers_p75,Hours_all_mean,Hours_all_SD,N_wage_obs,Wage_mean,Wage_SD,Wage_p25,Wage_p75,N_yem_workers,EmpInc_mean,EmpInc_SD,EmpInc_p25,EmpInc_p75,DispInc_mean,DispInc_SD,DispInc_p25,DispInc_p75
2015,all,6801,4235,41.48,10.04,34.0,49.0,48.45,42.04,14.16,95.06,4.01,0.93,6465,38.03,9.39,35.0,40.0,36.15,12.32,6465,15.88,7.82,11.45,18.16,6512,2436.63,1578.92,1585.0,2954.38,2058.33,1183.47,1390.1,2440.44
2015,couples,5132,2566,40.82,9.69,33.0,48.0,50.0,42.52,13.76,96.38,2.83,0.8,4946,38.27,9.42,35.0,40.0,36.88,11.69,4946,15.92,7.86,11.48,18.23,4969,2482.81,1608.05,1629.17,2982.5,2089.45,1214.36,1416.18,2494.31
2015,singles,1669,1669,43.49,10.8,35.0,52.0,43.68,40.56,15.4,91.01,7.67,1.32,1519,37.24,9.23,35.0,40.0,33.89,13.82,1519,15.74,7.7,11.34,17.87,1543,2287.94,1471.91,1418.75,2847.08,1962.64,1077.7,1339.04,2298.12
2015,singles_male,940,940,43.92,10.83,36.0,53.0,0.0,42.02,14.26,91.81,6.91,1.28,863,35.81,9.49,32.0,40.0,32.88,13.39,863,15.19,6.99,11.13,17.63,875,2118.01,1338.34,1257.5,2692.5,1927.95,901.9,1349.8,2277.61
2015,singles_female,729,729,42.92,10.76,35.0,52.0,100.0,38.68,16.87,89.99,8.64,1.37,656,39.12,8.54,35.0,42.0,35.21,14.27,656,16.46,8.5,11.86,18.35,668,2510.53,1604.4,1620.62,3097.71,2007.38,1268.21,1324.3,2310.57
2016,all,6830,4253,41.75,10.15,34.0,50.0,48.95,42.84,13.66,96.02,3.46,0.53,6558,38.4,9.53,35.0,41.0,36.87,11.98,6558,16.22,8.57,11.52,18.6,6576,2505.71,1641.51,1622.29,3023.54,2120.93,1322.98,1437.68,2498.19
2016,couples,5154,2577,41.15,9.79,34.0,49.0,50.0,43.5,13.14,96.84,2.7,0.47,4991,38.64,9.57,35.0,42.0,37.41,11.6,4991,16.42,8.73,11.61,18.82,5004,2570.22,1698.88,1663.96,3075.83,2150.38,1246.04,1447.38,2552.1
2016,singles,1676,1676,43.58,11.0,35.0,52.0,45.7,40.81,15.27,93.5,5.79,0.72,1567,37.66,9.36,35.0,40.0,35.21,12.97,1567,15.61,8.0,11.25,17.91,1572,2300.39,1425.0,1468.33,2857.08,2030.35,1532.49,1408.71,2306.33
2016,singles_male,910,910,44.16,10.76,36.0,52.0,0.0,43.08,13.52,93.96,5.38,0.66,855,36.3,9.47,35.0,40.0,34.1,12.61,855,15.11,7.55,11.05,17.28,860,2138.49,1298.51,1274.58,2708.75,2021.89,1705.21,1402.63,2297.75
2016,singles_female,766,766,42.9,11.25,34.0,52.0,100.0,38.12,17.36,92.95,6.27,0.78,712,39.3,8.96,35.0,42.0,36.53,13.27,712,16.21,8.47,11.52,18.6,712,2495.93,1542.63,1696.87,2993.12,2040.41,1298.82,1423.86,2310.94
2017,all,6252,3957,41.95,10.23,34.0,50.0,48.67,42.69,14.2,95.83,3.65,0.53,5991,38.45,9.59,35.0,40.0,36.85,12.13,5991,16.31,7.65,11.87,18.72,6002,2543.44,1723.95,1636.67,3065.83,2153.12,1296.23,1465.07,2523.84
2017,couples,4590,2295,41.27,9.8,34.0,49.0,50.0,43.55,13.59,96.84,2.66,0.5,4445,38.72,9.63,35.0,42.0,37.5,11.65,4445,16.44,7.76,11.96,18.84,4446,2602.38,1781.81,1681.88,3110.83,2185.83,1336.44,1478.34,2589.89
2017,singles,1662,1662,43.82,11.13,35.0,53.0,45.01,40.31,15.88,93.02,6.38,0.6,1546,37.68,9.4,35.0,40.0,35.05,13.21,1546,15.95,7.31,11.58,18.37,1556,2375.04,1534.84,1510.42,2905.83,2062.76,1173.71,1448.67,2365.26
2017,singles_male,914,914,43.9,11.05,36.0,53.0,0.0,41.58,15.32,93.33,5.91,0.77,853,36.08,9.61,35.0,40.0,33.67,12.94,853,15.28,7.38,11.12,17.3,856,2203.58,1376.26,1353.96,2724.58,2017.75,998.25,1432.61,2310.07
2017,singles_female,748,748,43.72,11.23,34.75,53.0,100.0,38.77,16.58,92.65,6.95,0.4,693,39.66,8.75,35.0,42.0,36.74,13.35,693,16.78,7.13,12.33,19.55,700,2584.71,1686.34,1730.0,3131.67,2117.76,1356.37,1458.69,2431.23
