kind,old_path,new_path,n_content_subs,warnings
content,README.md,README.md,11,
content,RURO_MNL_project_files_structure.md,RURO_MNL_project_files_structure.md,4,
content,.claude/settings.local.json,.claude/settings.local.json,3,
content,docs/MIRRORED_DOCUMENTS_INDEX.md,docs/MIRRORED_DOCUMENTS_INDEX.md,9,
content,docs/PIPELINE_ENTRYPOINTS.md,docs/PIPELINE_ENTRYPOINTS.md,6,
content,docs/RURO_CURRENT_STATE_AND_IDENTIFICATION.md,docs/RURO_CURRENT_STATE_AND_IDENTIFICATION.md,4,
content,docs/RURO_JOB_MODEL_GMM_METHOD_NOTE.md,docs/RURO_JOB_MODEL_GMM_METHOD_NOTE.md,2,
content,docs/RURO_METHODS_AND_PIPELINE_MANUAL_v1.md,docs/RURO_METHODS_AND_PIPELINE_MANUAL_v1.md,8,
content,docs/RURO_model_spec_contract_v1.md,docs/RURO_model_spec_contract_v1.md,3,
content,docs/RURO_model_spec_contract_v2_continuous_enhanced.md,docs/RURO_model_spec_contract_v2_continuous_enhanced.md,12,
content,docs/RURO_model_spec_contract_v3_ruro_occ.md,docs/RURO_model_spec_contract_v3_ruro_occ.md,18,
content,docs/RURO_model_spec_contract_v4_ruro_occ.md,docs/RURO_model_spec_contract_v4_ruro_occ.md,21,
content,docs/RURO_NAMING_AND_PACKAGE_SCOPE_v1.md,docs/RURO_NAMING_AND_PACKAGE_SCOPE_v1.md,9,
content,docs/RURO_occ_pipeline_audit_v1.md,docs/RURO_occ_pipeline_audit_v1.md,9,
content,docs/RURO_PACKAGE_PORTABILITY_AND_CLEANUP_POLICY_v1.md,docs/RURO_PACKAGE_PORTABILITY_AND_CLEANUP_POLICY_v1.md,3,
content,docs/RURO_PROJECT_HYGIENE_CLEANUP_RECOMMENDATIONS.md,docs/RURO_PROJECT_HYGIENE_CLEANUP_RECOMMENDATIONS.md,9,
content,docs/RURO_PROJECT_MEMORY_MAP.md,docs/RURO_PROJECT_MEMORY_MAP.md,8,
content,docs/RURO_RETURN_GUIDE_DATA_RESULTS_AND_CLEANUP.md,docs/RURO_RETURN_GUIDE_DATA_RESULTS_AND_CLEANUP.md,1,
content,docs/RURO_R_REFERENCE_COMPARISON_AND_ACTION_PLAN.md,docs/RURO_R_REFERENCE_COMPARISON_AND_ACTION_PLAN.md,30,
content,docs/RURO_R_REFERENCE_COMPARISON_SECTOR_OPPORTUNITY_PLAN.md,docs/RURO_R_REFERENCE_COMPARISON_SECTOR_OPPORTUNITY_PLAN.md,33,
content,docs/RURO_ruro_occ_baseline_implementation_report_v1.md,docs/RURO_ruro_occ_baseline_implementation_report_v1.md,19,
content,docs/RURO_ruro_occ_baseline_spec_v1.md,docs/RURO_ruro_occ_baseline_spec_v1.md,19,
content,docs/RURO_ruro_occ_M0_estimation_run_2026-05-13.md,docs/RURO_ruro_occ_M0_estimation_run_2026-05-13.md,14,
content,docs/RURO_ruro_occ_M0_file_sync_check_v1.md,docs/RURO_ruro_occ_M0_file_sync_check_v1.md,16,
content,docs/RURO_ruro_occ_M0_rebuild_command_plan_v1.md,docs/RURO_ruro_occ_M0_rebuild_command_plan_v1.md,10,
content,docs/RURO_ruro_occ_post_estimation_report_fix_v1.md,docs/RURO_ruro_occ_post_estimation_report_fix_v1.md,15,
content,docs/RURO_WORKSPACE_AUDIT_2026-05-11.md,docs/RURO_WORKSPACE_AUDIT_2026-05-11.md,16,
content,notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,11,
content,reports/fr_2016_ruro_occ_gamspy_llm_summary_20260513_150938.md,reports/fr_2016_ruro_occ_gamspy_llm_summary_20260513_150938.md,15,
content,Results/rename_stijn_to_ruro_manifest_20260513T144955Z.csv,Results/rename_stijn_to_ruro_manifest_20260513T144955Z.csv,1170,Results/rename_stijn_to_ruro_manifest_20260513T144955Z.csv:70 contains 'Stijn Van Houtven' citation — line preserved verbatim
content,Results/RURO_ruro_occ_M0_full_rebuild_report_v1.md,Results/RURO_ruro_occ_M0_full_rebuild_report_v1.md,25,
content,Results/RURO_ruro_occ_M0_mnl_validation_report_v1.md,Results/RURO_ruro_occ_M0_mnl_validation_report_v1.md,13,
content,Results/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,Results/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,15,
content,Results/RURO_ruro_occ_M0_triage_memo_v1.md,Results/RURO_ruro_occ_M0_triage_memo_v1.md,15,
content,Results/_canary_ruro_occ_M0.py,Results/_canary_ruro_occ_M0.py,3,
content,Results/_step2_euromod.log,Results/_step2_euromod.log,1,
content,Results/_step3_mnl_prep.log,Results/_step3_mnl_prep.log,2,
content,Results/_validation_ruro_occ_M0.py,Results/_validation_ruro_occ_M0.py,2,
content,docs/canary_reports/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,docs/canary_reports/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,15,
content,docs/notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,docs/notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,11,
content,docs/mirrored/root/README.md,docs/mirrored/root/README.md,19,
content,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation.log,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation.log,27,
content,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results.json,outputs/estimates/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_11-27-40/estimation_results.json,4,
