kind,old_path,new_path,n_content_subs,warnings
content,docs/JMP_multi_year_stage_M1_implementation_plan_v1.md,docs/JMP_multi_year_stage_M1_implementation_plan_v1.md,4,
content,docs/JMP_multi_year_stage_M1_implementation_plan_v2.md,docs/JMP_multi_year_stage_M1_implementation_plan_v2.md,4,
content,docs/JMP_multi_year_stage_M1_implementation_report_v1.md,docs/JMP_multi_year_stage_M1_implementation_report_v1.md,1,
content,docs/JMP_single_year_replication_2015_2017_command_plan_v1.md,docs/JMP_single_year_replication_2015_2017_command_plan_v1.md,1,
content,docs/JMP_single_year_replication_2015_2017_command_plan_v2.md,docs/JMP_single_year_replication_2015_2017_command_plan_v2.md,1,
content,docs/RURO_NAMING_AND_PACKAGE_SCOPE_v1.md,docs/RURO_NAMING_AND_PACKAGE_SCOPE_v1.md,15,docs/RURO_NAMING_AND_PACKAGE_SCOPE_v1.md:86 contains 'Stijn Van Houtven' citation — line preserved verbatim
content,Results/JMP_multi_year_EUROMOD_output_readiness_v1.md,Results/JMP_multi_year_EUROMOD_output_readiness_v1.md,1,
content,Results/JMP_multi_year_feasibility_audit_v1.md,Results/JMP_multi_year_feasibility_audit_v1.md,1,
content,Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,2,
content,Results/JMP_multi_year_stage_M1_static_validation_report_v1.md,Results/JMP_multi_year_stage_M1_static_validation_report_v1.md,5,
content,Results/JMP_single_year_2016_local_mirror_report_v1.md,Results/JMP_single_year_2016_local_mirror_report_v1.md,1,
content,Results/JMP_single_year_consolidated_readiness_verdict_v1.md,Results/JMP_single_year_consolidated_readiness_verdict_v1.md,1,
content,Results/M1_validation_summary_20260520_093734.csv,Results/M1_validation_summary_20260520_093734.csv,1,
content,Results/M1_validation_summary_20260520_100947.csv,Results/M1_validation_summary_20260520_100947.csv,1,
content,Results/rename_stijn_to_ruro_manifest_20260513T145806Z.csv,Results/rename_stijn_to_ruro_manifest_20260513T145806Z.csv,1169,Results/rename_stijn_to_ruro_manifest_20260513T145806Z.csv:31 contains 'Stijn Van Houtven' citation — line preserved verbatim | Results/rename_stijn_to_ruro_manifest_20260513T145806Z.csv:32 contains 'Stijn Van Houtven' citation — line preserved verbatim | Results/rename_stijn_to_ruro_manifest_20260513T145806Z.csv:72 contains 'Stijn Van Houtven' citation — line preserved verbatim
content,scripts/multi_year/m1_validate.py,scripts/multi_year/m1_validate.py,10,
content,Data/processed/fr/fr_2016_RURO_mnl_v1gsurY2015__mnlmeta.json,Data/processed/fr/fr_2016_RURO_mnl_v1gsurY2015__mnlmeta.json,1,
content,Data/processed/fr/pooled/fr_p3a_harmonised__stage_m1_meta.json,Data/processed/fr/pooled/fr_p3a_harmonised__stage_m1_meta.json,1,
content,Data/processed/fr/pooled/archive_couples_only_20260520_120132/fr_p3a_harmonised__stage_m1_meta.json,Data/processed/fr/pooled/archive_couples_only_20260520_120132/fr_p3a_harmonised__stage_m1_meta.json,1,
