full_index_0based,param,block,status,free_index_0based,interior_index_0based,accepted_value_full_precision,spec_bound_lb,spec_bound_ub,runtime_bound_lb,runtime_bound_ub,active_bound_side,dist_to_lb,dist_to_ub,grad_full_negll,grad_free_negll,pin_value,pin_role,regional_design_column,regional_free_position
0,beta_l0_sm,preference_singles_male_leisure,interior,0,0,4.7803989338634505,0.05,50.0,0.05,50.0,,4.730398933863451,45.21960106613655,7.079770165674404e-07,7.079770165674404e-07,,,,
1,beta_l_age_sm,preference_singles_male_leisure,interior,1,1,0.35987419841164686,-5.0,5.0,-5.0,5.0,,5.359874198411647,4.640125801588353,-7.597027703309944e-07,-7.597027703309944e-07,,,,
2,beta_l_age2_sm,preference_singles_male_leisure,active_bound,2,,1.0,-1.0,1.0,-1.0,1.0,upper,2.0,0.0,-0.8445544161794221,-0.8445544161794221,,,,
3,theta_l_sm,preference_singles_male_leisure,interior,3,2,-2.340652291967503,-8.0,0.95,-8.0,0.95,,5.659347708032497,3.290652291967503,-7.995420256423635e-06,-7.995420257311814e-06,,,,
4,beta_l0_sf,preference_singles_female_leisure,interior,4,3,7.812070363474176,0.05,50.0,0.05,50.0,,7.762070363474177,42.18792963652582,1.1914491324815923e-05,1.1914491324815923e-05,,,,
5,beta_l_age_sf,preference_singles_female_leisure,interior,5,4,-0.8371192543510915,-5.0,5.0,-5.0,5.0,,4.162880745648908,5.837119254351092,9.320595311002045e-06,9.320595311002045e-06,,,,
6,beta_l_age2_sf,preference_singles_female_leisure,active_bound,6,,1.0,-1.0,1.0,-1.0,1.0,upper,2.0,0.0,-1.4682021491125388,-1.4682021491125388,,,,
7,beta_l_nkids_sf,preference_singles_female_leisure,interior,7,5,1.8774971436893362,-5.0,5.0,-5.0,5.0,,6.877497143689336,3.122502856310664,1.958144558339425e-05,1.9581445583394252e-05,,,,
8,theta_l_sf,preference_singles_female_leisure,interior,8,6,-1.9845879299336022,-8.0,0.95,-8.0,0.95,,6.0154120700663976,2.934587929933602,2.657338195377612e-06,2.6573381958217013e-06,,,,
9,theta_c_singles,preference_singles_consumption,interior,9,7,0.09345870248198829,-8.0,0.95,-8.0,0.95,,8.093458702481989,0.8565412975180117,2.047478972144745e-06,2.047478972144745e-06,,,,
10,beta_l0_m,preference_couples_male_leisure,pinned,,,1e-06,1e-06,50.0,1e-06,1e-06,,0.0,49.999999,0.0,,1e-06,structurally_inapplicable__unreferenced_by_singles_objective,,
11,beta_l_age_m,preference_couples_male_leisure,pinned,,,-0.067236897452355,-5.0,5.0,-0.067236897452355,-0.067236897452355,,4.932763102547645,5.067236897452355,0.0,,-0.067236897452355,structurally_inapplicable__unreferenced_by_singles_objective,,
12,beta_l_age2_m,preference_couples_male_leisure,pinned,,,0.0877504891847849,-1.0,1.0,0.0877504891847849,0.0877504891847849,,1.087750489184785,0.9122495108152152,0.0,,0.0877504891847849,structurally_inapplicable__unreferenced_by_singles_objective,,
13,beta_l0_f,preference_couples_female_leisure,pinned,,,10.052237044896549,0.05,50.0,10.052237044896549,10.052237044896549,,10.002237044896548,39.94776295510345,0.0,,10.052237044896549,structurally_inapplicable__unreferenced_by_singles_objective,,
