parameter,block,estimate,se_hessian,t_hessian,se_robust,t_robust,p_robust,fixed,at_lower_bound,at_upper_bound,primary_se
joint.beta_l0_sm,preference,4.428684219911562,,,,,,False,False,False,hessian
joint.beta_l_age_sm,preference,0.6668207450650255,,,,,,False,False,False,hessian
joint.beta_l_age2_sm,preference,0.3699041047999929,,,,,,False,False,False,hessian
joint.theta_l_sm,preference,-1.7902481257384688,,,,,,False,False,False,hessian
joint.beta_l0_sf,preference,3.8481239717963702,,,,,,False,False,False,hessian
joint.beta_l_age_sf,preference,0.4902081511371928,,,,,,False,False,False,hessian
joint.beta_l_age2_sf,preference,1.0,,,,,,False,False,True,hessian
joint.beta_l_nkids_sf,preference,1.781787227310545,,,,,,False,False,False,hessian
joint.theta_l_sf,preference,-1.4404485510439382,,,,,,False,False,False,hessian
joint.theta_c_singles,preference,0.0095074392328468,,,,,,False,False,False,hessian
joint.beta_l0_m,preference,1e-06,,,,,,False,True,False,hessian
joint.beta_l_age_m,preference,-0.0698610697652116,,,,,,False,False,False,hessian
joint.beta_l_age2_m,preference,0.1314979157709066,,,,,,False,False,False,hessian
joint.beta_l0_f,preference,10.259290544834183,,,,,,False,False,False,hessian
joint.beta_l_age_f,preference,-1.9208089256372487,,,,,,False,False,False,hessian
joint.beta_l_age2_f,preference,1.0,,,,,,False,False,True,hessian
joint.beta_l_nkids_f,preference,0.5212237553923443,,,,,,False,False,False,hessian
joint.theta_l_f,preference,-2.2272947496567244,,,,,,False,False,False,hessian
joint.beta_E_m,employment_hours_opportunity,-0.331052597077322,,,,,,False,False,False,hessian
joint.beta_E_f,employment_hours_opportunity,-1.023511207905809,,,,,,False,False,False,hessian
joint.beta_h_pt1,employment_hours_opportunity,-1.4274956916619763,,,,,,False,False,False,hessian
joint.beta_h_pt2_m,employment_hours_opportunity,-1.2107990564065296,,,,,,False,False,False,hessian
joint.beta_h_pt2_f,employment_hours_opportunity,0.391147139939206,,,,,,False,False,False,hessian
joint.beta_h_ft,employment_hours_opportunity,1.033848786496891,,,,,,False,False,False,hessian
joint.beta_h_lh,employment_hours_opportunity,-1.2442712312066109,,,,,,False,False,False,hessian
joint.beta_E_gsur,employment_hours_opportunity,-1.4041475001055892,,,,,,False,False,False,hessian
joint.beta_E_drgn2,employment_hours_opportunity,-0.070089442056251,,,,,,False,False,False,hessian
joint.beta_E_drgn3,employment_hours_opportunity,0.0844901603117195,,,,,,False,False,False,hessian
joint.beta_E_drgn4,employment_hours_opportunity,0.0027064252727236,,,,,,False,False,False,hessian
joint.beta_E_drgn5,employment_hours_opportunity,-0.1415002895353318,,,,,,False,False,False,hessian
joint.beta_E_drgn6,employment_hours_opportunity,-0.0538469656516173,,,,,,False,False,False,hessian
joint.beta_E_drgn7,employment_hours_opportunity,-0.1811166413194383,,,,,,False,False,False,hessian
joint.beta_E_drgn8,employment_hours_opportunity,-0.3444290883177278,,,,,,False,False,False,hessian
joint.beta_E_y2015,employment_hours_opportunity,-0.2509655381862847,,,,,,False,False,False,hessian
joint.beta_E_y2017,employment_hours_opportunity,-0.064185875931145,,,,,,False,False,False,hessian
joint.beta_E_drgur,employment_hours_opportunity,-0.5323375715092442,,,,,,False,False,False,hessian
joint.beta_E_drgmd,employment_hours_opportunity,-0.664401512023075,,,,,,False,False,False,hessian
joint.beta_occ_2_m,occupation_opportunity,-1.6264560776683907,,,,,,False,False,False,hessian
joint.beta_occ_3_m,occupation_opportunity,-2.327864310695183,,,,,,False,False,False,hessian
joint.beta_occ_4_m,occupation_opportunity,0.2572373517904284,,,,,,False,False,False,hessian
joint.beta_occ_2_f,occupation_opportunity,0.0178879593855979,,,,,,False,False,False,hessian
joint.beta_occ_3_f,occupation_opportunity,-0.4041362447375051,,,,,,False,False,False,hessian
joint.beta_occ_4_f,occupation_opportunity,0.8375712533560713,,,,,,False,False,False,hessian
joint.beta_w0,wage_opportunity,2.1970911702854434,,,,,,False,False,False,hessian
joint.beta_w_educL,wage_opportunity,-0.0606293062647533,,,,,,False,False,False,hessian
joint.beta_w_educH,wage_opportunity,0.3383714848527551,,,,,,False,False,False,hessian
joint.beta_w_pexp,wage_opportunity,0.3816484938092468,,,,,,False,False,False,hessian
joint.beta_w_pexp2,wage_opportunity,-0.0818299502951756,,,,,,False,False,False,hessian
joint.sigma,wage_opportunity,0.3899432737224143,,,,,,False,False,False,hessian
joint.theta_l_m,preference,-0.8,,,,,,False,False,False,hessian
