parameter,estimate,std_error,t_value,p_value,lower_bound,upper_bound,initial_value
joint.beta_l0_sm,4.428684219911562,,,,0.05,50.0,1.0
joint.beta_l_age_sm,0.6668207450650255,,,,-5.0,5.0,0.0
joint.beta_l_age2_sm,0.3699041047999929,,,,-1.0,1.0,0.0
joint.theta_l_sm,-1.7902481257384688,,,,-8.0,0.95,-1.0
joint.beta_l0_sf,3.8481239717963702,,,,0.05,50.0,1.0
joint.beta_l_age_sf,0.4902081511371928,,,,-5.0,5.0,0.0
joint.beta_l_age2_sf,1.0,,,,-1.0,1.0,0.0
joint.beta_l_nkids_sf,1.781787227310545,,,,-5.0,5.0,0.0
joint.theta_l_sf,-1.4404485510439382,,,,-8.0,0.95,-1.0
joint.theta_c_singles,0.0095074392328468,,,,-8.0,0.95,-1.0
joint.beta_l0_m,1e-06,,,,1e-06,50.0,0.01
joint.beta_l_age_m,-0.0698610697652116,,,,-5.0,5.0,0.0
joint.beta_l_age2_m,0.1314979157709066,,,,-1.0,1.0,0.0
joint.beta_l0_f,10.259290544834183,,,,0.05,50.0,1.0
joint.beta_l_age_f,-1.9208089256372487,,,,-5.0,5.0,0.0
joint.beta_l_age2_f,1.0,,,,-1.0,1.0,0.0
joint.beta_l_nkids_f,0.5212237553923443,,,,-5.0,5.0,0.0
joint.theta_l_f,-2.2272947496567244,,,,-8.0,0.95,-1.0
joint.beta_E_m,-0.331052597077322,,,,-25.0,25.0,-0.36
joint.beta_E_f,-1.023511207905809,,,,-25.0,25.0,-1.0
joint.beta_h_pt1,-1.4274956916619763,,,,-10.0,10.0,0.0
joint.beta_h_pt2_m,-1.2107990564065296,,,,-10.0,10.0,-1.19
joint.beta_h_pt2_f,0.391147139939206,,,,-10.0,10.0,0.37
joint.beta_h_ft,1.033848786496891,,,,-10.0,10.0,0.0
joint.beta_h_lh,-1.2442712312066109,,,,-10.0,10.0,0.0
joint.beta_E_gsur,-1.4041475001055892,,,,-10.0,10.0,0.0
joint.beta_E_drgn2,-0.070089442056251,,,,-10.0,10.0,0.0
joint.beta_E_drgn3,0.0844901603117195,,,,-10.0,10.0,0.0
joint.beta_E_drgn4,0.0027064252727236,,,,-10.0,10.0,0.0
joint.beta_E_drgn5,-0.1415002895353318,,,,-10.0,10.0,0.0
joint.beta_E_drgn6,-0.0538469656516173,,,,-10.0,10.0,0.0
joint.beta_E_drgn7,-0.1811166413194383,,,,-10.0,10.0,0.0
joint.beta_E_drgn8,-0.3444290883177278,,,,-10.0,10.0,0.0
joint.beta_E_y2015,-0.2509655381862847,,,,-5.0,5.0,0.0
joint.beta_E_y2017,-0.064185875931145,,,,-5.0,5.0,0.0
joint.beta_E_drgur,-0.5323375715092442,,,,-10.0,10.0,0.0
joint.beta_E_drgmd,-0.664401512023075,,,,-10.0,10.0,0.0
joint.beta_occ_2_m,-1.6264560776683907,,,,-15.0,15.0,0.0
joint.beta_occ_3_m,-2.327864310695183,,,,-15.0,15.0,0.0
joint.beta_occ_4_m,0.2572373517904284,,,,-15.0,15.0,0.0
joint.beta_occ_2_f,0.0178879593855979,,,,-15.0,15.0,0.0
joint.beta_occ_3_f,-0.4041362447375051,,,,-15.0,15.0,0.0
joint.beta_occ_4_f,0.8375712533560713,,,,-15.0,15.0,0.0
joint.beta_w0,2.1970911702854434,,,,-10.0,20.0,2.0
joint.beta_w_educL,-0.0606293062647533,,,,-5.0,5.0,-0.1
joint.beta_w_educH,0.3383714848527551,,,,-5.0,5.0,0.2
joint.beta_w_pexp,0.3816484938092468,,,,-1.0,1.0,0.02
joint.beta_w_pexp2,-0.0818299502951756,,,,-0.1,0.1,-0.0003
joint.sigma,0.3899432737224143,,,,0.1,20.0,0.5
joint.theta_l_m,-0.8,,,,,,
