parameter,value
beta_l0_sm,3.2530103906993517
beta_l_age_sm,0.7159661552094058
beta_l_age2_sm,0.45689000944547686
theta_l_sm,-2.5421176734744453
beta_l0_sf,2.67011408052175
beta_l_age_sf,0.48518829951069126
beta_l_age2_sf,1.306713179223346
beta_l_nkids_sf,2.000497024977447
theta_l_sf,-1.7295137471551738
theta_c_singles,-0.05386763049101026
beta_l0_m,-0.015020986494776312
beta_l_age_m,0.0008258002830834606
beta_l_age2_m,0.0020610902533212865
theta_l_m,3.4424591225557455
beta_l0_f,4.800379381871277
beta_l_age_f,-4.162790932720437
beta_l_age2_f,5.012171939933857
beta_l_nkids_f,1.5629331716408905
theta_l_f,-3.15026059998189
beta_E,-0.8771759135062044
beta_h_pt1,-1.3962015109715442
beta_h_pt2,-0.22313369361214672
beta_h_ft,0.8490780269859433
beta_h_lh,-1.7794929082519972
beta_E_gsur,-1.768771019293515
beta_E_drgn2,0.06268802427748534
beta_E_drgn3,0.2161424230447034
beta_E_drgn4,0.14377589358258436
beta_E_drgn5,-0.019474992082516105
beta_E_drgn6,0.024252946901937807
beta_E_drgn7,-0.114434599062133
beta_E_drgn8,-0.1798520741416239
beta_E_y2015,-0.2481576008922684
beta_E_y2017,0.007751166333564347
beta_E_drgur,-0.47908665253562166
beta_E_drgmd,-0.6337890933244624
beta_occ_2_m,-1.6825180014200776
beta_occ_3_m,-2.3764261174647614
beta_occ_4_m,0.19387676569512316
beta_occ_2_f,0.18993765952542221
beta_occ_3_f,-0.2668259474406165
beta_occ_4_f,0.9869027748733342
beta_w0,2.225298298891709
beta_w_educL,-0.06141541742499009
beta_w_educH,0.34872848892436714
beta_w_pexp,0.39721111347306925
beta_w_pexp2,-0.08725229212600531
sigma,0.392967415636954
