sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
assets,afc,ASSETS : Financial Capital,financial income,1,0,0,0,0,0,0
assets,amrtn,ASSETS : Main Residence : Tenure 1 Owned on mortgage 2 Owned outright 3 Rented 4 Reduced Rented 5 Social Rented 6 Free 7 Other,tenure status,0,7482,63155144.39457703,3,0,3,3
expenditure shares,xs01111,EXPENDITURE SHARE: Rice,01111 : 01 Food and nonalcoholic beverages - 1 Food - 1 Bread and cereals - 1 Rice,0,7482,63155144.39457703,0.0006930941117970076,0.0022120055883034623,0,0.03153754025697708
expenditure shares,xs01112,EXPENDITURE SHARE: Bread,01112 : 01 Food and nonalcoholic beverages - 1 Food - 1 Bread and cereals - 2 Bread,0,7482,63155144.39457703,0.0011063110513440727,0.0025335813195002874,0,0.030491210520267487
expenditure shares,xs01113,EXPENDITURE SHARE: Pasta products,01113 : 01 Food and nonalcoholic beverages - 1 Food - 1 Bread and cereals - 3 Pasta products,0,7482,63155144.39457703,0.001196451337178159,0.0028848682301101172,0,0.016326621174812317
expenditure shares,xs01114,EXPENDITURE SHARE: Pastry-cook products,01114 : 01 Food and nonalcoholic beverages - 1 Food - 1 Bread and cereals - 4 Pastry-cook products,0,7482,63155144.39457703,0.002437213541205795,0.004464026277604571,0,0.05080746114253998
expenditure shares,xs01115,EXPENDITURE SHARE: Sandwiches,01115 : 01 Food and nonalcoholic beverages - 1 Food - 1 Bread and cereals - 5 Sandwiches,0,7482,63155144.39457703,0,0,0,0
expenditure shares,xs01116,EXPENDITURE SHARE: Other products,01116 : 01 Food and nonalcoholic beverages - 1 Food - 1 Bread and cereals - 6 Other products,0,7482,63155144.39457703,0.008095076418014322,0.008065072221220783,0,0.06846460700035095
expenditure shares,xs01121,"EXPENDITURE SHARE: Fresh, chilled or frozen meat of bovine animals","01121 : 01 Food and nonalcoholic beverages - 1 Food - 2 Meat - 1 Fresh, chilled or frozen meat of bovine animals",0,7482,63155144.39457703,0.0031881813146680165,0.0074727940856487655,0,0.16647690534591675
expenditure shares,xs01122,"EXPENDITURE SHARE: Fresh, chilled or frozen meat of swine","01122 : 01 Food and nonalcoholic beverages - 1 Food - 2 Meat - 2 Fresh, chilled or frozen meat of swine",0,7482,63155144.39457703,0.001106199823015913,0.0031163084846464882,0,0.0620407871901989
expenditure shares,xs01123,"EXPENDITURE SHARE: Fresh, chilled or frozen meat of sheep and goat","01123 : 01 Food and nonalcoholic beverages - 1 Food - 2 Meat - 3 Fresh, chilled or frozen meat of sheep and goat",0,7482,63155144.39457703,0.0008038847538599963,0.006289782479948055,0,0.19233785569667816
expenditure shares,xs01124,"EXPENDITURE SHARE: Fresh, chilled or frozen meat of poultry","01124 : 01 Food and nonalcoholic beverages - 1 Food - 2 Meat - 4 Fresh, chilled or frozen meat of poultry",0,7482,63155144.39457703,0.002754133091159387,0.006055267135806604,0,0.05197644606232643
expenditure shares,xs01125,"EXPENDITURE SHARE: Dried, salted or smoked meat and edible meat offal","01125 : 01 Food and nonalcoholic beverages - 1 Food - 2 Meat - 5 Dried, salted or smoked meat and edible meat offal",0,7482,63155144.39457703,0.001680905415272838,0.003914995937208226,0,0.05231264978647232
expenditure shares,xs01126,EXPENDITURE SHARE: Other preserved or processed meat and meat preparations,01126 : 01 Food and nonalcoholic beverages - 1 Food - 2 Meat - 6 Other preserved or processed meat and meat preparations,0,7482,63155144.39457703,0,0,0,0
