"RelativePath","RootsPresent","Lengths","Times"
"Data\DE_2008_a8.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","9399143","U:\EUROMOD-STORAGE=2018-04-26 15:59:56 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:03"
"Data\DE_2010_a8.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","10501058","U:\EUROMOD-STORAGE=2018-04-26 15:39:44 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:03"
"Data\DE_2012_a8.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","11269247","U:\EUROMOD-STORAGE=2018-04-26 15:15:48 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:03"
"Data\DE_2014_a3.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","10920600","U:\EUROMOD-STORAGE=2018-04-26 14:45:30 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:03"
"Data\DE_2015_a1.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","10258891","U:\EUROMOD-STORAGE=2018-04-12 15:39:46 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:03"
"Data\DE_2016_a1.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","10508459","U:\EUROMOD-STORAGE=2018-04-09 16:41:12 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:04"
"Data\DE_2017_a2.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","10765697","U:\EUROMOD-STORAGE=2019-11-25 10:25:32 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:04"
"Data\DE_2018_a1.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","10291249","U:\EUROMOD-STORAGE=2020-05-12 15:31:18 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:04"
"Data\DE_2019_a2.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","9982009","U:\EUROMOD-STORAGE=2021-10-21 11:38:02 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:04"
"Data\DE_2020_b1.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","19878339","U:\EUROMOD-STORAGE=2022-11-15 15:27:44 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:04"
"Data\DE_2021_b1.txt","U:\EUROMOD-STORAGE; Z:\Hisham\EUROMOD-STORAGE","25730582","U:\EUROMOD-STORAGE=2023-05-29 16:22:37 | Z:\Hisham\EUROMOD-STORAGE=2026-02-04 16:01:04"
