"Root","Folder","FullName","FileCount","SizeBytes","Size","LastWriteTime"
"U:\EUROMOD-STORAGE\RURO1","_bestwithses1","U:\EUROMOD-STORAGE\RURO1\_bestwithses1","17","904050","882,86 KB","08-12-25 01:23:01"
"U:\EUROMOD-STORAGE\RURO1","2016","U:\EUROMOD-STORAGE\RURO1\2016","9","33261239","31,72 MB","05-12-25 20:29:52"
"U:\EUROMOD-STORAGE\RURO1","2021","U:\EUROMOD-STORAGE\RURO1\2021","100","950048091","906,04 MB","03-12-25 10:50:22"
"U:\EUROMOD-STORAGE\RURO1","actua_1","U:\EUROMOD-STORAGE\RURO1\actua_1","22","998814","975,40 KB","06-12-25 16:59:08"
"U:\EUROMOD-STORAGE\RURO1","bad_results","U:\EUROMOD-STORAGE\RURO1\bad_results","3","16224","15,84 KB","03-12-25 11:13:54"
"U:\EUROMOD-STORAGE\RURO1","best_by_far","U:\EUROMOD-STORAGE\RURO1\best_by_far","16","891297","870,41 KB","07-12-25 01:17:57"
"U:\EUROMOD-STORAGE\RURO1","enhanced_results1","U:\EUROMOD-STORAGE\RURO1\enhanced_results1","120","3929339","3,75 MB","06-12-25 18:57:41"
"U:\EUROMOD-STORAGE\RURO1","perpartion_2016","U:\EUROMOD-STORAGE\RURO1\perpartion_2016","65","1738467","1,66 MB","05-12-25 20:30:45"
"U:\EUROMOD-STORAGE\RURO1","try1","U:\EUROMOD-STORAGE\RURO1\try1","101","943267717","899,57 MB","01-12-25 17:14:12"
"U:\EUROMOD-STORAGE\RURO1","try2","U:\EUROMOD-STORAGE\RURO1\try2","98","794911791","758,09 MB","01-12-25 19:27:25"
"U:\EUROMOD-STORAGE\RURO1","try3","U:\EUROMOD-STORAGE\RURO1\try3","101","3703701364","3,45 GB","03-12-25 10:36:16"
"U:\EUROMOD-STORAGE\RURO1","try4","U:\EUROMOD-STORAGE\RURO1\try4","98","249878631","238,30 MB","03-12-25 17:31:17"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","_bestwithses1","Z:\Hisham\EUROMOD-STORAGE\RURO1\_bestwithses1","17","904050","882,86 KB","04-02-26 16:03:10"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","2016","Z:\Hisham\EUROMOD-STORAGE\RURO1\2016","9","33261239","31,72 MB","04-02-26 16:02:28"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","2021","Z:\Hisham\EUROMOD-STORAGE\RURO1\2021","100","950048091","906,04 MB","04-02-26 16:02:34"
