"Root","RelativePath","FullName","FileCount","SizeBytes","LastWriteTime"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\job_model","U:\EUROMOD-STORAGE\Data\processed\fr\2016\job_model","2","16965","03-02-26 21:35:13"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\job_model\euromod_scenarios","U:\EUROMOD-STORAGE\Data\processed\fr\2016\job_model\euromod_scenarios","0","0","03-02-26 21:35:05"
"U:\EUROMOD-STORAGE","Data\processed\fr\2016\job_model_gmm","U:\EUROMOD-STORAGE\Data\processed\fr\2016\job_model_gmm","3","39197","19-02-26 11:04:50"
"U:\EUROMOD-STORAGE","interim\ruro","U:\EUROMOD-STORAGE\interim\ruro","5","760847544","03-12-25 23:31:08"
"U:\EUROMOD-STORAGE","interim\ruro\fr","U:\EUROMOD-STORAGE\interim\ruro\fr","5","760847544","03-02-26 21:59:33"
"U:\EUROMOD-STORAGE","interim\ruro\fr\2016","U:\EUROMOD-STORAGE\interim\ruro\fr\2016","2","206452697","03-02-26 21:59:33"
"U:\EUROMOD-STORAGE","interim\ruro\fr\2016\job_model","U:\EUROMOD-STORAGE\interim\ruro\fr\2016\job_model","2","206452697","03-02-26 21:59:33"
"U:\EUROMOD-STORAGE","interim\ruro\fr\2016\job_model\scenarios","U:\EUROMOD-STORAGE\interim\ruro\fr\2016\job_model\scenarios","2","206452697","04-02-26 01:07:53"
"U:\EUROMOD-STORAGE","interim\ruro\fr\scenarios_2016","U:\EUROMOD-STORAGE\interim\ruro\fr\scenarios_2016","2","487885111","21-12-25 22:23:53"
"U:\EUROMOD-STORAGE","interim\ruro\fr\scenarios_2016_reduced","U:\EUROMOD-STORAGE\interim\ruro\fr\scenarios_2016_reduced","1","66509736","16-01-26 17:34:02"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates","134","9355427","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_backward_compat_test","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_backward_compat_test","8","549990","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_cleaned","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_cleaned","15","1035478","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_contours_test","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_contours_test","16","1280610","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_enhanced_test","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_enhanced_test","8","562210","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_final_contours","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_final_contours","15","1083335","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_final_test","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_final_test","8","539074","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_full_test","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_full_test","8","448559","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_test","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_test","2","20839","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_test_report","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_test_report","8","550000","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_with_prefix","U:\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_with_prefix","16","1083787","14-12-25 13:39:37"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\de\2014\outputs","U:\EUROMOD-STORAGE\old_Data_results\old_data\de\2014\outputs","85","1364398","14-12-25 13:34:29"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\de\2014\outputs\plots","U:\EUROMOD-STORAGE\old_Data_results\old_data\de\2014\outputs\plots","81","1359532","14-12-25 13:34:29"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\de\2015\outputs","U:\EUROMOD-STORAGE\old_Data_results\old_data\de\2015\outputs","85","1358765","07-11-25 11:57:20"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\de\2015\outputs\plots","U:\EUROMOD-STORAGE\old_Data_results\old_data\de\2015\outputs\plots","81","1353896","07-11-25 11:57:29"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\de\2016\outputs","U:\EUROMOD-STORAGE\old_Data_results\old_data\de\2016\outputs","85","1351768","07-11-25 11:58:17"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\de\2016\outputs\plots","U:\EUROMOD-STORAGE\old_Data_results\old_data\de\2016\outputs\plots","81","1346900","07-11-25 11:58:25"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\fr\2021\outputs","U:\EUROMOD-STORAGE\old_Data_results\old_data\fr\2021\outputs","85","1370419","03-12-25 23:29:47"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\fr\2021\outputs\plots","U:\EUROMOD-STORAGE\old_Data_results\old_data\fr\2021\outputs\plots","81","1365545","03-12-25 23:29:56"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios","98","108620698","14-12-25 13:34:22"
"U:\EUROMOD-STORAGE","old_Data_results\old_data\scenarios\DE_2014","U:\EUROMOD-STORAGE\old_Data_results\old_data\scenarios\DE_2014","23","24751481","07-11-25 11:57:08"
