"Root","Type","Name","FullName","LastWriteTime","FileCount","SizeBytes","Size"
"U:\EUROMOD-STORAGE","DIR","boxcox_local","U:\EUROMOD-STORAGE\boxcox_local","14-12-25 13:30:55","0","0","0 B"
"U:\EUROMOD-STORAGE","DIR","Data","U:\EUROMOD-STORAGE\Data","04-12-25 09:32:05","146","2640450799","2,46 GB"
"U:\EUROMOD-STORAGE","DIR","EUROMOD_RELEASES_I6","U:\EUROMOD-STORAGE\EUROMOD_RELEASES_I6","06-12-25 19:05:40","3","142","142 B"
"U:\EUROMOD-STORAGE","DIR","EUROMOD_RELEASES_J1.0+","U:\EUROMOD-STORAGE\EUROMOD_RELEASES_J1.0+","15-12-25 13:42:34","213","2028390641","1,89 GB"
"U:\EUROMOD-STORAGE","DIR","gamspy","U:\EUROMOD-STORAGE\gamspy","26-11-25 15:18:08","70","1521776","1,45 MB"
"U:\EUROMOD-STORAGE","DIR","interim","U:\EUROMOD-STORAGE\interim","01-12-25 23:51:20","5","760847544","725,60 MB"
"U:\EUROMOD-STORAGE","DIR","male_ascsON_q99","U:\EUROMOD-STORAGE\male_ascsON_q99","26-11-25 12:03:56","1","11264","11,00 KB"
"U:\EUROMOD-STORAGE","DIR","old rep","U:\EUROMOD-STORAGE\old rep","07-11-25 12:54:20","185","2803616","2,67 MB"
"U:\EUROMOD-STORAGE","DIR","old_Data_results","U:\EUROMOD-STORAGE\old_Data_results","14-12-25 13:39:35","914","421333720","401,82 MB"
"U:\EUROMOD-STORAGE","DIR","outputs","U:\EUROMOD-STORAGE\outputs","29-11-25 17:59:28","68","3660549","3,49 MB"
"U:\EUROMOD-STORAGE","DIR","reports","U:\EUROMOD-STORAGE\reports","07-12-25 01:19:59","317","7840947","7,48 MB"
"U:\EUROMOD-STORAGE","DIR","RURO1","U:\EUROMOD-STORAGE\RURO1","08-12-25 01:23:00","750","6683547024","6,22 GB"
"Z:\Hisham\EUROMOD-STORAGE","DIR","boxcox_local","Z:\Hisham\EUROMOD-STORAGE\boxcox_local","14-12-25 13:30:55","0","0","0 B"
