run_path,timestamp,specification,spec_config,mnl_base,group,opt_method,analytical_gradient,success_all_groups,joint_ll,n_obs_total,n_groups_total,walltime_seconds,prior_correction,market_centering,hessian_condition,negative_eigs,command_line
outputs\estimates\fr\2016,2026-01-09T05:50:13.704153,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,False,-5148.163890557068,425300,4253,1192.8533561229706,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016 --group joint --method L-BFGS-B --maxiter 1000 --n-jobs 32 --spec-config scripts\enhanced\estimation_spec.yaml
outputs\estimates\fr\2016\test_run,2026-01-09T05:08:59.222387,base_vw,estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,False,-13039.01367966284,425300,4253,24.808894634246826,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs/estimates/fr/2016/test_run --group joint --maxiter 10 --skip-se --n-jobs 1
outputs\estimates\fr\2016\test_run2,2026-01-09T05:19:32.856240,base_vw,estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,False,-13039.01367966284,425300,4253,25.013530254364014,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs/estimates/fr/2016/test_run2 --group joint --maxiter 10 --skip-se
outputs\estimates\fr\2016_gamspy\run_2026-01-16_20-10-05,2026-01-16T20:12:46.083254,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,False,-15053.627048719412,425300,4253,90.59832668304443,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016_gamspy --group joint --solver gamspy-conopt --spec-config scripts\enhanced\estimation_spec.yaml --auto-timestamp
outputs\estimates\fr\2016_gamspy\run_2026-01-16_20-22-31,2026-01-16T20:25:08.150688,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,False,-15053.627048719412,425300,4253,90.86600542068481,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016_gamspy --group joint --solver gamspy-conopt --spec-config scripts\enhanced\estimation_spec.yaml --auto-timestamp
outputs\estimates\fr\2016_gamspy\run_2026-01-17_10-09-26,2026-01-17T10:16:57.597478,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-10408.923222855603,425300,4253,364.7906086444855,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016_gamspy --group joint --solver gamspy-conopt --spec-config scripts\enhanced\estimation_spec.yaml --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-17_14-53-16,2026-01-17T14:59:25.310235,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-10408.923222855603,425300,4253,270.4751486778259,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016_gamspy --group joint --solver gamspy-conopt --spec-config scripts\enhanced\estimation_spec.yaml --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-17_15-10-15,2026-01-17T15:15:50.195302,base_vw,scripts/enhanced/estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-10408.923222855603,425300,4253,272.1134819984436,,,,,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config scripts/enhanced/estimation_spec.yaml --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-17_19-42-09,2026-01-17T19:57:12.901296,base_vw,scripts\enhanced\estimation_spec.yaml,U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-4878.61883364321,425300,4253,815.8715279102325,,,,,scripts\enhanced\enh_RURO_estimate_FR.py --mnl-base U:/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir outputs\estimates\fr\2016_gamspy --group joint --solver gamspy-conopt --spec-config scripts\enhanced\estimation_spec.yaml --auto-timestamp --verbose
outputs\estimates\fr\2016_gamspy\run_2026-01-20_14-05-59,2026-01-20T14:21:19.734231,base_vw,U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml,Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl,joint,L-BFGS-B,True,True,-6998.54947633401,425300,4253,853.8308475017548,,,,,scripts/enhanced/enh_RURO_estimate_FR.py --mnl-base Z:/hisham/EUROMOD-STORAGE/Data/processed/fr/2016/fr_2016_RURO_mnl --output-dir U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_gamspy --group joint --solver gamspy-conopt --spec-config U:/Desktop/Nizam_Hisham/MNL/scripts/enhanced/estimation_spec.yaml --warm-start U:/Desktop/Nizam_Hisham/MNL/outputs/estimates/fr/2016_legacy/estimation_results.json --auto-timestamp --verbose
