"RunPath","RelativePath","FileCount","HasResults","HasSummary","HasDiagnostics","HasSpec","LastWriteTime"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53","_gamspy\run_2026-01-22_16-14-53","7","True","True","False","True","22-01-26 16:28:34"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_11-39-07","-01-27_11-39-07","4","True","True","False","True","27-01-26 12:06:47"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18","-01-27_12-09-18","4","True","True","False","True","27-01-26 12:20:14"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01","016_gamspy\run_2026-01-23_14-10-01","7","True","True","False","True","23-01-26 14:29:39"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-49-16","016_gamspy\run_2026-01-23_14-49-16","7","True","True","False","True","23-01-26 14:59:18"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_15-41-04","016_gamspy\run_2026-01-23_15-41-04","8","True","True","False","True","23-01-26 16:06:26"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_scipy\run_2026-01-23_14-13-07","016_scipy\run_2026-01-23_14-13-07","4","True","True","False","True","23-01-26 14:14:25"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_scipy\run_2026-01-23_14-24-06","016_scipy\run_2026-01-23_14-24-06","4","True","True","False","True","23-01-26 14:25:08"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_scipy\run_2026-01-23_14-27-28","016_scipy\run_2026-01-23_14-27-28","4","True","True","False","True","23-01-26 14:27:41"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_scipy\run_2026-01-23_14-51-29","016_scipy\run_2026-01-23_14-51-29","4","True","True","False","True","23-01-26 14:51:40"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_scipy\run_2026-01-23_15-42-32","016_scipy\run_2026-01-23_15-42-32","4","True","True","False","True","23-01-26 15:42:43"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_scipy\run_2026-01-16_23-53-37","026-01-16_23-53-37","1","False","False","False","False","16-01-26 23:53:37"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_scipy\run_2026-01-17_15-20-10","026-01-17_15-20-10","1","False","False","False","False","17-01-26 15:20:10"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_scipy\run_2026-01-20_12-28-08","026-01-20_12-28-08","1","False","False","False","False","20-01-26 12:28:08"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_scipy\run_2026-01-20_12-31-49","026-01-20_12-31-49","4","True","True","False","True","20-01-26 12:44:47"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_scipy\run_2026-01-20_14-29-22","026-01-20_14-29-22","4","True","True","False","True","20-01-26 14:44:36"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_scipy\run_2026-01-20_15-11-40","026-01-20_15-11-40","4","True","True","False","True","20-01-26 15:27:05"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_11-35-36","2026-01-16_11-35-36","1","False","False","False","False","16-01-26 11:35:36"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_11-46-07","2026-01-16_11-46-07","1","False","False","False","False","16-01-26 11:46:07"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_11-48-57","2026-01-16_11-48-57","1","False","False","False","False","16-01-26 11:48:57"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_11-51-21","2026-01-16_11-51-21","1","False","False","False","False","16-01-26 11:51:21"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_12-01-32","2026-01-16_12-01-32","1","False","False","False","False","16-01-26 12:01:32"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_16-07-59","2026-01-16_16-07-59","1","False","False","False","False","16-01-26 16:07:59"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_16-24-38","2026-01-16_16-24-38","1","False","False","False","False","16-01-26 16:24:38"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_16-28-31","2026-01-16_16-28-31","1","False","False","False","False","16-01-26 16:28:31"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_16-53-03","2026-01-16_16-53-03","1","False","False","False","False","16-01-26 16:53:03"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_18-30-52","2026-01-16_18-30-52","1","False","False","False","False","16-01-26 18:30:52"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_18-37-23","2026-01-16_18-37-23","1","False","False","False","False","16-01-26 18:37:23"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-16_18-41-47","2026-01-16_18-41-47","1","False","False","False","False","16-01-26 18:41:47"
