"Root","RelativePath","FullName","Name","Extension","Length","LastWriteTime"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL",".png","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_v2\cou_f_mu.png","cou_f_mu.png",".png","66502","09-01-26 09:25:29"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL",".png","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_v2\cou_m_mu.png","cou_m_mu.png",".png","68403","09-01-26 09:25:29"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_estimation_report_20260109_103100.html","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_legacy\post_estimation_report_20260109_103100.html","post_estimation_report_20260109_103100.html",".html","47369","09-01-26 10:31:00"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\estimation.log","estimation.log",".log","24177","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\estimation_results.json","estimation_results.json",".json","36960","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\estimation_results_couples.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\estimation_results_couples.csv","estimation_results_couples.csv",".csv","1131","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\estimation_results_singles_female.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\estimation_results_singles_female.csv","estimation_results_singles_female.csv",".csv","1131","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\estimation_results_singles_male.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\estimation_results_singles_male.csv","estimation_results_singles_male.csv",".csv","1131","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\estimation_summary.txt","estimation_summary.txt",".txt","5155","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_gamspy\run_2026-01-22_16-14-53\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\simple_spec\2016_gamspy\run_2026-01-22_16-14-53\specification_used.yaml","specification_used.yaml",".yaml","5197","22-01-26 16:28:34"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_hours.png","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_v2\fit_mean_hours.png","fit_mean_hours.png",".png","30973","09-01-26 09:25:26"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","_mu_diagnostics.png","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_v2\negative_mu_diagnostics.png","negative_mu_diagnostics.png",".png","39678","09-01-26 09:25:29"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_11-39-07\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_11-39-07\estimation.log","estimation.log",".log","49157","27-01-26 12:06:47"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_11-39-07\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_11-39-07\estimation_results.json","estimation_results.json",".json","25582","27-01-26 12:06:47"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_11-39-07\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_11-39-07\estimation_summary.txt","estimation_summary.txt",".txt","492","27-01-26 12:06:47"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_11-39-07\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_11-39-07\specification_used.yaml","specification_used.yaml",".yaml","10330","27-01-26 12:06:47"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_12-09-18\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18\estimation.log","estimation.log",".log","30411","27-01-26 12:20:14"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_12-09-18\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18\estimation_results.json","estimation_results.json",".json","26581","27-01-26 12:20:14"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_12-09-18\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18\estimation_summary.txt","estimation_summary.txt",".txt","491","27-01-26 12:20:14"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","-01-27_12-09-18\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec_v2\run_2026-01-27_12-09-18\specification_used.yaml","specification_used.yaml",".yaml","10330","27-01-26 12:20:14"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation.log","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation.log","estimation.log",".log","22680","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results.json","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results.json","estimation_results.json",".json","18955","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results_couples.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results_couples.csv","estimation_results_couples.csv",".csv","737","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_female.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_female.csv","estimation_results_singles_female.csv",".csv","737","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_male.csv","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_results_singles_male.csv","estimation_results_singles_male.csv",".csv","737","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\estimation_summary.txt","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\estimation_summary.txt","estimation_summary.txt",".txt","3759","23-01-26 14:20:37"
"Microsoft.PowerShell.Core\FileSystem::\\crc\users\hisham\Desktop\Nizam_Hisham\MNL","016_gamspy\run_2026-01-23_14-10-01\specification_used.yaml","\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_theta0\2016_gamspy\run_2026-01-23_14-10-01\specification_used.yaml","specification_used.yaml",".yaml","3885","23-01-26 14:20:37"
