,estimate,se_hessian,se_clustered,t_robust,ratio_cl_h
beta_l0_sm,4.673666189742887,1.7624215569319488,2.4438444693020727,1.9124237440026697,1.386640137082955
beta_l_age_sm,0.5778449299537604,1.0917068429258434,1.0804442936229068,0.5348215853092727,0.98968354061723
theta_l_sm,-2.305835343113182,0.3524019582205075,0.2581273791929598,-8.932935941636336,0.7324799796698135
beta_l0_sf,7.838974918831463,2.5822803599282786,3.9394428792220197,1.9898689127279696,1.5255674559409327
beta_l_age_sf,-0.7040510515092545,1.3050086342500582,1.0727659157145228,-0.6562951350298231,0.822037408458223
beta_l_nkids_sf,1.83653212178056,1.5927449485789078,1.472271465196354,1.2474140572544652,0.924361095296492
theta_l_sf,-1.9979593589450353,0.2757565177204522,0.2985804879535474,-6.691526873168866,1.0827685612719877
theta_c_singles,0.09432627112230008,0.04636666418651682,0.07731296758776098,1.2200575668658253,1.6674257021544194
beta_E,-4.313626626641255,0.09992401435250244,0.10073349591528358,-42.822167417568785,1.0081009712032338
beta_h_pt1,-1.279248546961431,0.16312502813154264,0.1654620218582921,-7.73137262916458,1.0143263958542579
beta_h_pt2,-0.9767922027495209,0.17859182076344907,0.18399419022445138,-5.308820901127088,1.0302498145654606
beta_h_ft,0.889063752869026,0.06723961892360719,0.07414700777748238,11.990554703665664,1.1027279595638826
beta_h_lh,-1.4512015597752,0.11490273839723449,0.13947078699649795,-10.40505751080073,1.2138160407833656
beta_E_gsur,-1.306190335762088,7.561784094766744e-14,1.0940470972520365e-13,-11939068610875.168,1.4468108101753259
beta_E_drgn2,-0.075028607972602,0.0,0.0,-inf,
beta_E_drgn3,0.031313770382988,4.006251088332995e-14,6.069092381179598e-14,515954749347.57556,1.5149056430471892
beta_E_drgn4,-0.0168585564606559,0.0,0.0,-inf,
beta_E_drgn5,-0.1402066979956915,0.0,0.0,-inf,
beta_E_drgn6,-0.0484589776197602,0.0,0.0,-inf,
beta_E_drgn7,-0.1751526570287388,7.113146991513563e-15,1.0586869909652113e-14,-16544328826507.17,1.4883524721593584
beta_E_drgn8,-0.3656941546069446,0.0,0.0,-inf,
beta_E_drgur,-0.530487815363722,4.280731189036121e-16,6.756222646646618e-16,-785184034198494.4,1.5782870608532409
beta_E_drgmd,-0.6675446983120384,0.0,0.0,-inf,
beta_occ_2_m,-1.3076794753864938,0.14656001425601534,0.1555926684824504,-8.404505740153107,1.0616310954409198
beta_occ_3_m,-1.8929901108362324,0.18900992120527085,0.19567354163407355,-9.674226239418141,1.0352554002790457
beta_occ_4_m,0.25476997154548914,0.08931837877531228,0.09364861222611251,2.720488488717298,1.0484808782937416
beta_occ_2_f,-0.05840232936771034,0.11629734839955475,0.12179404390055527,-0.47951712166972454,1.0472641515618732
beta_occ_3_f,-0.4383094696772179,0.128683304320199,0.13311932643001068,-3.2926058254033097,1.034472398212387
beta_occ_4_f,0.8817957569037632,0.09592350756010795,0.09898927682357728,8.907992715972009,1.0319605625508246
beta_w0,2.139855088743592,0.04297637426325888,0.05501753951143023,38.894052837441485,1.280181040271364
beta_w_educL,0.009656945312863124,0.037153596577047775,0.04265882100034031,0.22637628247592886,1.1481747375890246
beta_w_educH,0.34917211124277797,0.02560499356349349,0.02719118139990983,12.841373315391728,1.0619483786427448
beta_w_pexp,0.23714401250487877,0.08327095376950566,0.0992119388374092,2.3902769695239585,1.1914351204866496
beta_w_pexp2,-0.011984631780678741,0.039032473010351884,0.04453112993085828,-0.26912929897100757,1.140873905659221
sigma,0.4135199735096618,0.00837248907654469,0.01513842993838774,27.315908927983727,1.8081158183648942
