parameter,block,estimate,se_hessian,t_hessian,se_robust,t_robust,p_robust,fixed,at_lower_bound,at_upper_bound,primary_se
joint.beta_l0_sm,preference,4.673678004312863,,,,,,False,False,False,none
joint.beta_l_age_sm,preference,0.5778397599114109,,,,,,False,False,False,none
joint.beta_l_age2_sm,preference,1.0,,,,,,False,False,False,none
joint.theta_l_sm,preference,-2.305836898880668,,,,,,False,False,False,none
joint.beta_l0_sf,preference,7.838988132809018,,,,,,False,False,False,none
joint.beta_l_age_sf,preference,-0.7040569159293198,,,,,,False,False,False,none
joint.beta_l_age2_sf,preference,1.0,,,,,,False,False,False,none
joint.beta_l_nkids_sf,preference,1.836517951111032,,,,,,False,False,False,none
joint.theta_l_sf,preference,-1.9979599116306608,,,,,,False,False,False,none
joint.theta_c_singles,preference,0.0943262717981926,,,,,,False,False,False,none
joint.beta_l0_m,preference,9.999999974752427e-07,,,,,,False,False,False,none
joint.beta_l_age_m,preference,-0.0672369003295898,,,,,,False,False,False,none
joint.beta_l_age2_m,preference,0.0877504870295524,,,,,,False,False,False,none
joint.beta_l0_f,preference,10.052237510681152,,,,,,False,False,False,none
joint.beta_l_age_f,preference,-1.7802534103393557,,,,,,False,False,False,none
joint.beta_l_age2_f,preference,1.0,,,,,,False,False,False,none
joint.beta_l_nkids_f,preference,0.5857198238372803,,,,,,False,False,False,none
joint.theta_l_f,preference,-2.1317391395568848,,,,,,False,False,False,none
joint.beta_E,other,-4.313626489498226,,,,,,False,False,False,none
joint.beta_h_pt1,employment_hours_opportunity,-1.2792498514363826,,,,,,False,False,False,none
joint.beta_h_pt2,employment_hours_opportunity,-0.9767927594045346,,,,,,False,False,False,none
joint.beta_h_ft,employment_hours_opportunity,0.8890639184111716,,,,,,False,False,False,none
joint.beta_h_lh,employment_hours_opportunity,-1.4512016066648388,,,,,,False,False,False,none
joint.beta_E_gsur,employment_hours_opportunity,-1.3061903715133667,,,,,,False,False,False,none
joint.beta_E_drgn2,employment_hours_opportunity,-0.0750286057591438,,,,,,False,False,False,none
joint.beta_E_drgn3,employment_hours_opportunity,0.031313769519329,,,,,,False,False,False,none
joint.beta_E_drgn4,employment_hours_opportunity,-0.0168585572391748,,,,,,False,False,False,none
joint.beta_E_drgn5,employment_hours_opportunity,-0.1402066946029663,,,,,,False,False,False,none
joint.beta_E_drgn6,employment_hours_opportunity,-0.0484589785337448,,,,,,False,False,False,none
joint.beta_E_drgn7,employment_hours_opportunity,-0.1751526594161987,,,,,,False,False,False,none
joint.beta_E_drgn8,employment_hours_opportunity,-0.3656941652297973,,,,,,False,False,False,none
joint.beta_E_y2015,employment_hours_opportunity,-0.2546064257621765,,,,,,False,False,False,none
joint.beta_E_y2017,employment_hours_opportunity,-0.0694711059331893,,,,,,False,False,False,none
joint.beta_E_drgur,employment_hours_opportunity,-0.5304878354072571,,,,,,False,False,False,none
joint.beta_E_drgmd,employment_hours_opportunity,-0.6675447225570679,,,,,,False,False,False,none
joint.beta_occ_2_m,occupation_opportunity,-1.3076786379478742,,,,,,False,False,False,none
joint.beta_occ_3_m,occupation_opportunity,-1.8929893385979504,,,,,,False,False,False,none
joint.beta_occ_4_m,occupation_opportunity,0.2547699487356606,,,,,,False,False,False,none
joint.beta_occ_2_f,occupation_opportunity,-0.0584032733872129,,,,,,False,False,False,none
joint.beta_occ_3_f,occupation_opportunity,-0.4383103367912919,,,,,,False,False,False,none
joint.beta_occ_4_f,occupation_opportunity,0.8817949768763639,,,,,,False,False,False,none
joint.beta_w0,wage_opportunity,2.1398550364927718,,,,,,False,False,False,none
joint.beta_w_educL,wage_opportunity,0.009657013682411,,,,,,False,False,False,none
joint.beta_w_educH,wage_opportunity,0.3491721860169334,,,,,,False,False,False,none
joint.beta_w_pexp,wage_opportunity,0.2371439938052499,,,,,,False,False,False,none
joint.beta_w_pexp2,wage_opportunity,-0.0119846261198831,,,,,,False,False,False,none
joint.sigma,wage_opportunity,0.4135199906628216,,,,,,False,False,False,none
