parameter,estimate,std_error,t_value,p_value,lower_bound,upper_bound,initial_value
joint.beta_l0_sm,4.673666189742887,,,,,,4.548663369591292
joint.beta_l_age_sm,0.5778449299537604,,,,,,0.6775305440791358
joint.beta_l_age2_sm,1.0,,,,,,0.3818800948603306
joint.theta_l_sm,-2.305835343113182,,,,,,-1.8616120265204583
joint.beta_l0_sf,7.838974918831463,,,,,,3.728508753936399
joint.beta_l_age_sf,-0.7040510515092545,,,,,,0.4986362103504623
joint.beta_l_age2_sf,1.0,,,,,,1.0
joint.beta_l_nkids_sf,1.83653212178056,,,,,,1.739492533192177
joint.theta_l_sf,-1.9979593589450355,,,,,,-1.349085275197915
joint.theta_c_singles,0.0943262711223,,,,,,0.0075809783211004
joint.beta_l0_m,1e-06,,,,,,
joint.beta_l_age_m,-0.067236897452355,,,,,,
joint.beta_l_age2_m,0.0877504891847849,,,,,,
joint.beta_l0_f,10.052237044896549,,,,,,
joint.beta_l_age_f,-1.780253386288037,,,,,,
joint.beta_l_age2_f,1.0,,,,,,
joint.beta_l_nkids_f,0.5857198501055841,,,,,,
joint.theta_l_f,-2.131739110508045,,,,,,
joint.beta_E,-4.313626626641255,,,,,,-0.75265301737783
joint.beta_h_pt1,-1.279248546961431,,,,,,-1.4332708022989755
joint.beta_h_pt2,-0.9767922027495208,,,,,,-0.1036954463718583
joint.beta_h_ft,0.889063752869026,,,,,,1.0413227078263705
joint.beta_h_lh,-1.4512015597752,,,,,,-1.2184848074097656
joint.beta_E_gsur,-1.306190335762088,,,,,,-1.306190335762088
joint.beta_E_drgn2,-0.075028607972602,,,,,,-0.075028607972602
joint.beta_E_drgn3,0.031313770382988,,,,,,0.031313770382988
joint.beta_E_drgn4,-0.0168585564606559,,,,,,-0.0168585564606559
joint.beta_E_drgn5,-0.1402066979956915,,,,,,-0.1402066979956915
joint.beta_E_drgn6,-0.0484589776197602,,,,,,-0.0484589776197602
joint.beta_E_drgn7,-0.1751526570287388,,,,,,-0.1751526570287388
joint.beta_E_drgn8,-0.3656941546069446,,,,,,-0.3656941546069446
joint.beta_E_y2015,-0.2546064112385174,,,,,,
joint.beta_E_y2017,-0.0694711073761977,,,,,,
joint.beta_E_drgur,-0.530487815363722,,,,,,-0.530487815363722
joint.beta_E_drgmd,-0.6675446983120384,,,,,,-0.6675446983120384
joint.beta_occ_2_m,-1.3076794753864938,,,,,,-1.5916485115155634
joint.beta_occ_3_m,-1.8929901108362324,,,,,,-2.294101394919219
joint.beta_occ_4_m,0.2547699715454891,,,,,,0.2906431544805711
joint.beta_occ_2_f,-0.0584023293677103,,,,,,-0.0475805242455427
joint.beta_occ_3_f,-0.4383094696772179,,,,,,-0.4729186216832488
joint.beta_occ_4_f,0.8817957569037632,,,,,,0.7717937415014848
joint.beta_w0,2.139855088743592,,,,,,2.1968218592232938
joint.beta_w_educL,0.0096569453128631,,,,,,-0.0607639395244288
joint.beta_w_educH,0.3491721112427779,,,,,,0.3382027925000935
joint.beta_w_pexp,0.2371440125048787,,,,,,0.3827797053592998
joint.beta_w_pexp2,-0.0119846317806787,,,,,,-0.0822424960435394
joint.sigma,0.4135199735096618,,,,,,0.3898254999925787
