param,value,pinned,at_bound,lb,ub,dist_lb,dist_ub,in_bounds,grad
beta_l0_sm,4.7803989338634505,False,False,0.05,50.0,4.730398933863451,45.21960106613655,True,7.079770165674404e-07
beta_l_age_sm,0.35987419841164686,False,False,-5.0,5.0,5.359874198411647,4.640125801588353,True,-7.597027703309944e-07
beta_l_age2_sm,1.0,False,True,-1.0,1.0,2.0,0.0,True,-0.8445544161794221
theta_l_sm,-2.340652291967503,False,False,-8.0,0.95,5.659347708032497,3.290652291967503,True,-7.995420256423635e-06
beta_l0_sf,7.812070363474176,False,False,0.05,50.0,7.762070363474177,42.18792963652582,True,1.1914491324815923e-05
beta_l_age_sf,-0.8371192543510915,False,False,-5.0,5.0,4.162880745648908,5.837119254351092,True,9.320595311002045e-06
beta_l_age2_sf,1.0,False,True,-1.0,1.0,2.0,0.0,True,-1.4682021491125388
beta_l_nkids_sf,1.8774971436893362,False,False,-5.0,5.0,6.877497143689336,3.122502856310664,True,1.9581445583394252e-05
theta_l_sf,-1.9845879299336022,False,False,-8.0,0.95,6.0154120700663976,2.934587929933602,True,2.657338195377612e-06
theta_c_singles,0.09345870248198829,False,False,-8.0,0.95,8.093458702481989,0.8565412975180117,True,2.047478972144745e-06
beta_l0_m,1e-06,True,False,1e-06,50.0,0.0,49.999999,True,0.0
beta_l_age_m,-0.067236897452355,True,False,-5.0,5.0,4.932763102547645,5.067236897452355,True,0.0
beta_l_age2_m,0.0877504891847849,True,False,-1.0,1.0,1.087750489184785,0.9122495108152151,True,0.0
beta_l0_f,10.052237044896549,True,False,0.05,50.0,10.002237044896548,39.94776295510345,True,0.0
beta_l_age_f,-1.780253386288037,True,False,-5.0,5.0,3.219746613711963,6.780253386288037,True,0.0
beta_l_age2_f,1.0,True,False,-1.0,1.0,2.0,0.0,True,0.0
beta_l_nkids_f,0.5857198501055841,True,False,-5.0,5.0,5.585719850105584,4.414280149894416,True,0.0
theta_l_f,-2.131739110508045,True,False,-8.0,0.95,5.868260889491955,3.081739110508045,True,0.0
beta_E,-2.8973902276042747,False,False,-25.0,25.0,22.102609772395724,27.897390227604276,True,2.4158135815355308e-05
beta_h_pt1,-1.2768557580581916,False,False,-10.0,10.0,8.723144241941808,11.276855758058192,True,-3.7000056550162697e-05
beta_h_pt2,-0.9805206522711276,False,False,-10.0,10.0,9.019479347728872,10.980520652271128,True,-3.465808796931924e-05
beta_h_ft,0.8871515472738398,False,False,-10.0,10.0,10.88715154727384,9.11284845272616,True,4.300435849557971e-05
beta_h_lh,-1.4525802640177317,False,False,-10.0,10.0,8.547419735982269,11.452580264017731,True,4.283147934724951e-05
beta_E_gsur,-1.1047680284010775,False,False,-10.0,10.0,8.895231971598923,11.104768028401077,True,7.469275179339263e-05
beta_E_drgn2,-0.20503645142339258,False,False,-10.0,10.0,9.794963548576607,10.205036451423393,True,3.5160609099804674e-06
beta_E_drgn3,-0.08852772234510636,False,False,-10.0,10.0,9.911472277654894,10.088527722345106,True,-3.6728529106522245e-05
beta_E_drgn4,-0.6897267687243802,False,False,-10.0,10.0,9.31027323127562,10.68972676872438,True,-5.0388722678818e-06
beta_E_drgn5,-0.265394937063825,False,False,-10.0,10.0,9.734605062936176,10.265394937063824,True,7.937996321993879e-05
beta_E_drgn6,-0.5219410803829603,False,False,-10.0,10.0,9.47805891961704,10.52194108038296,True,3.2965278158325617e-06
beta_E_drgn7,-0.3877138275750329,False,False,-10.0,10.0,9.612286172424968,10.387713827575032,True,-2.7555954655644754e-05
beta_E_drgn8,-0.3087436824595606,False,False,-10.0,10.0,9.69125631754044,10.30874368245956,True,3.1156133590393154e-05
beta_E_y2015,-0.2546064112385174,True,False,-5.0,5.0,4.745393588761482,5.254606411238518,True,0.0
beta_E_y2017,-0.0694711073761977,True,False,-5.0,5.0,4.930528892623802,5.069471107376198,True,0.0
beta_E_drgur,-0.010018686507697877,False,False,-10.0,10.0,9.989981313492303,10.010018686507697,True,-5.545948251750588e-06
beta_E_drgmd,0.10867255286061041,False,False,-10.0,10.0,10.108672552860611,9.891327447139389,True,-4.12839415808719e-06
beta_occ_2_m,-1.302884050507318,False,False,-15.0,15.0,13.697115949492682,16.302884050507316,True,1.880589638725283e-05
beta_occ_3_m,-1.885968323915724,False,False,-15.0,15.0,13.114031676084275,16.885968323915723,True,-7.971370397763522e-06
beta_occ_4_m,0.25347794230828025,False,False,-15.0,15.0,15.25347794230828,14.74652205769172,True,-5.742781508599748e-05
beta_occ_2_f,-0.07581613811014462,False,False,-15.0,15.0,14.924183861889855,15.075816138110145,True,1.0612299919721124e-05
beta_occ_3_f,-0.4612006656781678,False,False,-15.0,15.0,14.538799334321832,15.461200665678168,True,4.82376218169378e-06
beta_occ_4_f,0.8545020395051448,False,False,-15.0,15.0,15.854502039505144,14.145497960494856,True,5.145573067899534e-05
beta_w0,2.1399516809316084,False,False,-10.0,20.0,12.139951680931608,17.86004831906839,True,0.00010907983556762701
beta_w_educL,0.028673573754622674,False,False,-5.0,5.0,5.028673573754623,4.971326426245377,True,-8.632863846003147e-05
beta_w_educH,0.3450097673332699,False,False,-5.0,5.0,5.34500976733327,4.65499023266673,True,0.00010992597206183063
beta_w_pexp,0.23833718601077775,False,False,-1.0,1.0,1.2383371860107777,0.7616628139892223,True,7.126060700102244e-05
beta_w_pexp2,-0.013025547619009226,False,False,-0.1,0.1,0.08697445238099077,0.11302554761900924,True,4.3936289273460716e-05
sigma,0.41349226078356854,False,False,0.1,20.0,0.3134922607835685,19.586507739216433,True,-3.645418703968062e-05
