matrix,column,dtype,min,max,mean,std,n_unique,n_nonzero
A_stored_columns,gsur,float64,0.053183,0.225,0.09450886430868168,0.03721548588135652,47,1555
A_stored_columns,reg2,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,reg3,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,reg4,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,reg5,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,reg6,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,reg7,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,reg8,float64,0.0,0.0,0.0,0.0,1,0
A_stored_columns,drgur,float64,0.0,1.0,0.535048231511254,0.4987701088356574,2,832
A_stored_columns,drgmd,float64,0.0,1.0,0.21093247588424438,0.4079705461201667,2,328
B_drgn1_derived,gsur,float64,0.053183,0.225,0.09450886430868168,0.03721548588135652,47,1555
B_drgn1_derived,reg2,float64,0.0,1.0,0.16334405144694533,0.36967928303306774,2,254
B_drgn1_derived,reg3,float64,0.0,1.0,0.07845659163987138,0.26888874068678636,2,122
B_drgn1_derived,reg4,float64,0.0,1.0,0.08681672025723473,0.2815662929773587,2,135
B_drgn1_derived,reg5,float64,0.0,1.0,0.17942122186495177,0.3837046351159177,2,279
B_drgn1_derived,reg6,float64,0.0,1.0,0.11254019292604502,0.3160299003294049,2,175
B_drgn1_derived,reg7,float64,0.0,1.0,0.11704180064308682,0.3214700881035602,2,182
B_drgn1_derived,reg8,float64,0.0,1.0,0.10482315112540193,0.3063254121249869,2,163
B_drgn1_derived,drgur,float64,0.0,1.0,0.535048231511254,0.4987701088356574,2,832
B_drgn1_derived,drgmd,float64,0.0,1.0,0.21093247588424438,0.4079705461201667,2,328
C_likelihood_loader,gsur,float64,0.053183,0.225,0.09450886430868168,0.03721548588135652,47,1555
C_likelihood_loader,reg2,float64,0.0,1.0,0.16334405144694533,0.36967928303306774,2,254
C_likelihood_loader,reg3,float64,0.0,1.0,0.07845659163987138,0.26888874068678636,2,122
C_likelihood_loader,reg4,float64,0.0,1.0,0.08681672025723473,0.2815662929773587,2,135
C_likelihood_loader,reg5,float64,0.0,1.0,0.17942122186495177,0.3837046351159177,2,279
C_likelihood_loader,reg6,float64,0.0,1.0,0.11254019292604502,0.3160299003294049,2,175
C_likelihood_loader,reg7,float64,0.0,1.0,0.11704180064308682,0.3214700881035602,2,182
C_likelihood_loader,reg8,float64,0.0,1.0,0.10482315112540193,0.3063254121249869,2,163
C_likelihood_loader,drgur,float64,0.0,1.0,0.535048231511254,0.4987701088356574,2,832
C_likelihood_loader,drgmd,float64,0.0,1.0,0.21093247588424438,0.4079705461201667,2,328
