matrix,column,gsur,reg2,reg3,reg4,reg5,reg6,reg7,reg8,drgur,drgmd
A,gsur,True,False,False,False,False,False,False,False,False,False
A,reg2,False,True,True,True,True,True,True,True,False,False
A,reg3,False,True,True,True,True,True,True,True,False,False
A,reg4,False,True,True,True,True,True,True,True,False,False
A,reg5,False,True,True,True,True,True,True,True,False,False
A,reg6,False,True,True,True,True,True,True,True,False,False
A,reg7,False,True,True,True,True,True,True,True,False,False
A,reg8,False,True,True,True,True,True,True,True,False,False
A,drgur,False,False,False,False,False,False,False,False,True,False
A,drgmd,False,False,False,False,False,False,False,False,False,True
B,gsur,True,False,False,False,False,False,False,False,False,False
B,reg2,False,True,False,False,False,False,False,False,False,False
B,reg3,False,False,True,False,False,False,False,False,False,False
B,reg4,False,False,False,True,False,False,False,False,False,False
B,reg5,False,False,False,False,True,False,False,False,False,False
B,reg6,False,False,False,False,False,True,False,False,False,False
B,reg7,False,False,False,False,False,False,True,False,False,False
B,reg8,False,False,False,False,False,False,False,True,False,False
B,drgur,False,False,False,False,False,False,False,False,True,False
B,drgmd,False,False,False,False,False,False,False,False,False,True
