param,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd
beta_E_gsur,27.104361013725452,-0.00019367075316090165,5.777758102452494,-0.10010948664863228,-3.6189981793095303,-2.6855050886193883,-1.9493607378921354,4.336851299145552,1.2033354245071521,0.705402047753676
beta_E_drgn2,-0.00019367075316090165,21.517574710070797,-2.1783596572527393,-2.5189686331001475,-4.3435955113309035,-3.163541439913379,-2.8091429766809215,-3.3154747490919974,-3.927694066209595,2.4656347948421837
beta_E_drgn3,5.777758102452494,-2.1783596572527393,12.471389113364273,-1.3560072256254998,-2.2905667426447094,-1.6641769813963705,-1.5014704536331869,-1.7684000895775158,1.9141904223717554,0.6804458826577904
beta_E_drgn4,-0.10010948664863228,-2.5189686331001475,-1.3560072256254998,14.220408664718367,-2.637900857441463,-1.9220841118371266,-1.7407714468104007,-2.052011550991943,-1.401862956852482,0.7011925677101656
beta_E_drgn5,-3.6189981793095303,-4.3435955113309035,-2.2905667426447094,-2.637900857441463,22.373873873505232,-3.326444455266874,-2.9561922016442383,-3.476271181808383,-2.72261697093551,-2.7196027159852485
beta_E_drgn6,-2.6855050886193883,-3.163541439913379,-1.6641769813963705,-1.9220841118371266,-3.326444455266874,17.18410623969951,-2.1466126348177186,-2.5324943943952456,-1.4873327333276851,0.4358588844561302
beta_E_drgn7,-1.9493607378921354,-2.8091429766809215,-1.5014704536331869,-1.7407714468104007,-2.9561922016442383,-2.1466126348177186,15.617698237467252,-2.2678654267808263,-1.3162591028646187,1.4857372837541234
beta_E_drgn8,4.336851299145552,-3.3154747490919974,-1.7684000895775158,-2.052011550991943,-3.476271181808383,-2.5324943943952456,-2.2678654267808263,18.018024371823667,1.8066222564569632,-0.7149071793315107
beta_E_drgur,1.2033354245071521,-3.927694066209595,1.9141904223717554,-1.401862956852482,-2.72261697093551,-1.4873327333276851,-1.3162591028646187,1.8066222564569632,39.771768870059375,-17.79025843695711
beta_E_drgmd,0.705402047753676,2.4656347948421837,0.6804458826577904,0.7011925677101656,-2.7196027159852485,0.4358588844561302,1.4857372837541234,-0.7149071793315107,-17.79025843695711,26.44635785666302
