param,beta_l0_sm,beta_l_age_sm,beta_l_age2_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_age2_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_l0_sm,0.8660855346203733,-0.03049147490674789,0.8324411614950511,3.558009737312336,0.0,0.0,0.0,0.0,0.0,1.1274260954411266,-1.722325290605711,0.24976291150813673,0.16742936901763023,1.1874034058638387,-5.982281801365689,-1.8725777360245055,-0.29779171874443333,-0.12897263206612286,-0.13766275046205803,-0.33106807543192424,-0.23818522780333834,-0.1827281605081683,-0.2066218761539904,-0.8902356392145554,-0.3348650109366109,-0.20027526233985937,-0.10129403932331071,-0.7335642525765719,0.0,0.0,0.0,-2.4410988349117764,-0.4981842190666257,-0.8496296982377558,-2.59029582082371,-3.3546855282493295,-0.7984940205481088
beta_l_age_sm,-0.03049147490674792,0.8324411614950511,-0.3146151999624959,-0.7655784829570016,0.0,0.0,0.0,0.0,0.0,-0.28779060811907714,0.05634932579148406,-0.010823995960195218,-0.0001556972388397724,-0.009787632751221818,0.2645824260917531,-0.07398671904172333,-0.02424588619963755,0.022286072736034286,0.03860123965594122,0.026765484379255567,-0.03945595649042591,0.018793227877461988,-0.03729753526395829,0.06510030205072156,0.03932189257225954,0.013098968721977078,0.04485987523830696,-0.03178618850366462,0.0,0.0,0.0,-0.19759646755254112,-0.07175862765939481,0.13612879524514776,-1.138116163652514,-2.283099414143667,0.4241334710695038
beta_l_age2_sm,0.8324411614950511,-0.3146151999624959,1.7818461720042138,4.400714527695431,0.0,0.0,0.0,0.0,0.0,1.4155415038314703,-1.901362515401078,0.26803784028552635,0.16834768990588558,1.068666488190895,-6.187282605395146,-2.0550620605094876,-0.31763716242434026,-0.16552194978728269,-0.14982020850321714,-0.37135903869985093,-0.2509405701552814,-0.2678366624037844,-0.15232114851543366,-0.9935371607732182,-0.3721647225322363,-0.21794358214837128,-0.07772128846104528,-0.8439297707159423,0.0,0.0,0.0,-2.0019305429205914,-0.547160415538696,-0.5100235147811988,-2.1304719152835765,-3.217801136410681,-0.49979219705259825
theta_l_sm,3.558009737312335,-0.765578482957002,4.400714527695435,24.06829941553353,0.0,0.0,0.0,0.0,0.0,9.181211818820001,-12.53212116058021,1.5860215620977138,0.882445786325972,2.5527333809271466,-31.54374976703646,-13.719484948742586,-2.1749958384655033,-0.9644801614162946,-0.9970847192877876,-2.4276732177003817,-1.7164835961541551,-1.4122549687636226,-1.4217170399670391,-6.427796810964892,-2.446436818479607,-1.4161937158376687,-0.6693327510340197,-5.467190894738819,0.0,0.0,0.0,-15.650075159466262,-3.231383622379064,-5.1355316216454465,-16.055024550870804,-21.527264742156387,-5.82140838981319
beta_l0_sf,0.0,0.0,0.0,0.0,0.7810257160464964,0.18480082249397084,0.7392101554263454,0.360788182689169,6.913035711394459,0.729883167822168,-1.8991401895657243,0.38953518276128574,0.20007429175880118,0.16429972640955726,-5.8163730900549,-1.9618218828582166,-0.2784739598183854,-0.17976569643124274,-0.2222931010323273,-0.26525563410524866,-0.2169431033416105,-0.20593003488739312,-0.26529119224378983,-1.0572062619865754,-0.42109440684362964,0.0,0.0,0.0,-0.35155612968091443,-0.27466822429588345,-0.8602387733249137,-2.5510578764492857,-0.4222264066307283,-1.1139551187685484,-2.453966592482125,-2.992282848976278,-1.2388381425972301
beta_l_age_sf,0.0,0.0,0.0,0.0,0.18480082249397087,0.7392101554263453,0.19594345373550892,-0.008478996366894795,0.17764588493824685,0.018230075144306933,-0.12735105709173783,0.030145446153497943,0.04111179856238133,0.3006339385939657,-1.0712255442528715,-0.23505362129398852,-0.050765112289124024,0.012719976624840982,-0.02791814771285647,0.04966209601668235,-0.040071710128687245,0.01801555563048202,-0.03087649641376991,-0.09176822123927023,-0.030042085782441576,0.0,0.0,0.0,0.05091393885664898,0.016938441882533118,-0.1364315626862652,-0.026278726899954502,-0.10421714069859539,0.17667808146992636,-1.0042028096936688,-2.1691023835292738,-0.09478389583106835
beta_l_age2_sf,0.0,0.0,0.0,0.0,0.7392101554263455,0.195943453735509,1.4803364717682306,0.16235641382205288,5.856223448302446,1.0948411460987577,-1.917410081254868,0.3955383914344687,0.18704291649701274,0.011569695864372856,-5.615894415263883,-2.0108059272537178,-0.29566501873464146,-0.17386593892085256,-0.19624750551127254,-0.3089002636450536,-0.23464068343941674,-0.23707308122617918,-0.2531080276881814,-1.0382093395655982,-0.43339190980788284,0.0,0.0,0.0,-0.3634036312823793,-0.23972075688751218,-0.8786254277829926,-2.454277522793357,-0.5053436255925587,-1.112292333567177,-2.5652093412214443,-3.7696714851724407,-1.4547723822795802
beta_l_nkids_sf,0.0,0.0,0.0,0.0,0.360788182689169,-0.00847899636689479,0.1623564138220529,0.6438372864363189,4.466112027214876,-0.22288937650248122,-1.384675063216566,0.21653453787064378,0.10463328739285446,-0.29466824358962745,-3.0296896707253627,-1.4136117578550884,-0.17522099345252035,-0.12802895774294995,-0.17173640982499364,-0.1812377968611717,-0.10549532588863755,-0.16638513528119817,-0.1966761425863754,-0.7631420960706468,-0.27550951913035504,0.0,0.0,0.0,-0.26110588361458065,-0.22567042573458437,-0.592574062529592,-1.822696706340345,-0.2821301701425995,-0.7821380383959851,-1.6741163938178572,-1.7868442683221066,-1.4760608385110376
theta_l_sf,0.0,0.0,0.0,0.0,6.91303571139446,0.17764588493824984,5.856223448302448,4.466112027214877,81.86673801470127,11.59963079661759,-28.453910740610322,4.936328399236121,1.9851111187013488,-9.536941333478378,-59.254036518505856,-29.29558141054614,-4.041937375193134,-2.733037674143991,-3.2617314305765115,-4.109288495613909,-3.050744425734388,-3.270385337503664,-3.9594223749734017,-15.772135064197439,-6.202693797399549,0.0,0.0,0.0,-5.580067516076898,-4.23917651922818,-12.737110445828062,-33.9604191949762,-6.207458454830491,-13.468305195291022,-32.113054310728415,-38.72899027808809,-16.69860000892959
theta_c_singles,1.1274260954411162,-0.28779060811907586,1.41554150383147,9.181211818820032,0.7298831678221518,0.01823007514430941,1.0948411460987657,-0.22288937650248286,11.599630796617703,523.9501867566723,-79.53195976755467,-1.2429953630983235,-3.195074486949037,-43.322532529491866,-13.375239490689978,-86.88207208607355,-13.184599401240476,-6.751024757080664,-9.048884465179391,-13.585699215444436,-10.437994340439715,-9.542845538684688,-9.160477046232828,-39.66508368995966,-17.529932358323578,-4.839822047182231,-2.9359411704454175,-23.760669223479567,-6.235903901924388,-4.795821633485886,-13.725561209959892,-70.81526651699642,-27.736732771386528,26.016376143084017,-47.36648931548734,-54.8236486542055,229.85289898956717
