param,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd
beta_E_gsur,210.95475523404323,27.507223164965367,20.36210781913742,16.78445297147914,25.28503932400607,18.33954125820722,16.823342305846424,26.548540572705186,92.24323752970876,36.50714839737215
beta_E_drgn2,27.507223164965367,25.651097115821504,0.0,0.0,0.0,0.0,0.0,0.0,9.684554309539248,7.822552608093454
beta_E_drgn3,20.36210781913742,0.0,13.641257936675617,0.0,0.0,0.0,0.0,0.0,9.176593127237734,3.5386416395674396
beta_E_drgn4,16.78445297147914,0.0,0.0,15.807706018084263,0.0,0.0,0.0,0.0,7.018598544623327,4.0190563098094865
beta_E_drgn5,25.28503932400607,0.0,0.0,0.0,26.96848722955852,0.0,0.0,0.0,11.57418660379583,2.910140321484911
beta_E_drgn6,18.33954125820722,0.0,0.0,0.0,0.0,19.612653022493014,0.0,0.0,8.912271888728014,4.531135966723251
beta_E_drgn7,16.823342305846424,0.0,0.0,0.0,0.0,0.0,17.55708400591525,0.0,8.01501714391349,5.160198052875942
beta_E_drgn8,26.548540572705186,0.0,0.0,0.0,0.0,0.0,0.0,20.72460256322377,12.844871279303502,3.6200625212775677
beta_E_drgur,92.24323752970876,9.684554309539248,9.176593127237734,7.018598544623327,11.57418660379583,8.912271888728014,8.01501714391349,12.844871279303502,85.0367951818067,0.0
beta_E_drgmd,36.50714839737215,7.822552608093454,3.5386416395674396,4.0190563098094865,2.910140321484911,4.531135966723251,5.160198052875942,3.6200625212775677,0.0,33.4540296604045
