,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_l0_sm,1.3675379356234725,0.1795509269223782,3.464556040269549,0,0,0,0,1.1147915264883612,-1.4841403114640823,0.12759892939984407,0.018514611744059498,1.5025409441777562,-5.3436070593875566,-1.4944319061438265,-0.33313171707262201,-0.040691384669280406,-0.21262500735908077,-0.24728588814788061,-0.3199620209698274,-0.1646759610454189,-0.086363306549264177,-0.56774991608028003,-0.33824151268053809,-0.099024309561804552,0.21933202722405898,-0.85953142938482485,0,0,0,1.2746030427159329,-0.41154175350929412,1.8472664931911629,1.1783547602034607,3.0079033848090502,-19.333728017399707
beta_l_age_sm,0.1795509269223782,0.77290161412042968,0.41359060136567305,0,0,0,0,0.18435583160997984,-0.22396541180615775,0.023673244639729672,-0.031573679013234587,-0.11414208052552964,-0.29050301446061172,-0.30446164546108878,-0.24182840119008719,-0.0022783005528140068,-0.026791043781679603,0.042636042899302409,0.013898242243310308,0.12058445715161605,-0.071934326403377075,-0.041372647542980458,-0.0083589526665399927,-0.34533438486548529,-0.068803603070081529,0.024414344720418479,0,0,0,-1.2032037238745594,-0.58129262702911688,-1.4962209380417548,1.1723534940944171,4.2298009381765755,0.56889180200505518
theta_l_sm,3.464556040269549,0.41359060136567305,11.834242248166547,0,0,0,0,13.274039164100962,-10.689178634476107,0.96210931455505622,0.1430912627656917,3.0734875729031828,-23.381850694234334,-11.521077079834889,-2.3124722744151383,-0.5819034584968793,-1.41919246847179,-1.5395729856655604,-1.6583689973387612,-1.322370910107558,-0.84418837655677137,-4.703424391722157,-2.1046942415203373,-0.064226227910123959,0.49977351488925897,-6.9899288025484232,0,0,0,-3.9453705620082999,-5.4211394033159248,-2.0576486880445906,-3.0034478313474748,-1.8378001751699622,-50.247046158422911
beta_l0_sf,0,0,0,1.1716657209296288,0.49552997597398096,0.43414340523276568,6.2568766258719046,0.48039236529101448,-1.7513358117772488,0.39419381651575092,0.29117699459628016,0.1018533109268874,-4.9008093930483208,-1.7904561505890779,-0.27413077526822238,-0.17290126894001689,-0.15737417121660396,-0.25517926707711319,-0.16412982748728591,-0.1392688632401691,-0.28251698700659217,-1.0878611803239484,-0.40273364091910191,0,0,0,-0.89056355390150521,0.26800891252171299,-1.1430587856421608,8.2174949166245259,0.98386490162170237,1.1762317957367545,5.571387944228384,4.672774343727359,-5.9202913996740385
beta_l_age_sf,0,0,0,0.49552997597398096,0.66194236711492249,0.18484094098515683,1.6266686495232718,-0.14170283970559139,-0.061997507392193986,-0.0086978733513093879,0.14222386854758248,0.44036935920457182,-1.2113197668001019,-0.24344631473941558,-0.07683621795320561,0.0092086235276511823,-0.058598633880567845,0.080864825838791204,0.046788536988397487,0.13281223437382506,-0.072744391626205371,0.060213769455635328,-0.072213483089970804,0,0,0,-0.0069909644804973976,0.13108536795460587,-0.49202076673565326,-2.4198723144702345,0.976820295950798,-2.2318139224424822,-0.64313475558747424,-0.4994660450624086,2.7397132658390571
beta_l_nkids_sf,0,0,0,0.43414340523276568,0.18484094098515683,0.56879619997964714,3.542292612612584,-0.11323219380488583,-1.0346882169505227,0.31087664363666745,0.15940803062857758,0.0049501668319341611,-2.733040957265874,-1.0652139973960462,-0.15196273094810084,-0.095753034156059208,-0.027957473513660638,-0.089266873901174382,-0.19539422811010923,-0.098513540661820651,-0.12506017358640376,-0.65293720769397423,-0.20152587965873278,0,0,0,-0.7656314283064356,0.045221552722628774,-0.4465830512035544,3.7328017036831951,0.83363594498338256,0.62751733891642836,3.0338864156316694,2.6946191990034456,-5.9968343686615668
theta_l_sf,0,0,0,6.2568766258719046,1.6266686495232718,3.542292612612584,50.901479504111812,9.2298536987821453,-28.180601448297239,5.5821007326389216,2.4903121875226519,-9.5244622149569036,-44.494034423133932,-28.544139038110586,-3.458706105370279,-2.781765760336838,-2.426700969429596,-4.4109023109392185,-3.1196369670822066,-2.7548411784058562,-4.4835049763905692,-17.767832399883691,-5.8091800810936673,0,0,0,-8.4027404106675903,-0.51745631658836533,-20.115372580467927,57.909846879380964,9.3170519841363326,16.527287566285018,30.111368905814839,17.861233848390413,-58.139029842265387
theta_c_singles,1.1147915264883612,0.18435583160997984,13.274039164100962,0.48039236529101448,-0.14170283970559139,-0.11323219380488583,9.2298536987821453,1414.815338859026,-147.08707260529013,0.42246996514320218,-2.1564550256497848,-59.856917919153197,-7.2651558383008545,-151.43025357199801,-12.559180980804355,-5.5200365500920379,-45.780492277730737,-11.029054106309804,-9.7947843264809187,-23.278098563512959,-16.430046216994164,-57.783108784742033,-43.90614122421993,-7.6707592229316406,-11.269448363000743,-43.933634249924467,-4.6813447371616856,-11.252211961428085,-12.408999032723266,-37.04520741257798,1.6690717231121386,16.84447314840736,-39.825053489654032,-56.208228855906775,616.2476617418173
beta_E,-1.4841403114640823,-0.22396541180615775,-10.689178634476107,-1.7513358117772488,-0.061997507392193986,-1.0346882169505227,-28.180601448297239,-147.08707260529013,163.537891051055,6.8716282484073616,4.2912949084608139,51.83325727880851,20.106509298963349,177.52041165355112,24.28670669660756,13.687476727760032,18.561920816722061,27.132163370078167,20.311765896540336,17.790319420193086,21.780562888095425,87.322400874087805,33.59193743659926,9.6414631715316759,4.7444677734017402,27.251839241773748,17.617497486005025,11.592451647211201,32.334219881282571,115.44768772733265,42.036649379606033,13.0352615685847,107.291573444234,142.08975135276381,135.8309395498828
beta_h_pt1,0.12759892939984407,0.023673244639729672,0.96210931455505622,0.39419381651575092,-0.0086978733513093879,0.31087664363666745,5.5821007326389216,0.42246996514320218,6.8716282484073616,40.426395182287777,-0.9450483360772316,-9.8467311875017725,-4.7079953228188529,7.093248066727563,1.3755501651297499,0.67922401977791691,1.2787966495580856,0.84899978521885289,0.80942791592381336,1.0243324150026474,0.38874444136381714,2.9918351936304104,2.1817821953697822,1.4301987371556939,-0.35026972650648691,2.1714440803795458,5.1407835936420057,-1.7517632471233771,-7.3265307989912776,-21.76064182113867,-0.34133954809911254,-8.0672210608538375,-33.000956965777348,-53.575960651421667,144.0207377515222
beta_h_pt2,0.018514611744059498,-0.031573679013234587,0.1430912627656917,0.29117699459628016,0.14222386854758248,0.15940803062857758,2.4903121875226519,-2.1564550256497848,4.2912949084608139,-0.9450483360772316,33.969138993094397,-7.8368977877155572,-4.3277702231175343,4.9259873967940555,0.62042917809515696,1.0151313323887197,0.57523771247223454,0.68329839701558626,0.63597783943227049,0.19150955823179533,0.47859491186034936,0.5805368462486773,1.0999220902008555,0.68818193770508862,0.56821309917197327,-1.3140930767342081,6.6991321976341958,-0.205303063514922,-5.7768746292488897,-15.175271365229394,1.0042671738097582,1.7700645278644027,-22.046889490506121,-28.943481986198304,-20.96258279941463
beta_h_ft,1.5025409441777562,-0.11414208052552964,3.0734875729031828,0.1018533109268874,0.44036935920457182,0.0049501668319341611,-9.5244622149569036,-59.856917919153197,51.83325727880851,-9.8467311875017725,-7.8368977877155572,337.2639938673795,-72.149891366337883,56.346758204173625,6.5094730069572906,4.2016958236316819,6.3308016711383246,8.7022865591902576,6.6422969089349309,5.0173523152213457,7.4110505526781756,27.476993367785642,10.08938563085449,0.87971644561843343,1.4758049627394161,17.242366152037548,-5.8462411474739664,8.4107518152031222,26.21541843928453,77.125411966473663,4.0140051259074525,18.184231471701466,67.317855581784002,70.784886186768489,-168.9949020689665
beta_h_lh,-5.3436070593875566,-0.29050301446061172,-23.381850694234334,-4.9008093930483208,-1.2113197668001019,-2.733040957265874,-44.494034423133932,-7.2651558383008545,20.106509298963349,-4.7079953228188529,-4.3277702231175343,-72.149891366337883,190.15021349537497,19.565300044992338,4.486155145937742,1.6328747986345575,2.0909341945943982,2.106729498311112,2.3866021981056953,2.3078981213822294,1.9985611764049054,11.322110124284702,4.693608912034998,-3.6434161004266978,-3.4077697569786127,17.22564119303691,3.9538892188764985,-9.6832100832704597,19.369634901765114,-47.273922561991021,3.6951915293655127,11.013105575922227,-18.287988017659867,-1.439624288875482,356.57155246583505
