,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_l0_sm,1,-0.14305401513254523,-0.67762688326242548,0.034019814742929123,0.0075446311704155406,-0.0045408511793986394,0.038167180241622085,0.0086926648733465211,0.0051282329807406735,-0.0013885716624355137,-0.0010722061674119689,0.002139698242417107,0.20808263461235768,-0.011999323449851551,-0.0028586108537994146,0.0013018892657022435,0.0012142817740472317,-0.0032080542444535769,-0.0042044942142638484,-0.0051036006580380102,0.0027538524176254713,0.0034782583431134076,0.0036887709520647513,-0.0054675228125181915,-0.00064437083705865352,-0.010494951299567993,0.011901270087903678,0.011201827804538916,0.014328784793993897,-0.0084490940901677247,0.0029302835781419762,-0.00028226228148437506,0.011584223133480615,-0.01177355641323919,-0.0012337619243035054
beta_l_age_sm,-0.1430540151325452,1,0.23842868351022994,0.003236232379311331,0.0057527839236316044,-0.0028041656537007601,0.018250606149792115,0.0080747830322014727,-0.012291104769900477,-0.007701605531352739,-0.0017984460432315112,0.01907903956191993,0.05488490780178075,0.034490063156004433,0.010558701762062916,-0.0066495119781928855,-0.0029064830582180208,0.0057610389463212362,0.01661187575856337,0.0064395331551399381,0.0068736471702801529,-0.010495297996052968,-0.013201178448814237,0.0029279281940280577,-0.0060163478814183186,0.0083506333242482182,-0.0059452169668113043,-0.0049754964185451701,-0.0064197790283231576,-0.0049509643324489525,-0.0042857604387505849,-0.00054240142933836822,0.00019257818317563257,0.0056615370680390895,-0.0055917955940179105
theta_l_sm,-0.67762688326242548,0.23842868351022992,1,0.015927400288800474,0.020678557175334036,-0.014255437280974422,0.086410710379985781,-0.019228974564704335,0.022503241574224179,-0.030438629995904722,-0.0015107053127710079,0.096402550367680806,0.25975817899041648,0.019506440266437781,0.0051405888453036949,-0.0032683606588522762,-0.0036866436660206617,0.0063235631952767019,0.0070053450575770166,0.007568662822286883,-0.0033920418773567842,-0.0069629951410263126,-0.0088339494007359815,0.015716591261768265,0.00648341900015413,0.024299347197227539,-0.029349304580912894,-0.026470507469111278,-0.034381813296928389,0.0039847479283616526,-0.0027312400807136695,0.0013469700224670307,-0.0079001802381347807,0.010040409675567536,0.0027022837087786519
beta_l0_sf,0.034019814742929123,0.0032362323793113201,0.015927400288800478,1,-0.43803145563204632,0.049518773076888276,-0.78374641398567368,-0.00094636237872717437,-0.025370908845135581,0.015990226890785927,-0.0050590643197578706,-0.061977684200368775,0.11176411815384749,0.001743564102316308,0.009724349934588811,0.0043752054818705288,0.0043988604322363623,0.011858988161193615,0.011187713262421189,0.0038041967483747052,0.0045529871896855968,0.00062233505374497148,0.00079175661126671532,0.014427332953137527,0.012311429084331808,0.025265441202960495,-0.031703090648057992,-0.028510834899900007,-0.038494884557678237,0.0033765960173655976,-0.0008474316213589485,0.0021825746685526803,-0.00078520495066051045,-0.0016717435355817721,-0.00059191498087567585
beta_l_age_sf,0.007544631170415538,0.005752783923631607,0.020678557175334032,-0.43803145563204637,1,0.0042308334915767054,0.35902275699456121,0.0031995178692834948,0.0067261766889627579,-0.0090353768182437413,0.00087183160850484991,0.043574366017236819,0.051709050877555549,0.021328910667549932,-0.0089090823590448655,-0.019351667319281226,-0.0062229473898287469,-0.020534709541209072,-0.0076569360178624438,-0.013505865797938641,-0.010888566812414249,0.0013067251134038069,0.00047948952789571379,-0.0092349784062391443,-0.0076391269239068074,-0.015146019439669454,0.012471036439845064,0.0134391474147757,0.024866361124327992,-0.011345222517075012,-0.0012791389534984648,0.00036032704516094364,0.0020243282029405126,0.0051167668748817981,0.0014592003867221735
beta_l_nkids_sf,-0.004540851179398642,-0.002804165653700764,-0.01425543728097443,0.049518773076888352,0.0042308334915766993,1,-0.3706068734522574,0.053778391249739106,0.019711239226976936,0.012422931862693255,-0.0016312619405604756,-0.029526176044692761,-0.034686408265177368,-7.2763724824947818e-05,-0.020958151433503502,-0.015205452881641971,-0.012189228887359203,-0.022422265003849882,-0.026249739029689981,-0.014105909423355536,-0.015939361995954429,-0.015604330626766085,-0.01363812684961169,0.00534662344102,0.004110345518317713,0.0088990440571494103,-0.013631333870749919,-0.0090012427498426511,-0.016738106412595807,-0.0041363792074921709,-0.00016348153664298747,-0.0024797019142571756,0.0091548267955680277,-0.010493579994404366,0.0018976168529913355
theta_l_sf,0.038167180241622127,0.018250606149792122,0.086410710379985795,-0.78374641398567357,0.35902275699456121,-0.37060687345225735,1,-0.01055564593733012,0.043327740328597486,-0.050054720793432074,0.0035948949103770432,0.16495329924422375,0.23201043714281308,-0.012949781758758839,-0.005482227374153794,0.0057072262731928565,0.0027129762063183645,-0.0077004091873676666,-0.0064541967275135248,0.00066801561308138784,0.0038227302111972796,0.0076050425577283715,0.0071749782897535209,-0.034206126154876323,-0.027755723918293621,-0.05664796097894103,0.071169992443520916,0.064189914402326687,0.086530237341048644,-0.0036500888403809004,0.00079075015947710253,-0.00030440890830870672,0.00044565098458300347,0.0024965807660207381,0.0010799506324566705
theta_c_singles,0.008692664873346528,0.0080747830322014796,-0.019228974564704349,-0.00094636237872715735,0.0031995178692834801,0.053778391249739092,-0.010555645937330174,1,0.042527297650068747,-7.7665869083941703e-05,0.018403396155150256,0.053845384427875301,0.010501023281451,0.014122166171682533,0.011706667930266198,0.0065892816319001873,0.020970395468397893,0.010849609269767265,0.015118402010934505,0.017474769069229661,0.0020017651863425755,-0.010789723945902777,-0.0031260720561449404,0.0078062597511591066,0.0082688415035260445,0.018035755249778029,-0.012271068809006622,-0.011348688633505811,-0.015103280730684232,0.055694935421224112,-0.00012915657592139099,-0.056247143035811749,-0.02253427958763566,0.013652030753460893,-0.10047936770466746
beta_E,0.0051282329807406084,-0.012291104769900495,0.022503241574224068,-0.025370908845135494,0.0067261766889626998,0.019711239226976957,0.043327740328597202,0.042527297650068484,1,-0.032206773517898135,-0.028286504318415017,-0.057657081026549879,-0.0077665044064658831,-0.56706561664932342,-0.52613975231143995,-0.23112408283759223,-0.46531309272642452,-0.61385825220387791,-0.54393513243785363,-0.50461532647869201,-0.38147093321075753,-0.52052478814344827,-0.32525194170711891,-0.043331778097215362,-0.035035611630241971,-0.077177370621424574,-0.093535357787758719,-0.090788282843182772,-0.12358717848428953,-0.004438931621889213,0.059186465266681358,-0.00911296906073027,-0.002015496263374131,0.0010979526374602256,0.0018213898839415906
beta_h_pt1,-0.0013885716624355039,-0.0077016055313527407,-0.030438629995904735,0.015990226890785927,-0.0090353768182437344,0.012422931862693254,-0.050054720793432067,-7.766586908395096e-05,-0.032206773517898142,1,0.059975835052686374,0.14566388637313946,0.050601394108704061,-0.0012883678896377778,0.0012551148114480972,-0.00048906617530200644,-0.0022653133199446347,-0.00034559969448040974,-0.0012982287575322366,-0.00056628897132457966,0.0012641280874473326,4.2368809812044501e-05,-0.00014617450434690948,0.002761497165640241,0.0027273511340747954,0.00072101788129636565,-0.006844652709614419,-0.006509116178670349,-0.010508246479963351,0.0012000370268384799,0.0011396417376346012,-0.0041998357741919057,0.0024025673402970518,-0.0026239359991961342,-0.0010708977614097798
