,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_l0_sm,1,-0.029402778350275636,-0.78221682309027685,0.1024969896729386,0.023938487009485372,-0.0055680448814197049,0.054259575714857233,-0.0060214868551317496,0.021691664034777205,-0.027708238395190033,-0.010729769856687013,0.060720023995600635,0.46581105120528971,0.0037413202758590832,-0.010134215437279086,-0.004733213738834942,-0.014435020540147996,-0.021398496760296353,-0.032736420936942297,-0.015667947804795922,-0.0044341061229984016,0.0047224469151476139,-0.006147044300757961,-0.0073479973082362735,0.035656004922362802,0.02580757594707837,0.0046447076993324328,-0.0059531926823049326,0.0132869490622291,0.019439198531052443,0.024553633767899138,0.052824030368352891,-0.029539419779768854,0.034456717041959239,-0.057789215439496805
beta_l_age_sm,-0.029402778350275507,1,0.33052887825872307,0.025862315392374956,0.010162318476962142,0.0024882380829722483,0.0068921312474137242,0.03100367775333333,-0.046924726402123709,-0.0069158186272072625,-0.0079461350466146861,0.024846138828142541,0.10431642483111464,0.059048232040149154,0.0045616525468859153,0.0022064784038146163,-0.00032879603457403836,0.039665475812776629,0.055557437165533317,0.048686243204243536,0.020492289595695969,0.0096721218895381555,-0.00048356041048832173,-0.043539017701248212,-0.035267451118148649,-0.0058717541634801954,-0.0071369721773934438,-0.0038333186789762433,7.630702204475262e-05,-0.013474520685618661,-0.037990435081869958,-0.028664855974797128,-0.0076104801927248788,0.033479771311943261,-0.0016452758496538729
theta_l_sm,-0.7822168230902774,0.33052887825872318,1,0.10601648762704428,-0.017865360176994534,0.045832243347618241,-0.14838618688515579,-0.0060045893905010979,-0.037384577285372027,0.036046604148219669,0.015597018362282989,0.050675072778235811,-0.0019047650158655987,0.0099236877733156603,0.0032837476514379748,0.0061913123125821815,0.0097797402304326108,0.035717419438958675,0.042931843429108767,0.026429337047813917,0.012101519035642081,0.016777163287424565,0.023787611249128319,0.0073288449614844911,-0.040794390434306944,-0.019136667613914374,-0.01836948656367279,-0.025043605717944097,0.0062008282563216031,-0.036978792129941526,-0.043121862179454913,-0.057030313602069803,0.034669035003001461,-0.028748949167596093,0.10134174640763662
beta_l0_sf,0.10249698967293856,0.025862315392374931,0.10601648762704445,1,-0.33304240826525788,0.12599970936617733,-0.9103267077120728,0.01884405538010497,-0.013027497531204652,-0.017239645459532636,-0.0083862764435000299,-0.039461447015122927,0.34654863996854285,0.0012681708811340096,-0.0040206085860794577,-0.001491230838832247,-0.0014497455755496547,0.0021191988892194391,0.011274197269312461,-0.006995268370123057,0.0034925024810900842,0.0096540960691624492,0.0016486991371513296,0.0030933542286733593,0.0028806915258199569,0.015914175016174779,-0.023319018145385804,0.027162549935290093,0.034623385721678807,0.039847346462050834,-0.044958622056940081,-0.058479017002414833,0.0088874819037302738,-0.020129308464842975,-0.021859693661584786
beta_l_age_sf,0.023938487009485372,0.010162318476962142,-0.017865360176994631,-0.33304240826525799,1,0.20206633351095565,0.2988532833056109,-0.0098411124589801013,-0.0034798377826383109,0.0040035213208541422,0.022332734307264471,0.066059889191288468,0.026602560295843968,-0.0073703670532951618,0.018398808694901483,0.0076042551859441618,0.012007078440248195,0.0060283030909073524,0.01920617339838164,0.034578498469033221,0.0020486533565762148,0.024558617204663988,0.0025315009615615928,-0.012551854004665484,-0.010165246372943549,-0.011285465293106714,-0.0099162260693346251,-0.033429330652249976,-0.050348143005203835,-0.12735115698836338,0.090089112584856634,0.057301401471828377,0.060621428001947843,-0.031947955980323732,0.054544357683768516
beta_l_nkids_sf,-0.0055680448814197136,0.002488238082972243,0.045832243347618255,0.12599970936617763,0.20206633351095563,1,-0.32038072876899909,0.11079334517182661,0.04349317165091808,0.0082294060244965193,-0.00012827382383005708,0.004685652820610552,0.0422766348778656,-0.022062755833876697,-0.02016187218690042,3.2014617973709364e-05,0.0039986056106822623,-0.0029459290263374907,-0.044802594980659215,-0.0085210702062749125,0.0076719432711882338,0.0019885709839762705,-0.0081792064928742497,-0.0040274278155390669,-0.0078929766223954298,-0.012817278251523885,-0.03409657588939595,0.019078970747690271,0.036000587634775309,-0.03539284761906461,0.0086918292608937058,-0.027882017170974934,0.063422099423862704,-0.064752992864275494,-0.022459878493838795
theta_l_sf,0.054259575714857455,0.0068921312474137346,-0.14838618688515595,-0.91032670771207225,0.29885328330561084,-0.32038072876899876,1,-0.051974568442402128,0.0058156273517607727,0.022325884745835946,0.026484402964758427,0.12938673890119259,-0.072336407369545566,0.0037144848776869523,0.011124993923007601,0.0062402135131785713,0.0098517869969456731,-0.006889210045058481,-0.0058867663615239816,0.012999772710749381,-0.0034198333184718914,-0.020500610396385413,-0.0023220464362494679,-0.028011719911505393,-0.019762715075001179,-0.019525899544762929,0.035450735510205597,-0.027398236632049974,-0.029305823122420149,-0.018467146770381498,0.059948663484098642,0.075089252328820716,-0.033569372142977172,0.042921764685374092,0.034489039700597086
theta_c_singles,-0.0060214868551316872,0.031003677753333375,-0.0060045893905010667,0.018844055380104981,-0.0098411124589801412,0.11079334517182657,-0.051974568442402183,1,-0.052911054843998627,0.018796246507499042,0.051633317440445907,0.10371508744185047,0.021087820314679845,0.069932105056253566,0.11298890426364344,0.075261381674843864,-0.064836638480998438,0.11821382991887053,0.11322156356223853,0.050440825479022469,0.044901332181185742,0.043936868745334069,-0.025288983721061666,0.0056011955440949807,-0.023354108969390702,-0.00037093000140280263,0.014204685408179301,0.011362584072172657,0.02790910047806943,0.096958112659094903,0.011974775297310144,-0.10796823846159366,-0.037144294730704533,0.023016859973897168,-0.1126830504330902
beta_E,0.02169166403477683,-0.046924726402123605,-0.037384577285372068,-0.013027497531204848,-0.0034798377826383911,0.043493171650917942,0.005815627351760614,-0.052911054843998905,1,-0.0085802782881481063,-0.0086069105149448114,-0.074684726103951882,-0.025452071765981722,-0.54829108978578689,-0.5466142747348034,-0.2691995988379795,-0.48823132899992289,-0.62382955038248,-0.49038470302022874,-0.45210261385777117,-0.37888502985750444,-0.54972807801555135,-0.38303603516419776,-0.042893767986948557,-0.054347746300320333,-0.046321925682314045,-0.071998865414597629,-0.075073644833113254,-0.098156535358974215,-0.0072586315907696925,0.050145867045279131,0.012645212250039038,-0.0035602814265790748,-0.001972774152288562,0.028366115279447494
beta_h_pt1,-0.02770823839519005,-0.0069158186272072686,0.036046604148219606,-0.017239645459532608,0.0040035213208541656,0.0082294060244965314,0.022325884745835897,0.018796246507499042,-0.0085802782881482104,1,0.066776350758123965,0.18506601484413265,0.07928875470854875,-0.026813416152480802,0.012267445098125202,0.01487063241360226,0.016037770256547176,-0.0048939259042398188,-0.0020838004075831736,0.0090182693908739831,-0.00028677597517422183,-0.0018198935545546018,0.015443814097983111,0.018480646353375329,-0.014034317220120884,0.016443546864026999,-0.0030285120958419686,-0.071080054912465787,-0.094755529847115605,-0.036843100815584562,0.02039470716823201,0.015938192436301634,0.016854536910813289,-0.024401841273777283,0.11311064644349982
