,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_l0_sm,3.1771537511213155,-0.28831479387162406,-0.42464616153015261,0.15584279615770802,0.017549884441248137,-0.012862368166512731,0.018642409976444497,0.00071216041580390778,0.0033473419546058247,-0.00040368797033026645,-0.00034144639961207598,0.00025657066712374244,0.042553941383448667,-0.0045072516876057791,-0.0015860629431424819,0.00085734162827057962,0.0007477279531470332,-0.0017682153859919713,-0.0024503622497865996,-0.0030490562307554018,0.0015859054981192395,0.0012490434586266649,0.0015665995801552959,-0.0014323823486416172,-0.00021742494235084585,-0.0016784299331987244,0.0024725442650158705,0.002575452868553763,0.002460451721528473,-0.00064822596884086463,0.00019346562562725931,-1.2910033779726966e-05,0.0017213473232842974,-0.00081929823965491298,-1.8411899847619117e-05
beta_l_age_sm,-0.28831479387162401,1.2784846526763671,0.094781531048498582,0.0094042275661599915,0.008488734552933681,-0.0050386707084182436,0.005654808671377947,0.0004196472669994527,-0.0050892278789614349,-0.0014203239947619879,-0.00036330409481318498,0.0014512412876331539,0.0071200908562511836,0.0082182184836289141,0.0037162467859155651,-0.0027777827806221823,-0.0011353259890105791,0.0020142942677187341,0.0061413500409355191,0.0024404604619409588,0.0025110335869634437,-0.0023907773426166236,-0.0035564578155774522,0.00048658354925397164,-0.0012877604137219692,0.00084717054253203293,-0.0007835146408549221,-0.0007256543042796432,-0.00069928499758810164,-0.00024095432168813204,-0.00017949431415572207,-1.5737074466401546e-05,1.8152536677841295e-05,0.00024991789328759727,-5.2935518551813536e-05
theta_l_sm,-0.42464616153015261,0.094781531048498568,0.12360468122828344,0.014391233702640312,0.0094875663062271662,-0.0079645740588429759,0.008324878382670509,-0.00031072726486970924,0.0028971818734243419,-0.0017454240459568737,-9.4890412948470104e-05,0.0022800340899951214,0.010477834334707592,0.0014452115222567106,0.00056257003110917305,-0.00042452980183570492,-0.00044776861154399977,0.0006874698695963021,0.00080527535744398353,0.0008918796414768798,-0.00038529750021828812,-0.0004931853293870576,-0.00073999633252388238,0.00081212907500081608,0.00043149515093869904,0.00076650631703904077,-0.0012026712323934565,-0.0012003981707683078,-0.0011644815417745148,6.0299745053646294e-05,-3.556742147676221e-05,1.2151525564218516e-05,-0.00023154581576838578,0.00013781107791634671,7.9542003755815332e-06
beta_l0_sf,0.15584279615770802,0.0094042275661599603,0.014391233702640316,6.6049775064085434,-1.4691228106747323,0.20224141672709328,-0.55195554534417801,-0.00011178896017386374,-0.023877283387637976,0.006702683174057489,-0.0023229025625286976,-0.010715350309772557,0.032955120522315411,0.00094429898779720709,0.007779335722948282,0.0041542714906858801,0.003905538096638515,0.0094244855546168696,0.0094010078731890882,0.0032769383762389004,0.0037805033429124755,0.00032222299723021962,0.00048482451363554617,0.005449679562034215,0.0059896095144605114,0.0058259429907638475,-0.009496616975410167,-0.0094512925194036607,-0.0095307058256338256,0.00037351834646586423,-8.0670617578588379e-05,0.00014393294014745578,-0.00016822912221963257,-0.00016773379019878188,-1.2736295533904325e-05
beta_l_age_sf,0.01754988444124813,0.0084887345529336845,0.0094875663062271645,-1.4691228106747325,1.7030769189722605,0.0087742017663874333,0.12839022854478671,0.00019191435001359426,0.0032143903870654263,-0.0019231882406075293,0.00020327073741378227,0.0038254591272665842,0.0077422739638184296,0.005865725572296877,-0.0036190648837283947,-0.0093303142260774095,-0.0028055517580527511,-0.0082866699557017174,-0.0032671537128081615,-0.005907574327778207,-0.0045909797637674263,0.00034355633968426576,0.00014909169722474835,-0.0017713413327554838,-0.0018871882686131232,-0.0017734514919069981,0.0018969301003601028,0.0022622179682650636,0.003126192665603298,-0.00063727563269862404,-6.1831516905973751e-05,1.2066169087666624e-05,0.00022023205722023514,0.00026069217697417384,1.5943372475327969e-05
beta_l_nkids_sf,-0.012862368166512738,-0.0050386707084182506,-0.0079645740588429811,0.20224141672709359,0.0087742017663874211,2.5253937629334016,-0.16138786791330328,0.0039280602089607217,0.011470746921627653,0.0032199345847502212,-0.00046314115680830964,-0.0031565095968705331,-0.0063242454984708757,-2.4367748764426827e-05,-0.010367255213561912,-0.0089273931469452845,-0.0066918440007115616,-0.011018396055247716,-0.013639139136839763,-0.0075133786345513787,-0.0081837624056369501,-0.0049958143729955133,-0.0051638839998702033,0.0012488014394530301,0.0012365089180134813,0.0012688537897137401,-0.0025248440289960153,-0.0018450690509602323,-0.0025624609048491014,-0.00028293199451697376,-9.6229517415720668e-06,-0.00010111589822760826,0.001212822267806423,-0.00065103369413697823,2.5247664191206087e-05
theta_l_sf,0.018642409976444518,0.0056548086713779496,0.0083248783826705107,-0.5519555453441779,0.12839022854478671,-0.16138786791330326,0.075090626099788962,-0.0001329485040649936,0.0043478256472534492,-0.0022371561578083772,0.00017599656133462176,0.0030408095918530924,0.0072943268915588106,-0.00074780996123385889,-0.00046762333037240534,0.00057780155092310116,0.00025682888823827066,-0.00065250074572533086,-0.00057827241973612759,6.1354879674275191e-05,0.0003384418326834248,0.000419847053043696,0.00046845799419770548,-0.001377672522656494,-0.0014397921202277506,-0.0013927745342031735,0.002273115119030238,0.0022688472471864246,0.002284268387287694,-4.3052012796474642e-05,8.0261485919075084e-06,-2.1404527010135567e-06,1.0180525858707941e-05,2.6708759635915188e-05,2.4776781479438175e-06
theta_c_singles,0.00071216041580390833,0.00041964726699945313,-0.00031072726486970951,-0.00011178896017386172,0.00019191435001359339,0.0039280602089607208,-0.00013294850406499428,0.0021125721764584196,0.00071579190423201253,-5.8222973033848079e-07,0.00015112241089940365,0.00016649056120709142,5.5376083418952098e-05,0.00013678643441664132,0.00016748863424763426,0.00011189343261482045,0.00033297944312823773,0.00015420349677069568,0.00022720039660175875,0.00026920731465441368,2.9725997460220009e-05,-9.9910862701439376e-05,-3.4234340242229124e-05,5.2734886642220771e-05,7.1945695619592625e-05,7.4377877949866273e-05,-6.573850409708684e-05,-6.7281715575987457e-05,-6.6874946023403234e-05,0.00011018402817010212,-2.198858818194412e-07,-6.6337891102114934e-05,-8.6343954361411631e-05,2.4497302915594608e-05,-3.8666137944829291e-05
beta_E,0.0033473419546057826,-0.0050892278789614418,0.0028971818734243276,-0.023877283387637893,0.0032143903870653985,0.011470746921627667,0.0043478256472534206,0.00071579190423200808,0.13409927656302242,-0.0019236179923593014,-0.0018506215633149433,-0.0014203691361708932,-0.00032630493906581423,-0.043760519235087524,-0.059973666109240036,-0.031269372598903333,-0.058865862858380372,-0.069511340230163546,-0.065126501017062272,-0.061936019033056955,-0.045132791501164914,-0.038401769036729781,-0.028378557478834061,-0.0023322170644112438,-0.0024287191194705083,-0.0025357525351116087,-0.0039922770982909811,-0.0042883341413799932,-0.0043598646460235669,-6.9966288348122534e-05,0.00080280610444220292,-8.5630509551221169e-05,-6.1528693457449406e-05,1.5696833817083569e-05,5.5842424065134601e-06
beta_h_pt1,-0.00040368797033026363,-0.0014203239947619883,-0.0017454240459568746,0.006702683174057489,-0.0019231882406075275,0.0032199345847502207,-0.0022371561578083767,-5.8222973033855025e-07,-0.001923617992359302,0.026602153041326702,0.0017476715555720503,0.0015982534265529505,0.00094690348074425964,-4.4282712957405076e-05,6.3721811343858873e-05,-2.9470450199322104e-05,-0.00012764144045369344,-1.7430349278357688e-05,-6.9232025343933567e-05,-3.0957517736287275e-05,6.6614228332035445e-05,1.392198802579335e-06,-5.6805086331652209e-06,6.619912306001466e-05,8.4208090512795437e-05,1.0551351758607078e-05,-0.00013011922242354754,-0.00013693864151253864,-0.00016511062319057686,8.4246177176257324e-06,6.8849657619072451e-06,-1.7577055232444579e-05,3.2667540726938998e-05,-1.6708092399490782e-05,-1.4623607742993094e-06
