,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_l0_sm,6.2591565350325453,-0.083298850196049795,-0.49611497315358466,1.014932233194922,0.064913268220353704,-0.020736514141162416,0.04087977468300074,-0.0011574943585621485,0.01961926830242007,-0.011594468800982919,-0.0049990807573200881,0.011403496842427068,0.16403260914742943,0.0019133822366956895,-0.0078956907615610073,-0.004299597682133117,-0.012993406798110433,-0.016985899712499142,-0.027205538297045834,-0.013175423202289012,-0.0036472561686909529,0.0024581512256641597,-0.0037410477812629566,-0.0029106700274509826,0.017749125460616511,0.0061292431219660973,0.0014324380955424575,-0.0020046607415768552,0.0033043678928385361,0.0027152272721010198,0.0026049345668669038,0.0036517643814277154,-0.0074416679678813288,0.0038888510590347654,-0.0022131462980631935
beta_l_age_sm,-0.083298850196049434,1.2822876527083633,0.094885405077722931,0.11591193675869459,0.01247281273885088,0.0041943028106397398,0.0023502846430440306,0.0026975107145651048,-0.019209962182156985,-0.0013098463659102729,-0.001675677781431237,0.00211202883582281,0.016626771303776152,0.013668428109106238,0.0016086331887512502,0.00090720661542364057,-0.00013395749702905204,0.014251244212527742,0.020897924437059918,0.018530773414480822,0.0076293140585918353,0.0022787574270380579,-0.00013320252989583171,-0.0078061597646392851,-0.0079460844253279612,-0.00063119321596366693,-0.0009962453372867571,-0.00058425265589911297,8.5893925746730192e-06,-0.00085187521167009355,-0.0018242742835497218,-0.00089692432430966301,-0.0008677911404269495,0.0017102701673492372,-2.8519169328225316e-05
theta_l_sm,-0.49611497315358499,0.094885405077722959,0.064267965536087449,0.10637479017079494,-0.0049089422510731921,0.01729591370171801,-0.011328305288252462,-0.00011696012520914826,-0.0034262715568567389,0.0015284304018749755,0.00073634390908893107,0.00096436149778133184,-6.796748197184432e-05,0.00051426777504291678,0.00025924425619479005,0.00056989360709414083,0.00089201533007040364,0.0028729279449500877,0.0036153057628740925,0.002252050354426246,0.0010086475601703017,0.00088491063280172675,0.0014669560888296714,0.00029417034463943809,-0.002057709657757104,-0.00046053783769435199,-0.00057405547276160533,-0.00085452972328371485,0.00015626157453966805,-0.00052338337430915516,-0.00046357277420127046,-0.00039949959525435627,0.00088501259475405375,-0.00032878254909851195,0.00039327023604183742
beta_l0_sf,1.0149322331949215,0.11591193675869448,0.10637479017079511,15.66520408515027,-1.428717741263706,0.74235679902351071,-1.0850244048112576,0.005730593916649011,-0.018640650281567351,-0.011412489553435927,-0.0061812889015975302,-0.011724362579186451,0.19306107766100999,0.0010260410804302524,-0.0049556647196883213,-0.0021430223585504897,-0.0020644650906930634,0.002661258919715595,0.014822514325123505,-0.009306083834454042,0.0045447189367568567,0.007949929014557924,0.001587371011127128,0.0019384908816500869,0.0022685646239538593,0.005979348772583706,-0.011377264554993594,0.014470102451770182,0.013622059714446265,0.0088051621881750503,-0.0075457803489715827,-0.006395601567087161,0.0035420703274793969,-0.0035940688378563643,-0.0013243949581390338
beta_l_age_sf,0.064913268220353704,0.01247281273885088,-0.004908942251073219,-1.4287177412637064,1.1747832384528372,0.32602278312593458,0.097546366215505276,-0.00081955914249530297,-0.0013635463352996663,0.00072578009079867292,0.0045077789286509917,0.0053748322861254588,0.0040584930409846868,-0.001633002806993678,0.0062102726324028976,0.0029926046783477316,0.0046823507320839543,0.0020731051675671234,0.0069149323670841811,0.012597360352049232,0.00073004499573688314,0.0055381713237263493,0.00066746112026841529,-0.0021540353619623367,-0.0021922150325684071,-0.0011611813931926673,-0.0013249053622958655,-0.0048768521715681478,-0.0054245978177807873,-0.0077064025514068102,0.0041407052615099922,0.0017161586064931775,0.0066163040509286883,-0.0015621094344810511,0.00090496987239435385
beta_l_nkids_sf,-0.020736514141162447,0.0041943028106397311,0.017295913701718017,0.74235679902351237,0.32602278312593452,2.2159004055636564,-0.14362025613834589,0.012672025190646348,0.023406055360939738,0.0020489324607909291,-3.5559447040535594e-05,0.00052359251674016869,0.008858047980235673,-0.0067135746286336225,-0.0093464797090896147,1.7303630771703797e-05,0.0021415657492953478,-0.0013913768777185456,-0.022153712137222656,-0.0042634759092920454,0.0037547651591199479,0.0006158852776084494,-0.0029617970530205419,-0.00094922455111728617,-0.0023377728292201601,-0.0018112260628509863,-0.0062567017623111664,0.0038226373628499561,0.0053270886657693691,-0.0029414437670783949,0.00054866776255078377,-0.0011468658385163351,0.009506620433287127,-0.0043483497858019162,-0.00051178545562022043
theta_l_sf,0.040879774683000906,0.002350284643044034,-0.011328305288252476,-1.0850244048112569,0.097546366215505248,-0.14362025613834573,0.090687699885070583,-0.0012026031010406242,0.00063314443571258145,0.0011245192808822827,0.0014852727728273689,0.0029249077019650985,-0.0030661516264301838,0.0002286608069664685,0.001043316480439769,0.00068231896133733917,0.0010674239180032254,-0.00065825020566643785,-0.00058886970693475965,0.0013158443013350344,-0.00033859567834793411,-0.0012844718523723124,-0.00017010383292905551,-0.0013356111852833431,-0.0011841512413406333,-0.00055819632385391282,0.0013160094608662433,-0.0011105288501504472,-0.00087727011440878017,-0.00031048735649550518,0.00076555577549770307,0.00062483490353543039,-0.0010179532513891732,0.00058309762163439454,0.00015898667046712253
theta_c_singles,-0.0011574943585621366,0.0026975107145651087,-0.00011696012520914766,0.0057305939166490136,-0.00081955914249530622,0.012672025190646342,-0.0012026031010406255,0.0059035666110410058,-0.0014697236554094639,0.00024155298030162709,0.00073880376935431561,0.00059820133431315455,0.0002280612104189316,0.0010983804111440814,0.0027035544615857474,0.0020996321689432081,-0.0017923608416592839,0.0028818601763735351,0.0028897122736691347,0.0013026686770401051,0.0011342759875298302,0.00070237645163007296,-0.00047266954022656834,6.8140300945314223e-05,-0.00035703180698323247,-2.7055210852819581e-06,0.00013453907009303609,0.00011750798610106948,0.00021316126567000898,0.00041592144425089804,3.9016449424617754e-05,-0.00022922741535337109,-0.00028738213862525969,7.9779776773237322e-05,-0.00013253215134621153
beta_E,0.01961926830241973,-0.019209962182156943,-0.0034262715568567428,-0.018640650281567632,-0.0013635463352996977,0.023406055360939662,0.00063314443571256421,-0.0014697236554094715,0.13069653118225227,-0.00051882087114433887,-0.00057945692510148826,-0.0020268052885932613,-0.0012951428382180856,-0.040519321323338728,-0.061539659831830691,-0.035336231875978064,-0.063504631079951829,-0.071555885014767659,-0.058889404885369839,-0.054936830501114843,-0.045034127675102384,-0.041348861501344314,-0.033685319390436515,-0.0024552307103497132,-0.0039093084813447447,-0.0015897189963358692,-0.0032086123526239661,-0.0036530243885124756,-0.0035274142767616765,-0.00014650643833092497,0.00076875917833879256,0.00012631980943073539,-0.0001296064994717242,-3.2173544346224073e-05,0.00015697746545569196
beta_h_pt1,-0.011594468800982926,-0.0013098463659102742,0.0015284304018749729,-0.011412489553435908,0.00072578009079867726,0.0020489324607909322,0.0011245192808822801,0.00024155298030162709,-0.00051882087114434516,0.027974869452778984,0.0020799292155906459,0.0023235868662404243,0.001866629520754248,-0.00091675888263448898,0.00063896967737940861,0.00090308217419945861,0.00096510762093493974,-0.00025971008104943519,-0.00011577328956821484,0.00050699279775146032,-1.5769905015183164e-05,-6.3330603579344293e-05,0.0006283586603623634,0.00048940372373739035,-0.00046704819150137549,0.00026108460399824971,-6.2441440670243169e-05,-0.0016001652271389025,-0.0015754107905936411,-0.00034404094679269984,0.00014465206796714084,7.3660796107803103e-05,0.00028386462898011494,-0.00018411795365779027,0.00028959625232978964
