,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd
beta_E_gsur,0.041786681936275244,-0.0017660009109783921,-0.017189369077554174,-0.0015951833506185919,0.0017925364159188716,0.00082228451652345612,-0.002344983259329339,-0.012505830111921971,0.0013528268155094984,0.0017924133081118399
beta_E_drgn2,-0.0017660009109784103,0.096980447424685381,0.052809571811820895,0.055940879624930009,0.059142098245962331,0.057881346851471241,0.056579591323161892,0.055043685252184074,0.015444134574561183,0.00094692788732394367
beta_E_drgn3,-0.017189369077554091,0.052809571811820742,0.13183405010302815,0.050768744046763251,0.051836624988754076,0.052626291465552769,0.052670909725452124,0.056389923892580004,0.0017551429625970567,0.0021513997486704061
beta_E_drgn4,-0.0015951833506184332,0.055940879624929912,0.050768744046763355,0.12944803008597444,0.057933553793152785,0.055057461298259371,0.053468489188586946,0.053678714203804177,0.014939498335503747,0.012280479607840166
beta_E_drgn5,0.0017925364159188408,0.059142098245962227,0.051836624988754243,0.057933553793152751,0.10066877123121937,0.057132432910018356,0.055556755971580676,0.054643794893805227,0.021563414925449484,0.015481670428918456
beta_E_drgn6,0.00082228451652336255,0.057881346851471019,0.052626291465552866,0.055057461298259211,0.05713243291001821,0.11034087945215014,0.055206871571829297,0.053624501078397099,0.010276040260389082,-0.004452700829037229
beta_E_drgn7,-0.0023449832593293381,0.056579591323161767,0.052670909725452186,0.053468489188586849,0.055556755971580621,0.055206871571829387,0.11297675661366942,0.05370167228057298,0.0088587302471418525,-0.0020939461638099705
beta_E_drgn8,-0.012505830111921955,0.055043685252183991,0.056389923892580081,0.053678714203804108,0.05464379489380513,0.053624501078397169,0.053701672280572994,0.10809473869043025,0.0071115443127243499,0.0027281587092277317
beta_E_drgur,0.001352826815509514,0.0154441345745611,0.0017551429625970885,0.01493949833550373,0.021563414925449526,0.010276040260389198,0.0088587302471418768,0.0071115443127243785,0.043287969207937739,0.028539217452570344
beta_E_drgmd,0.0017924133081117966,0.00094692788732379102,0.0021513997486704061,0.012280479607840114,0.015481670428918425,-0.0044527008290372021,-0.0020939461638099944,0.0027281587092277126,0.028539217452570299,0.059174965204972542
