name,score_sum
beta_l0_sm,-7.0797702061975443e-07
beta_l_age_sm,7.597027683707569e-07
beta_l_age2_sm,0.84455441617942095
theta_l_sm,7.995420265083375e-06
beta_l0_sf,-1.1914491314490849e-05
beta_l_age_sf,-9.3205953052635793e-06
beta_l_age2_sf,1.4682021491125439
beta_l_nkids_sf,-1.9581445574679002e-05
theta_l_sf,-2.6573381504135796e-06
theta_c_singles,-2.0474790201063797e-06
beta_E,-2.4158135795815383e-05
beta_h_pt1,3.7000056553826433e-05
beta_h_pt2,3.4658087972649909e-05
beta_h_ft,-4.3004358494913575e-05
beta_h_lh,-4.2831479348692802e-05
beta_E_gsur,-7.4692751780069955e-05
beta_E_drgn2,-3.5160609075934879e-06
beta_E_drgn3,3.6728529103413621e-05
beta_E_drgn4,5.0388722658833984e-06
beta_E_drgn5,-7.9379963217496297e-05
beta_E_drgn6,-3.2965278140562049e-06
beta_E_drgn7,2.7555954656754977e-05
beta_E_drgn8,-3.1156133590615198e-05
beta_E_drgur,5.5459482553588124e-06
beta_E_drgmd,4.1283941578651451e-06
beta_occ_2_m,-1.8805896388363053e-05
beta_occ_3_m,7.9713703955430759e-06
beta_occ_4_m,5.7427815087884859e-05
beta_occ_2_f,-1.0612299919610102e-05
beta_occ_3_f,-4.8237621794733343e-06
beta_occ_4_f,-5.1455730692762103e-05
beta_w0,-0.00010907983553298806
beta_w_educL,8.6328638455590578e-05
beta_w_educH,-0.00010992597204051435
beta_w_pexp,-7.1260607018786004e-05
beta_w_pexp2,-4.3936289221946367e-05
sigma,3.6454186894019358e-05
