parameter,block,estimate,se_hessian,t_hessian,se_robust,t_robust,p_robust,fixed,at_lower_bound,at_upper_bound,primary_se
joint.beta_l0_sf,preference,8.131042833575094,,,,,,False,False,False,none
joint.beta_l_age_sf,preference,-0.92618597075853,,,,,,False,False,False,none
joint.beta_h_pt1,employment_hours_opportunity,-0.1636265609582892,,,,,,False,False,False,none
joint.beta_E,other,-1.7286056318511458,,,,,,False,False,False,none
joint.beta_E_drgn4,employment_hours_opportunity,-0.833082297299326,,,,,,False,False,False,none
joint.theta_l_sf,preference,-2.112585936894765,,,,,,False,False,False,none
joint.beta_E_drgmd,employment_hours_opportunity,0.0358282227235276,,,,,,False,False,False,none
joint.beta_l_age2_sm,preference,1.0,,,,,,False,False,False,none
joint.beta_E_drgn6,employment_hours_opportunity,-0.5846378565669587,,,,,,False,False,False,none
joint.beta_E_drgur,employment_hours_opportunity,0.003492820643088,,,,,,False,False,False,none
joint.theta_l_sm,preference,-2.39422025295109,,,,,,False,False,False,none
joint.beta_l_nkids_sf,preference,1.4036479492516234,,,,,,False,False,False,none
joint.beta_h_lh,employment_hours_opportunity,-0.8987624089310192,,,,,,False,False,False,none
joint.beta_h_ft,employment_hours_opportunity,1.358901239204643,,,,,,False,False,False,none
joint.beta_l_age_sm,preference,0.3715026700252075,,,,,,False,False,False,none
joint.beta_h_pt2,employment_hours_opportunity,0.1804568985195618,,,,,,False,False,False,none
joint.beta_E_drgn5,employment_hours_opportunity,-0.4062342147014746,,,,,,False,False,False,none
joint.beta_E_gsur,employment_hours_opportunity,-1.0490128396578131,,,,,,False,False,False,none
joint.beta_l0_sm,preference,4.79796738242216,,,,,,False,False,False,none
joint.beta_E_drgn2,employment_hours_opportunity,-0.3223904158625251,,,,,,False,False,False,none
joint.beta_E_drgn7,employment_hours_opportunity,-0.4151407764173997,,,,,,False,False,False,none
joint.beta_E_drgn3,employment_hours_opportunity,-0.1967386966476186,,,,,,False,False,False,none
joint.beta_w_pexp,wage_opportunity,0.227841678028529,,,,,,False,False,False,none
joint.theta_c_singles,preference,-0.0770655347312553,,,,,,False,False,False,none
joint.beta_w_educL,wage_opportunity,0.0182884123506836,,,,,,False,False,False,none
joint.beta_E_drgn8,employment_hours_opportunity,-0.4417509364229974,,,,,,False,False,False,none
joint.beta_w_pexp2,wage_opportunity,-0.0117830805112241,,,,,,False,False,False,none
joint.beta_w0,wage_opportunity,2.136758998238125,,,,,,False,False,False,none
joint.sigma,wage_opportunity,0.4196640893488088,,,,,,False,False,False,none
joint.beta_w_educH,wage_opportunity,0.3237474645467641,,,,,,False,False,False,none
joint.beta_l_age2_sf,preference,1.0,,,,,,False,False,False,none
joint.beta_l_age_f,preference,-1.780253386288037,,,,,,False,False,False,none
joint.beta_l0_f,preference,10.052237044896549,,,,,,False,False,False,none
joint.beta_l_age2_m,preference,0.0877504891847849,,,,,,False,False,False,none
joint.beta_l_age_m,preference,-0.067236897452355,,,,,,False,False,False,none
joint.beta_l0_m,preference,1e-06,,,,,,False,False,False,none
joint.beta_l_age2_f,preference,1.0,,,,,,False,False,False,none
joint.beta_l_nkids_f,preference,0.5857198501055841,,,,,,False,False,False,none
joint.theta_l_f,preference,-2.131739110508045,,,,,,False,False,False,none
joint.beta_occ_2_f,occupation_opportunity,-0.0475805242455427,,,,,,False,False,False,none
joint.beta_occ_4_m,occupation_opportunity,0.2906431544805711,,,,,,False,False,False,none
joint.beta_occ_3_m,occupation_opportunity,-2.294101394919219,,,,,,False,False,False,none
joint.beta_occ_2_m,occupation_opportunity,-1.5916485115155634,,,,,,False,False,False,none
joint.beta_E_y2015,employment_hours_opportunity,-0.2546064112385174,,,,,,False,False,False,none
joint.beta_E_y2017,employment_hours_opportunity,-0.0694711073761977,,,,,,False,False,False,none
joint.beta_occ_3_f,occupation_opportunity,-0.4729186216832488,,,,,,False,False,False,none
joint.beta_occ_4_f,occupation_opportunity,0.7717937415014848,,,,,,False,False,False,none
