parameter,estimate,std_error,t_value,p_value,lower_bound,upper_bound,initial_value
joint.beta_l0_sf,8.131042833575094,,,,,,3.728508753936399
joint.beta_l_age_sf,-0.92618597075853,,,,,,0.4986362103504623
joint.beta_h_pt1,-0.1636265609582892,,,,,,-1.4332708022989755
joint.beta_E,-1.7286056318511458,,,,,,-0.75265301737783
joint.beta_E_drgn4,-0.833082297299326,,,,,,-0.0168585564606559
joint.theta_l_sf,-2.112585936894765,,,,,,-1.349085275197915
joint.beta_E_drgmd,0.0358282227235276,,,,,,-0.6675446983120384
joint.beta_l_age2_sm,1.0,,,,,,0.3818800948603306
joint.beta_E_drgn6,-0.5846378565669587,,,,,,-0.0484589776197602
joint.beta_E_drgur,0.003492820643088,,,,,,-0.530487815363722
joint.theta_l_sm,-2.39422025295109,,,,,,-1.8616120265204583
joint.beta_l_nkids_sf,1.4036479492516234,,,,,,1.739492533192177
joint.beta_h_lh,-0.8987624089310192,,,,,,-1.2184848074097656
joint.beta_h_ft,1.358901239204643,,,,,,1.0413227078263705
joint.beta_l_age_sm,0.3715026700252075,,,,,,0.6775305440791358
joint.beta_h_pt2,0.1804568985195618,,,,,,-0.1036954463718583
joint.beta_E_drgn5,-0.4062342147014746,,,,,,-0.1402066979956915
joint.beta_E_gsur,-1.0490128396578131,,,,,,-1.306190335762088
joint.beta_l0_sm,4.79796738242216,,,,,,4.548663369591292
joint.beta_E_drgn2,-0.3223904158625251,,,,,,-0.075028607972602
joint.beta_E_drgn7,-0.4151407764173997,,,,,,-0.1751526570287388
joint.beta_E_drgn3,-0.1967386966476186,,,,,,0.031313770382988
joint.beta_w_pexp,0.227841678028529,,,,,,0.3827797053592998
joint.theta_c_singles,-0.0770655347312553,,,,,,0.0075809783211004
joint.beta_w_educL,0.0182884123506836,,,,,,-0.0607639395244288
joint.beta_E_drgn8,-0.4417509364229974,,,,,,-0.3656941546069446
joint.beta_w_pexp2,-0.0117830805112241,,,,,,-0.0822424960435394
joint.beta_w0,2.136758998238125,,,,,,2.1968218592232938
joint.sigma,0.4196640893488088,,,,,,0.3898254999925787
joint.beta_w_educH,0.3237474645467641,,,,,,0.3382027925000935
joint.beta_l_age2_sf,1.0,,,,,,1.0
joint.beta_l_age_f,-1.780253386288037,,,,,,
joint.beta_l0_f,10.052237044896549,,,,,,
joint.beta_l_age2_m,0.0877504891847849,,,,,,
joint.beta_l_age_m,-0.067236897452355,,,,,,
joint.beta_l0_m,1e-06,,,,,,
joint.beta_l_age2_f,1.0,,,,,,
joint.beta_l_nkids_f,0.5857198501055841,,,,,,
joint.theta_l_f,-2.131739110508045,,,,,,
joint.beta_occ_2_f,-0.0475805242455427,,,,,,
joint.beta_occ_4_m,0.2906431544805711,,,,,,
joint.beta_occ_3_m,-2.294101394919219,,,,,,
joint.beta_occ_2_m,-1.5916485115155634,,,,,,
joint.beta_E_y2015,-0.2546064112385174,,,,,,
joint.beta_E_y2017,-0.0694711073761977,,,,,,
joint.beta_occ_3_f,-0.4729186216832488,,,,,,
joint.beta_occ_4_f,0.7717937415014848,,,,,,
