,estimate,se_hessian,se_clustered,t_robust,ratio_cl_h
beta_l0_sm,4.798273585411088,1.8139909725529049,2.5154203393150603,1.9075434472783344,1.3866774296980127
beta_l_age_sm,0.3700154178866206,1.1837312212113558,1.1860139508670464,0.31198234861918567,1.0019284188967785
theta_l_sm,-2.394299005793781,0.36282613890230736,0.2604580992720689,-9.192645621254988,0.7178592481237921
beta_l0_sf,8.134538735801868,2.7302317645253167,4.186968276069816,1.942823111962415,1.5335578211609338
beta_l_age_sf,-0.9270104400236616,1.467125150250693,1.2280689294756386,-0.7548521241551782,0.837058058247992
beta_l_nkids_sf,1.4026223617544733,1.7076490004150529,1.5687943010008472,0.8940766554669655,0.9186866274155542
theta_l_sf,-2.112804625211962,0.2857892355847532,0.2996889390302369,-7.049992008543205,1.0486362035891363
theta_c_singles,-0.07706585451876447,0.023974816110998984,0.06921272764104146,-1.1134636236047761,2.8868929513619324
beta_E,-1.7283568645852418,0.38711498448853354,0.43646848390094084,-3.9598663553850155,1.1274905425777162
beta_h_pt1,-0.16363453559611146,0.18309162643061838,0.17739839801590332,-0.9224127017282424,0.9689050311819013
beta_h_pt2,0.18044028829696596,0.1942817091315266,0.195921276166457,0.9209836309133766,1.0084391219444153
beta_h_ft,1.3588944766219766,0.07767536266039861,0.08292628371084503,16.3867764936904,1.0676008565728075
beta_h_lh,-0.8987493967783454,0.11326441414479582,0.13705561841457942,-6.557552380375383,1.2100501242991397
beta_E_gsur,-1.04902361121663,0.22646309938377285,0.2525597448845619,-4.153566165883284,1.1152357517485207
beta_E_drgn2,-0.32261885773872645,0.3256030587288972,0.3652392942047812,-0.883308184134869,1.1217317663741169
beta_E_drgn3,-0.1969767376312371,0.379627977381764,0.4141086577543369,-0.47566437924630467,1.0908275533599523
beta_E_drgn4,-0.833314826664763,0.36001389048844906,0.4152521190455396,-2.006768390683096,1.1534336035816453
beta_E_drgn5,-0.4064234559947269,0.3230161362720629,0.37325302542080296,-1.0888684841510068,1.1555243949374332
beta_E_drgn6,-0.5848524314179107,0.3435354543079609,0.3951102246651023,-1.4802260101308058,1.1501293962832362
beta_E_drgn7,-0.4153869208037517,0.34943677486410535,0.3892323716130328,-1.067195205481833,1.113884970362389
beta_E_drgn8,-0.44196523900811563,0.34021605409609634,0.38927590505155857,-1.135352158386424,1.1442020456259978
beta_E_drgur,0.0034228047581963484,0.21055349051106242,0.24401044844987632,0.014027287683541336,1.1589000394037927
beta_E_drgmd,0.035807442911169045,0.2453775396345671,0.27138767349577786,0.13194203867083934,1.1060004672797143
beta_w0,2.1367579352562918,0.04483607124748412,0.05730473144705594,37.287635441245385,1.2780943970480345
beta_w_educL,0.01828727879133665,0.03860668901381678,0.04240169401611799,0.4312865137978963,1.0982991574579999
beta_w_educH,0.32374613856986845,0.02649259568064287,0.026976587867188442,12.001003987744502,1.0182689605948732
beta_w_pexp,0.22784698311672383,0.086897075304918,0.09817770078239531,2.3207610414683915,1.1298159395801768
beta_w_pexp2,-0.011786330399308926,0.04080877137617473,0.04383640290918084,-0.26887083832420167,1.0741907053534505
sigma,0.4196642982269841,0.008210748734434383,0.013612426185005263,30.829500378798333,1.6578787909946908
