parameter,block,estimate,se_hessian,t_hessian,se_robust,t_robust,p_robust,fixed,at_lower_bound,at_upper_bound,primary_se
joint.beta_l0_sm,preference,4.798273585411088,,,,,,False,False,False,none
joint.beta_l_age_sm,preference,0.3700154178866206,,,,,,False,False,False,none
joint.beta_l_age2_sm,preference,1.0,,,,,,False,False,False,none
joint.theta_l_sm,preference,-2.394299005793781,,,,,,False,False,False,none
joint.beta_l0_sf,preference,8.134538735801868,,,,,,False,False,False,none
joint.beta_l_age_sf,preference,-0.9270104400236616,,,,,,False,False,False,none
joint.beta_l_age2_sf,preference,1.0,,,,,,False,False,False,none
joint.beta_l_nkids_sf,preference,1.4026223617544733,,,,,,False,False,False,none
joint.theta_l_sf,preference,-2.112804625211962,,,,,,False,False,False,none
joint.theta_c_singles,preference,-0.0770658545187644,,,,,,False,False,False,none
joint.beta_l0_m,preference,1e-06,,,,,,False,False,False,none
joint.beta_l_age_m,preference,-0.067236897452355,,,,,,False,False,False,none
joint.beta_l_age2_m,preference,0.0877504891847849,,,,,,False,False,False,none
joint.beta_l0_f,preference,10.052237044896549,,,,,,False,False,False,none
joint.beta_l_age_f,preference,-1.780253386288037,,,,,,False,False,False,none
joint.beta_l_age2_f,preference,1.0,,,,,,False,False,False,none
joint.beta_l_nkids_f,preference,0.5857198501055841,,,,,,False,False,False,none
joint.theta_l_f,preference,-2.131739110508045,,,,,,False,False,False,none
joint.beta_E,other,-1.7283568645852418,,,,,,False,False,False,none
joint.beta_h_pt1,employment_hours_opportunity,-0.1636345355961114,,,,,,False,False,False,none
joint.beta_h_pt2,employment_hours_opportunity,0.1804402882969659,,,,,,False,False,False,none
joint.beta_h_ft,employment_hours_opportunity,1.3588944766219766,,,,,,False,False,False,none
joint.beta_h_lh,employment_hours_opportunity,-0.8987493967783454,,,,,,False,False,False,none
joint.beta_E_gsur,employment_hours_opportunity,-1.04902361121663,,,,,,False,False,False,none
joint.beta_E_drgn2,employment_hours_opportunity,-0.3226188577387264,,,,,,False,False,False,none
joint.beta_E_drgn3,employment_hours_opportunity,-0.1969767376312371,,,,,,False,False,False,none
joint.beta_E_drgn4,employment_hours_opportunity,-0.833314826664763,,,,,,False,False,False,none
joint.beta_E_drgn5,employment_hours_opportunity,-0.4064234559947269,,,,,,False,False,False,none
joint.beta_E_drgn6,employment_hours_opportunity,-0.5848524314179107,,,,,,False,False,False,none
joint.beta_E_drgn7,employment_hours_opportunity,-0.4153869208037517,,,,,,False,False,False,none
joint.beta_E_drgn8,employment_hours_opportunity,-0.4419652390081156,,,,,,False,False,False,none
joint.beta_E_y2015,employment_hours_opportunity,-0.2546064112385174,,,,,,False,False,False,none
joint.beta_E_y2017,employment_hours_opportunity,-0.0694711073761977,,,,,,False,False,False,none
joint.beta_E_drgur,employment_hours_opportunity,0.0034228047581963,,,,,,False,False,False,none
joint.beta_E_drgmd,employment_hours_opportunity,0.035807442911169,,,,,,False,False,False,none
joint.beta_occ_2_m,occupation_opportunity,-1.5916485115155634,,,,,,False,False,False,none
joint.beta_occ_3_m,occupation_opportunity,-2.294101394919219,,,,,,False,False,False,none
joint.beta_occ_4_m,occupation_opportunity,0.2906431544805711,,,,,,False,False,False,none
joint.beta_occ_2_f,occupation_opportunity,-0.0475805242455427,,,,,,False,False,False,none
joint.beta_occ_3_f,occupation_opportunity,-0.4729186216832488,,,,,,False,False,False,none
joint.beta_occ_4_f,occupation_opportunity,0.7717937415014848,,,,,,False,False,False,none
joint.beta_w0,wage_opportunity,2.136757935256292,,,,,,False,False,False,none
joint.beta_w_educL,wage_opportunity,0.0182872787913366,,,,,,False,False,False,none
joint.beta_w_educH,wage_opportunity,0.3237461385698684,,,,,,False,False,False,none
joint.beta_w_pexp,wage_opportunity,0.2278469831167238,,,,,,False,False,False,none
joint.beta_w_pexp2,wage_opportunity,-0.0117863303993089,,,,,,False,False,False,none
joint.sigma,wage_opportunity,0.4196642982269841,,,,,,False,False,False,none
