parameter,estimate,std_error,t_value,p_value,lower_bound,upper_bound,initial_value
joint.beta_l0_sm,4.798273585411088,,,,,,4.548663369591292
joint.beta_l_age_sm,0.3700154178866206,,,,,,0.6775305440791358
joint.beta_l_age2_sm,1.0,,,,,,0.3818800948603306
joint.theta_l_sm,-2.394299005793781,,,,,,-1.8616120265204583
joint.beta_l0_sf,8.134538735801868,,,,,,3.728508753936399
joint.beta_l_age_sf,-0.9270104400236616,,,,,,0.4986362103504623
joint.beta_l_age2_sf,1.0,,,,,,1.0
joint.beta_l_nkids_sf,1.4026223617544733,,,,,,1.739492533192177
joint.theta_l_sf,-2.112804625211962,,,,,,-1.349085275197915
joint.theta_c_singles,-0.0770658545187644,,,,,,0.0075809783211004
joint.beta_l0_m,1e-06,,,,,,
joint.beta_l_age_m,-0.067236897452355,,,,,,
joint.beta_l_age2_m,0.0877504891847849,,,,,,
joint.beta_l0_f,10.052237044896549,,,,,,
joint.beta_l_age_f,-1.780253386288037,,,,,,
joint.beta_l_age2_f,1.0,,,,,,
joint.beta_l_nkids_f,0.5857198501055841,,,,,,
joint.theta_l_f,-2.131739110508045,,,,,,
joint.beta_E,-1.7283568645852418,,,,,,-0.75265301737783
joint.beta_h_pt1,-0.1636345355961114,,,,,,-1.4332708022989755
joint.beta_h_pt2,0.1804402882969659,,,,,,-0.1036954463718583
joint.beta_h_ft,1.3588944766219766,,,,,,1.0413227078263705
joint.beta_h_lh,-0.8987493967783454,,,,,,-1.2184848074097656
joint.beta_E_gsur,-1.04902361121663,,,,,,-1.306190335762088
joint.beta_E_drgn2,-0.3226188577387264,,,,,,-0.075028607972602
joint.beta_E_drgn3,-0.1969767376312371,,,,,,0.031313770382988
joint.beta_E_drgn4,-0.833314826664763,,,,,,-0.0168585564606559
joint.beta_E_drgn5,-0.4064234559947269,,,,,,-0.1402066979956915
joint.beta_E_drgn6,-0.5848524314179107,,,,,,-0.0484589776197602
joint.beta_E_drgn7,-0.4153869208037517,,,,,,-0.1751526570287388
joint.beta_E_drgn8,-0.4419652390081156,,,,,,-0.3656941546069446
joint.beta_E_y2015,-0.2546064112385174,,,,,,
joint.beta_E_y2017,-0.0694711073761977,,,,,,
joint.beta_E_drgur,0.0034228047581963,,,,,,-0.530487815363722
joint.beta_E_drgmd,0.035807442911169,,,,,,-0.6675446983120384
joint.beta_occ_2_m,-1.5916485115155634,,,,,,
joint.beta_occ_3_m,-2.294101394919219,,,,,,
joint.beta_occ_4_m,0.2906431544805711,,,,,,
joint.beta_occ_2_f,-0.0475805242455427,,,,,,
joint.beta_occ_3_f,-0.4729186216832488,,,,,,
joint.beta_occ_4_f,0.7717937415014848,,,,,,
joint.beta_w0,2.136757935256292,,,,,,2.1968218592232938
joint.beta_w_educL,0.0182872787913366,,,,,,-0.0607639395244288
joint.beta_w_educH,0.3237461385698684,,,,,,0.3382027925000935
joint.beta_w_pexp,0.2278469831167238,,,,,,0.3827797053592998
joint.beta_w_pexp2,-0.0117863303993089,,,,,,-0.0822424960435394
joint.sigma,0.4196642982269841,,,,,,0.3898254999925787
