parameter,value,se_hessian,se_clustered
beta_l0_sm,4.428684219911562,0.817187724310588,1.120365818966399
beta_l_age_sm,0.6668207450650255,0.40071967828540056,0.49117042027460944
beta_l_age2_sm,0.3699041047999929,0.3355575421216946,0.37034923387861596
theta_l_sm,-1.7902481257384688,0.17416258094118514,0.1710613854985218
beta_l0_sf,3.8481239717963707,0.709323650626547,1.024381591062784
beta_l_age_sf,0.49020815113719285,0.33985426635927085,0.4129992956586386
beta_l_age2_sf,1.0,0.3234364626815949,0.3242948414919303
beta_l_nkids_sf,1.781787227310545,0.538335210020693,0.8016475510490144
theta_l_sf,-1.4404485510439382,0.12505837961204028,0.15374796279934252
theta_c_singles,0.009507439232846887,0.04047756843310895,0.08383814993144066
beta_l0_m,1e-06,0.09992162173168673,0.12293558033445247
beta_l_age_m,-0.0698610697652116,0.06564186751883741,0.06742993708205404
beta_l_age2_m,0.13149791577090666,0.0623849231484579,0.06376540703951875
beta_l0_f,10.259290544834185,1.4607812012018133,2.661318667079805
beta_l_age_f,-1.9208089256372491,0.5813959214669292,0.7154310323558795
beta_l_age2_f,1.0,0.5871528523460445,0.8051334028662586
beta_l_nkids_f,0.5212237553923443,0.5640556498974776,0.9220472770313908
theta_l_f,-2.2272947496567244,0.08462404569090673,0.10135352471331341
beta_E_m,-0.331052597077322,0.17552973528644483,0.20260728460417862
beta_E_f,-1.023511207905809,0.16867795299249444,0.1908129509676595
beta_h_pt1,-1.4274956916619763,0.051632711081642045,0.05856313409609458
beta_h_pt2_m,-1.2107990564065296,0.11213457050345933,0.12018350491812538
beta_h_pt2_f,0.391147139939206,0.05307305326213536,0.0643463940446809
beta_h_ft,1.033848786496891,0.020314635704531736,0.026998559552911135
beta_h_lh,-1.2442712312066109,0.031981878896430616,0.04914208617363717
beta_E_gsur,-1.4041475001055892,0.08788888881268488,0.09911649345423064
beta_E_drgn2,-0.07008944205625103,0.1321442886275773,0.15509847243273495
beta_E_drgn3,0.08449016031171955,0.1528623912290191,0.18227244451737526
beta_E_drgn4,0.002706425272723623,0.15827284282259366,0.1861840579930468
beta_E_drgn5,-0.1415002895353318,0.1374426641353082,0.16139726993157247
beta_E_drgn6,-0.05384696565161733,0.15310609260135086,0.17683134016580834
beta_E_drgn7,-0.18111664131943836,0.1459570595881354,0.16874963513982275
beta_E_drgn8,-0.3444290883177278,0.1352620011500923,0.15859176701489566
beta_E_y2015,-0.25096553818628475,0.08648175883924772,0.09295521690030176
beta_E_y2017,-0.06418587593114504,0.09136717944121948,0.07530483536661751
beta_E_drgur,-0.5323375715092442,0.0921618281100344,0.11123961577458745
beta_E_drgmd,-0.664401512023075,0.10226473001976666,0.12422124860906014
beta_occ_2_m,-1.6264560776683907,0.0426256848092271,0.055603192325412776
beta_occ_3_m,-2.327864310695183,0.05624490695889216,0.07027092850731353
beta_occ_4_m,0.25723735179042845,0.02463311009250926,0.031593362840747284
beta_occ_2_f,0.017887959385597996,0.03572460762634832,0.04744115108881824
beta_occ_3_f,-0.40413624473750515,0.038607087619325756,0.05147326759730528
beta_occ_4_f,0.8375712533560713,0.031131183522449056,0.040334871355546406
beta_w0,2.1970911702854434,0.011371738360623598,0.01459135767266003
beta_w_educL,-0.06062930626475335,0.009524175496464334,0.01225554083355725
beta_w_educH,0.33837148485275514,0.0066255039633583155,0.008648019260013346
beta_w_pexp,0.38164849380924687,0.021617183244461803,0.027942672315834867
beta_w_pexp2,-0.08182995029517566,0.009722330307002262,0.012586478231939858
sigma,0.3899432737224143,0.0021216882945318265,0.00428403846733421
