parameter,value,se_hessian,se_clustered
beta_l0_sm,4.548663369591292,0.8406013373206254,1.155108348336803
beta_l_age_sm,0.6775305440791358,0.4211271415660584,0.5195514685676663
beta_l_age2_sm,0.38188009486033064,0.35294070925375587,0.3916423377360453
theta_l_sm,-1.8616120265204585,0.17516038520323154,0.16874322312150847
beta_l0_sf,3.728508753936399,0.6652267268401157,0.9639822398049165
beta_l_age_sf,0.49863621035046235,0.3152372758315857,0.38324721118431104
beta_l_age2_sf,1.0,0.30474590233369014,0.31161996381532436
beta_l_nkids_sf,1.7394925331921767,0.5028854045988782,0.7414031290908883
theta_l_sf,-1.349085275197915,0.12111422724008461,0.15407651340983347
theta_c_singles,0.007580978321100435,0.04029784658434222,0.08383598259535242
beta_l0_m,1e-06,0.09961637883538013,0.12223931777670424
beta_l_age_m,-0.06723689745235506,0.06471357647379156,0.06566790030886467
beta_l_age2_m,0.08775048918478498,0.06139570516726118,0.061968742838661856
beta_l0_f,10.052237044896547,1.3822369885215,2.505339082023552
beta_l_age_f,-1.780253386288037,0.5430593015255067,0.6663146787625738
beta_l_age2_f,1.0,0.5509875360175956,0.7478551927659338
beta_l_nkids_f,0.5857198501055841,0.5290280804107315,0.8549206172506537
theta_l_f,-2.131739110508045,0.08110834835608967,0.10055009377997262
beta_E,-0.75265301737783,0.16636035488473486,0.18925494184334984
beta_h_pt1,-1.4332708022989755,0.05165596163608044,0.05860255756369286
beta_h_pt2,-0.10369544637185832,0.04741676156892751,0.05551789535339789
beta_h_ft,1.0413227078263703,0.020384831121307942,0.027161967401187172
beta_h_lh,-1.2184848074097656,0.032185175540688865,0.04954196950386983
beta_E_gsur,-1.306190335762088,0.08563464238435889,0.09472899423674676
beta_E_drgn2,-0.07502860797260201,0.1320651096576924,0.1552524173646832
beta_E_drgn3,0.03131377038298806,0.15234088429729042,0.18144514365196357
beta_E_drgn4,-0.01685855646065593,0.15802532154482282,0.1854829364322333
beta_E_drgn5,-0.1402066979956915,0.1374196399477378,0.16125884465948667
beta_E_drgn6,-0.0484589776197602,0.1530721881414365,0.17676898374584515
beta_E_drgn7,-0.17515265702873883,0.14607958047935748,0.16910336991279507
beta_E_drgn8,-0.3656941546069446,0.1352167411906113,0.15911351775627589
beta_E_y2015,-0.25460641123851746,0.08649461413068478,0.09308107442149832
beta_E_y2017,-0.06947110737619774,0.09134056628138662,0.07528752833816656
beta_E_drgur,-0.530487815363722,0.09211308599007884,0.11124193756827971
beta_E_drgmd,-0.6675446983120384,0.10221786662109422,0.12429590452426412
beta_occ_2_m,-1.5916485115155634,0.04245053296757038,0.055322226028616646
beta_occ_3_m,-2.294101394919219,0.056079364440453285,0.07003076670720539
beta_occ_4_m,0.29064315448057115,0.024401457463440693,0.03143779795478355
beta_occ_2_f,-0.04758052424554271,0.034389042183499995,0.04489174559667067
beta_occ_3_f,-0.4729186216832488,0.03737516145631945,0.04915913075079522
beta_occ_4_f,0.7717937415014848,0.02961687487363659,0.03754487058716397
beta_w0,2.1968218592232938,0.011375738312588226,0.014614831623384145
beta_w_educL,-0.060763939524428885,0.00951816236243495,0.012257233391141181
beta_w_educH,0.33820279250009355,0.0066206496078800555,0.008637672513189337
beta_w_pexp,0.38277970535929984,0.02161752138105084,0.0279550296329183
beta_w_pexp2,-0.08224249604353946,0.009720168508673258,0.012584777937735792
sigma,0.3898254999925787,0.002119196389441875,0.0042773949315643624
