parameter,value,se_hessian,se_clustered
beta_l0_sm,4.548122345175691,0.8406434600324904,1.1550669434578524
beta_l_age_sm,0.6775947842192139,0.42123097296672024,0.5196907094365196
beta_l_age2_sm,0.38184069681390853,0.35301853119875304,0.39172723578829965
theta_l_sm,-1.8619919160925784,0.17519247502691102,0.1687308344225801
beta_l0_sf,3.7295510390925677,0.6655399058926351,0.9644499714360675
beta_l_age_sf,0.4990358628980907,0.31538087665974734,0.3834380571251158
beta_l_age2_sf,1.0,0.30480781271029,0.3116048346825734
beta_l_nkids_sf,1.738133225246802,0.5028932657456546,0.7412533064122087
theta_l_sf,-1.3495473502462407,0.12112753963773078,0.15405808990875944
theta_c_singles,0.007126004699915052,0.040266651817405734,0.0838637304985079
beta_l0_m,1e-06,0.09960337148788326,0.1222217649252682
beta_l_age_m,-0.06694825275203518,0.06471243131534758,0.06566421391321123
beta_l_age2_m,0.08774135272064552,0.06139374105891218,0.06196130446376852
beta_l0_f,10.055626310508115,1.3820691300223953,2.5044694110227113
beta_l_age_f,-1.7789956843476422,0.5431647117829123,0.6665159080769738
beta_l_age2_f,1.0,0.5511615099305092,0.7479917270316464
beta_l_nkids_f,0.584785236813507,0.5291448999960734,0.8552086719969851
theta_l_f,-2.131866531380854,0.08109996297922134,0.10049479554154322
beta_E,-0.7529548430141862,0.1663585115729399,0.1892491353244691
beta_h_pt1,-1.433275798484949,0.051656169810193456,0.058602945822448356
beta_h_pt2,-0.10363082541113637,0.0474168322767,0.055518031706538795
beta_h_ft,1.0412743528344788,0.020384658511405047,0.02716194230312892
beta_h_lh,-1.2190350798390366,0.03218590539628246,0.04954507201207676
beta_E_gsur,-1.3058667347293582,0.08563560164313445,0.09473085277371411
beta_E_drgn2,-0.07466612762719231,0.13206081070148026,0.1552386442442006
beta_E_drgn3,0.03159617569008276,0.1523367821480957,0.18142959568448855
beta_E_drgn4,-0.016707793568140644,0.15802358737986305,0.18547496217258488
beta_E_drgn5,-0.14007635550330758,0.1374187214919977,0.16125578587274886
beta_E_drgn6,-0.048433191783215424,0.15306879153864927,0.17676352264801415
beta_E_drgn7,-0.17508650003720416,0.1460734835217352,0.16908606640293233
beta_E_drgn8,-0.36549028015432433,0.13521133859282522,0.15909918287349414
beta_E_y2015,-0.25459569824173545,0.08649338257970549,0.0930791045778846
beta_E_y2017,-0.07012144408048226,0.09133609890844858,0.07528006723064563
beta_E_drgur,-0.5305342868425534,0.09211338095371296,0.11124348142170942
beta_E_drgmd,-0.6675673672278012,0.10221662099216607,0.12429367334369126
beta_occ_2_m,-1.5916842150197459,0.04245119026156662,0.055324447056952546
beta_occ_3_m,-2.2940674287017147,0.05607940914327406,0.07002987505650309
beta_occ_4_m,0.29064955725626124,0.024401549621630974,0.03143814236990742
beta_occ_2_f,-0.047599435902102444,0.03438927651252598,0.04489324930848974
beta_occ_3_f,-0.47290326041076725,0.03737539165222646,0.04916012723899188
beta_occ_4_f,0.7717986224166334,0.029617311825752494,0.0375468105168302
beta_w0,2.196923590682181,0.01137420205782299,0.014612547645113395
beta_w_educL,-0.06077063649780535,0.00951731308755271,0.012255680277888436
beta_w_educH,0.3381499459577857,0.0066197365332938095,0.008636256007811205
beta_w_pexp,0.38257285906903615,0.021615155037670305,0.027951668212654213
beta_w_pexp2,-0.08217204773132075,0.009719219109490335,0.01258359459760607
sigma,0.38980296959638056,0.0021188279734493543,0.004276672298475438
