parameter,value
beta_l0_sm,0.22620860790881145
beta_l_age_sm,0.20550637724352372
beta_l_age2_sm,0.058328508200660587
theta_l_sm,-0.37036654541946556
beta_l0_sf,0.39647908500326534
beta_l_age_sf,-0.010860327712860473
beta_l_age2_sf,0.11541185621199287
beta_l_nkids_sf,0.4958841568152909
theta_l_sf,-0.36634717599388494
theta_c_singles,-0.07287643881211471
beta_l0_m,0.01927934032943282
beta_l_age_m,-0.06841598051619092
beta_l_age2_m,-0.05801287546753499
beta_l0_f,1.7120735813363404
beta_l_age_f,-0.3665601117365228
beta_l_age2_f,0.2068199563098987
beta_l_nkids_f,0.4566886269838347
theta_l_f,-0.7262998229590242
beta_E,-1.0750153265269096
beta_h_pt1,-1.3162542104073869
beta_h_pt2,-0.6921658872822593
beta_h_ft,1.002515589926893
beta_h_lh,-1.5549467286528817
beta_E_gsur,-1.7873224382123514
beta_E_drgn2,0.029261916336615564
beta_E_drgn3,0.5592748756148432
beta_E_drgn4,0.770179804428939
beta_E_drgn5,0.2909483516159773
beta_E_drgn6,0.1983681918796574
beta_E_drgn7,0.11578826131948741
beta_E_drgn8,0.04815079856140853
beta_E_y2015,0.06758450028045683
beta_E_y2017,-0.09125885318510678
beta_E_drgur,-0.17929272615072347
beta_E_drgmd,-0.6810590667990525
beta_occ_2_m,-1.521807546895421
beta_occ_3_m,-2.31083491090872
beta_occ_4_m,0.16949939893520252
beta_occ_2_f,0.06604367521568659
beta_occ_3_f,-0.44058951841411576
beta_occ_4_f,0.8185109961277873
beta_w0,2.2016542824144523
beta_w_educL,-0.02130036839885681
beta_w_educH,0.3441137972945129
beta_w_pexp,0.2835048684409256
beta_w_pexp2,-0.055065332090091984
sigma,0.4179759645266635
