parameter,value
beta_l0_sm,0.5840634623217819
beta_l_age_sm,0.16211037630143957
beta_l_age2_sm,0.039506869493991764
theta_l_sm,-0.8222658668088779
beta_l0_sf,0.4198479252163418
beta_l_age_sf,-0.0254194849871564
beta_l_age2_sf,0.33648094676532553
beta_l_nkids_sf,0.6341181801465231
theta_l_sf,-0.8091976138341613
theta_c_singles,-0.03818492745882631
beta_l0_m,0.007244326899261985
beta_l_age_m,-0.009925873015976817
beta_l_age2_m,0.018730532099990708
theta_l_m,-0.824480904529021
beta_l0_f,1.72182969554861
beta_l_age_f,-0.22288196349698247
beta_l_age2_f,0.26365349746510985
beta_l_nkids_f,0.4326160827790418
theta_l_f,-0.7668626269100355
beta_ll,2.0
beta_E,-1.2171255780258916
beta_h_pt1,-1.3193229359483307
beta_h_pt2,-0.6721760014602198
beta_h_ft,0.9928482465272211
beta_h_lh,-1.5469588080740646
beta_E_gsur,-1.6894356994277724
beta_E_drgn2,0.08443351659958861
beta_E_drgn3,0.27659535117265693
beta_E_drgn4,0.8038737066258671
beta_E_drgn5,0.17212981677540123
beta_E_drgn6,0.30684063634986175
beta_E_drgn7,0.13905534212327159
beta_E_drgn8,-0.008079573732109543
beta_E_drgur,-0.16542931783728557
beta_E_drgmd,-0.7119032928276705
beta_E_y2015,0.1
beta_E_y2017,-0.1
beta_occ_2_m,-1.538643206677084
beta_occ_2_f,0.03594875231429421
beta_occ_3_m,-2.2451933499736203
beta_occ_3_f,-0.4267022592641234
beta_occ_4_m,0.19539917551110733
beta_occ_4_f,0.8187200038494162
beta_w0,2.201940397921439
beta_w_educL,-0.020555604410950834
beta_w_educH,0.34114056715456886
beta_w_pexp,0.2916261446438824
beta_w_pexp2,-0.05988917326502474
sigma,0.41307640610355795
