parameter,value
beta_l0_sm,4.780398933885099
beta_l_age_sm,0.35987419839143425
beta_l_age2_sm,1.0
theta_l_sm,-2.3406522921782833
beta_l0_sf,7.812070363808297
beta_l_age_sf,-0.837119254090148
beta_l_age2_sf,1.0
beta_l_nkids_sf,1.8774971442368162
theta_l_sf,-1.9845879298360385
theta_c_singles,0.09345870251665912
beta_l0_m,9.999999974752427e-07
beta_l_age_m,-0.06723690032958984
beta_l_age2_m,0.08775048702955246
beta_l0_f,10.052237510681152
beta_l_age_f,-1.7802534103393555
beta_l_age2_f,1.0
beta_l_nkids_f,0.5857198238372803
theta_l_f,-2.1317391395568848
beta_E,-2.897390227013939
beta_h_pt1,-1.2768557590897833
beta_h_pt2,-0.9805206532375238
beta_h_ft,0.8871515484486321
beta_h_lh,-1.4525802628564377
beta_E_gsur,-1.1047680264120596
beta_E_drgn2,-0.20503645134160303
beta_E_drgn3,-0.08852772337450777
beta_E_drgn4,-0.6897267688726634
beta_E_drgn5,-0.26539493486239046
beta_E_drgn6,-0.5219410803022767
beta_E_drgn7,-0.38771382835254214
beta_E_drgn8,-0.3087436816024256
beta_E_y2015,-0.2546064257621765
beta_E_y2017,-0.06947110593318939
beta_E_drgur,-0.010018686706482958
beta_E_drgmd,0.10867255272851448
beta_occ_2_m,-1.302884049967305
beta_occ_3_m,-1.8859683241406628
beta_occ_4_m,0.25347794062046447
beta_occ_2_f,-0.0758161377914628
beta_occ_3_f,-0.46120066553578215
beta_occ_4_f,0.8545020408616137
beta_w0,2.1399516770250013
beta_w_educL,0.028673570199689098
beta_w_educH,0.3450097680436862
beta_w_pexp,0.23833717879162522
beta_w_pexp2,-0.013025560318980564
sigma,0.41349225219035435
